Quiz time.  Which is Shay's and which is mine? 🤣,Pos,Neu,Neg,Compound,Overall Sentiment
Thar yogurt looks amazing.. w joy your cheeseburgers Denis,0.352,0.648,0.0,0.5859,POS
"Cmon guys! You’re supposed to be in the spirit, and eating cosmic brownies!",0.16,0.84,0.0,0.3147,POS
Cheeseburgers for you and the healthy stuff for her😆🤣,0.252,0.748,0.0,0.4019,POS
Cheeseburgers go great with diet Dr. Pepper!,0.423,0.577,0.0,0.6588,POS
"I’m glad to see I am. It the only one that eats more nuts than the base food. Lol",0.248,0.641,0.111,0.4951,POS
"Yes you definitely get the cheeseburger Dennis!",0.532,0.468,0.0,0.69,POS
Oh this is too easy. Shay is on the left with seeds and fruit and Denis you are the cheeseburgers. I’m with Shay on this one! I subscribe to Shay’s gluten free recipes as I also eat gluten free.,0.224,0.776,0.0,0.8687,POS
"Easy - yogurt, fruit and nuts are hers. You gave hints when you showed your hurricane stash of goodies. You can’t fool anyone on what you are eating. 😜",0.09,0.748,0.162,-0.3182,NEG
"Since it is so obvious, I am going to say you have the yoghurt and Shay has the burgers!!!!
No I changed my mind! You have the burgers and Shay is loading up on health food!!",0.0,0.907,0.093,-0.5216,NEG
"Cheese burgers are yours and parfait is Shay's",0.0,1.0,0.0,0.0,NEU
"Great! Now I want a cheeseburger!! Forget these hurricane snacks. 😂😂",0.443,0.423,0.134,0.6571,POS
Denis Phillips ~ Cheeseburgers are definitely yours! 😂 After you posted the Little Debbie Cosmic Brownie’s I had to have them when I went to Publix yesterday! 😂🥰😂,0.125,0.875,0.0,0.508,POS
"Shay the good healthy dish and cheese burgers for yourself",0.412,0.588,0.0,0.6808,POS
"Does that mean you only have 4 left?",0.0,1.0,0.0,0.0,NEU
"Denis for sure those cheeseburgers 🍔 are yours lol
Shay loves those healthy snacks lol",0.614,0.386,0.0,0.9231,POS
I am betting on you all the way with the cheeseburgers 🍔,0.0,1.0,0.0,0.0,NEU
You got the cheeseburgers Denis 😆,0.0,1.0,0.0,0.0,NEU
The burgers are yours because Shay always gives us healthy recipes. That was easy.,0.318,0.682,0.0,0.6808,POS
"Shay’s the yogurt, yours the cheeseburgers…..Johnathan ends up eating both 🤣🤣 #getittogetherJohnathan 🤣🤣",0.0,1.0,0.0,0.0,NEU
"Obviously salad for Shay…. You are the cheeseburger guy !! 👍",0.0,1.0,0.0,0.0,NEU
"You used to do keto, so I’m going to say the burgers are Shay’s😎",0.0,1.0,0.0,0.0,NEU
"Denis=cheeseburgers and Dr Pepper",0.0,1.0,0.0,0.0,NEU
"If the cheeseburgers are from yesterday, you should warm them up, Denis.",0.147,0.853,0.0,0.2263,POS
That yogurt parfait looks amazing!,0.506,0.494,0.0,0.6239,POS
"Yours is healthy
Shay got cheeseburgers!!",0.396,0.604,0.0,0.508,POS
I was looking for the Dr. Pepper….,0.0,1.0,0.0,0.0,NEU
I’ll have a couple of cheeseburgers with you including a large order of fries. 😂,0.0,1.0,0.0,0.0,NEU
"The cheeseburgers",0.0,1.0,0.0,0.0,NEU
"2 cheeseburger value meal with diet Dr Pepper?",0.286,0.714,0.0,0.34,POS
Where’s the Dr Pepper?,0.0,1.0,0.0,0.0,NEU
"Shay’s looks amazing 🙌",0.655,0.345,0.0,0.5859,POS
I hope the cheeseburgers are yours 😂,0.42,0.58,0.0,0.4404,POS
"Only a genius could get the right answer.",0.0,1.0,0.0,0.0,NEU
"The parfait looks yummy though but we know the cheeseburgers are for you!",0.172,0.828,0.0,0.3595,POS
"Cheeseburgers for you!! 😀 Shay's is healthy 😀",0.396,0.604,0.0,0.508,POS
Cheeseburger is definitely yours 🤪 Is that Dr Pepper in the coffee cup?,0.197,0.803,0.0,0.4019,POS
Your cheeseburger lol,0.583,0.417,0.0,0.4215,POS
"Would you like fries with that?",0.333,0.667,0.0,0.3612,POS
"No fries or Dr Pepper?",0.0,0.645,0.355,-0.296,NEG
"Cheeseburgers yours!",0.0,1.0,0.0,0.0,NEU
Is that breakfast or lunch?,0.0,1.0,0.0,0.0,NEU
Dennis I hope you're doing okay because I don't see any Diet Dr Pepper 😱😱. Remember your rule #7 everything is fine and we're all going to get through this 💪🏻,0.202,0.798,0.0,0.6808,POS
Ask her where did she buy that nut blend? What's it called ?,0.0,1.0,0.0,0.0,NEU
"Which is the least healthy?",0.0,0.639,0.361,-0.3089,NEG
Where’s the Dr. Pepper? 🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
We all know which one is yours lol,0.286,0.714,0.0,0.4215,POS
Hers is the hamster food?,0.0,1.0,0.0,0.0,NEU
