A Tornado Warning has been issued for parts of Polk County. Download the ABC Action News App for the latest information.,Pos,Neu,Neg,Compound,Overall Sentiment
You know there isn’t really much to say about the storm when you see nothing but the “c” team weather people on tv locally.,0.0,1.0,0.0,0.0,NEU
"you need to update the people, not everyone is smart enough to follow Dennis like we do. Time for your civic duty. ❤️",0.097,0.815,0.088,0.0624,POS
"The wind must got a bit real here in Largo, some big gusts.",0.0,1.0,0.0,0.0,NEU
oh man,0.0,1.0,0.0,0.0,NEU
🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
I hope y'all stay safe!,0.753,0.247,0.0,0.7263,POS
"be safe! 🙏❤️ It's just south of you guys. 😕",0.285,0.715,0.0,0.4926,POS
"I had a house full of media guests taking shelter LOL",0.306,0.694,0.0,0.5473,POS
we're in the bathroom,0.0,1.0,0.0,0.0,NEU
"text me updates when you can girl ❤️",0.0,1.0,0.0,0.0,NEU
"I have a feeling it's gonna be extended, let's see if it expires at 2...",0.111,0.889,0.0,0.128,POS
I think it expired. This pm will be busy. 😕,0.0,1.0,0.0,0.0,NEU
"yess it did thankfully! We're out and eating lunch in the kitchen... Well the family is, I'm back to cleaning Aelwyn's room. I have a feeling we'll get more too.",0.211,0.789,0.0,0.69,POS
"same. 😢",0.0,1.0,0.0,0.0,NEU
Any way to stop day old tornado warnings?,0.0,0.577,0.423,-0.5267,NEG
please be safe,0.839,0.161,0.0,0.6369,POS
"water slide and BBQ at 230, u coming?",0.0,1.0,0.0,0.0,NEU
you’re out your ever lovin’ mind .. my anxiety isn’t set up for that ft Meade lifestyle 😂,0.0,0.904,0.096,-0.1779,NEG
we trained professionals... Im taking that as you calling me a red neck?,0.0,1.0,0.0,0.0,NEU
"momma said if there ain't no lighting, we can play in the rain.",0.28,0.72,0.0,0.5086,POS
yeah I saw you “trained professionals” that day jumping from the truck tower to the water slide lol I’m not built for it lmao,0.308,0.692,0.0,0.836,POS
"that was part of our training ..",0.0,1.0,0.0,0.0,NEU
