"FLOOD RISK | These numbers change with every update, but this gives us a general idea of the 4-8"" rain forecast we have moving forward, with a few spots seeing a bit more or a bit less. With a tropical system, it's all about the bands and where they set up. Heaviest totals will be in our coastal counties, with lowest totals inland.",Pos,Neu,Neg,Compound,Overall Sentiment
I sure pray we get breaks in that Sarasota total.. PLEASE not all at once.. Denis Phillips….,0.37,0.63,0.0,0.7672,POS
"we are on Longboat Key and that amount of rain would be bad, especially with high tide.",0.0,0.821,0.179,-0.5423,NEG
I was just on longboat key last week for a week of vacation at a family own home. Just reg rain made those streets dangerous!,0.0,0.861,0.139,-0.5255,NEG
we are hoping it is just a steady rain for a few hours and then quits!,0.192,0.808,0.0,0.4753,POS
me too!,0.0,1.0,0.0,0.0,NEU
How’s more inland Fort Myers looking with this update? Stay safe everyone,0.209,0.791,0.0,0.4404,POS
Does anyone know how much rain is expected in the Palm Harbor area?,0.0,1.0,0.0,0.0,NEU
"looks like we could see about about 4” or less. I’m going to say less, but if the storm keeps changing could be more. It’s a wait and see thing. Stay safe.",0.162,0.838,0.0,0.6808,POS
"thx, U too.",0.714,0.286,0.0,0.3612,POS
"can you read the map? 🙄",0.0,1.0,0.0,0.0,NEU
Wonder how the rivers will do in Citrus County,0.0,1.0,0.0,0.0,NEU
"Oof Sarasota, that’s a lotta rain! Stay home and get cozy type of day !",0.0,1.0,0.0,0.0,NEU
🚣 Pasco county in a few hours 🚣,0.0,1.0,0.0,0.0,NEU
it’s been raining in Holiday. There is alittle break before the bands start again,0.172,0.828,0.0,0.4019,POS
I'm in Pasco. No rain ye,0.0,0.694,0.306,-0.296,NEG
I find it interesting that 4 inches of rain in St. Petersburg and 9 inches in New Port Richey.,0.153,0.847,0.0,0.4019,POS
"I'm very concerned with our neighborhood.
We are by the river in Crystal River Citrus County.😳🙏🏽",0.0,1.0,0.0,0.0,NEU
we are in Weeki and our neighborhood flooded with Idalia . I’m really hoping it doesn’t again.,0.171,0.829,0.0,0.4754,POS
"19 is more than likely going under water the west side flood bad",0.0,0.774,0.226,-0.5423,NEG
Are these expected todays totals or today and tomorrow,0.0,1.0,0.0,0.0,NEU
next year 🙄🙄🙄,0.0,1.0,0.0,0.0,NEU
is that in feet or inches i forget😭,0.0,1.0,0.0,0.0,NEU
inches,0.0,1.0,0.0,0.0,NEU
"thanks- your local dyslexic",0.492,0.508,0.0,0.4404,POS
We watch in Charlotte County too! Zoom out. 😉,0.0,1.0,0.0,0.0,NEU
"Ocala too. We get our news out of Orlando, and their meteorologists seem to embellish a lot.",0.0,1.0,0.0,0.0,NEU
Question..other local news is focusing on the next disturbance that they see out there right behind this one once we get through this will you please let us know if we have to be concerned? I’m New Port Richey. It looks like a lot of rain and I’m in a flood zone. I’m a little nervous because in 2012 (Debbie)this whole neighborhood flooded. ,0.074,0.859,0.068,0.101,POS
"let me guess, Holiday Hills?",0.403,0.597,0.0,0.4019,POS
no magnolia valley,0.0,0.476,0.524,-0.296,NEG
it flood awful by u...,0.0,0.571,0.429,-0.4588,NEG
"Port Richey
It rained once yesterday Saturday around 2:30pm nothing else.
Man i wanna be a weatherman",0.0,1.0,0.0,0.0,NEU
"yet, here you are looking for more info",0.0,1.0,0.0,0.0,NEU
ummm no I’ve followed him for years. So when I opened fb it’s right there. Duuhhhhhhh,0.0,0.864,0.136,-0.296,NEG
"NPR here and we got tons of rain yesterday...",0.0,1.0,0.0,0.0,NEU
"I get what you’re saying but, I’d rather have someone else (that’s trusted like Denis) do the legwork for me.",0.303,0.697,0.0,0.8126,POS
it’s just ridiculous. One rain storm yesterday for like 30 mins.,0.179,0.643,0.179,0.0,NEU
"you know this is coming into your area tonight, right? Not yesterday. It almost seems like you’re upset your area didn’t flood. 🤷🏻‍♀️",0.086,0.813,0.101,-0.0972,NEG
it wasn't suppose to hit yesterday. Have you not been paying attention?,0.0,1.0,0.0,0.0,NEU
is just want rain to water my lawn,0.157,0.843,0.0,0.0772,POS
"yes, because it’s summer in Florida. That happens daily. This year my home seems to be rain central where last year it circled my house and rained everywhere but.",0.062,0.938,0.0,0.2144,POS
"Thank you Denis. 11”+ forecasted, here in Sarasota, is quite an increase from last night. Hoping we fill the ponds finally👍",0.304,0.696,0.0,0.7832,POS
Yes. Definitely look like our areas have increased. We were at 4.86 now we’re at 7.9,0.455,0.545,0.0,0.8402,POS
When?,0.0,1.0,0.0,0.0,NEU
Ton of rain here for hours,0.0,1.0,0.0,0.0,NEU
"not much coverage can I find. Matt said they were ""good"" hahaha...he lives near bayshore.",0.0,1.0,0.0,0.0,NEU
next year,0.0,1.0,0.0,0.0,NEU
How is weeki watchee looking??,0.0,1.0,0.0,0.0,NEU
Lots of rain predicted for Inverness 😞,0.0,1.0,0.0,0.0,NEU
Still looks like a blob on our satellite view.,0.263,0.737,0.0,0.3612,POS
Already had 3” in Sebring overnight.,0.0,1.0,0.0,0.0,NEU
Supposed to fly back home to St Pete from New Orleans tonight should I reschedule for tomorrow night??! Eeeeeeek!!,0.0,1.0,0.0,0.0,NEU
"Yes. I hear planes taking off from PIE this morning, but I'm sure as the day progresses, there will be delays & cancellation s. Be proactive now.",0.279,0.721,0.0,0.8176,POS
"I’m assuming there will definitely be heavy rain bands coming in at that time . If it were me , I would reschedule.",0.124,0.876,0.0,0.4019,POS
im.surprised they haven't already canceled your flight. Have you checked?,0.0,1.0,0.0,0.0,NEU
"Spirit hasn’t canceled yet but I’m a chicken and rescheduling now, next flight 10:00 pm tomorrow, should be in the clear by then!!! 🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻",0.211,0.789,0.0,0.6834,POS
"good move, I wouldn't want to be driving home from airport in it.",0.205,0.708,0.087,0.3975,POS
I’m so excited 😁 may the odds be ever in you’re favor,0.375,0.625,0.0,0.659,POS
It has been rain off and on all day.,0.0,1.0,0.0,0.0,NEU
It has shifted a lot So great!,0.484,0.516,0.0,0.6893,POS
