"A Tornado Warning has been issued for parts of Polk, Hardee until Aug 04 2:00PM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
We had a funnel cloud in Lake Wales... no alert at all. Everyone said it travels from Crooked Lake to downtown Lake Wales. No one knows if it ever touched down.,0.098,0.772,0.131,-0.2732,NEG
Yup here in Mulberry,0.0,1.0,0.0,0.0,NEU
Monsoon just started in royal highlands section of Brooksville!,0.0,1.0,0.0,0.0,NEU
Lasted about 5 minutes. Band # 1.,0.0,1.0,0.0,0.0,NEU
I’m in St. Augustine. Would it be better to head back to Clearwater today or tomorrow?,0.162,0.838,0.0,0.4404,POS
si nos encerraron en el baño,0.0,1.0,0.0,0.0,NEU
"Hi Denis Phillips, ur speaking on TV now about Englewood and here our family’s dock in the back of their Englewood home ",0.0,1.0,0.0,0.0,NEU
"Hope after you finish those burgers, we see you on live coverage, Denis Phillips.",0.182,0.818,0.0,0.4404,POS
Denis Phillips this was a picture I just took from my backyard a few minutes ago. Why no mention of a funnel cloud in South Pasco County? Been watching you and Shay for the last few hours and have seen other areas that show a funnel cloud and not this one? Just a question for you. Did this go through the radar locally and the National Weather Center? Key Vista in Holiday,0.078,0.89,0.032,0.3049,POS
"So confused, one minute tornado warnings are lifted the next minute they are still here in Hardee",0.0,0.758,0.242,-0.5849,NEG
they can dissipate and others pop up elsewhere. Pretty typical here in fl during hurricanes,0.186,0.814,0.0,0.4939,POS
always be on alert during these storms. Things change from one minute to the next.,0.136,0.864,0.0,0.296,POS
Also no phone notification like we normally get when there is a weather alert?,0.278,0.592,0.13,0.3612,POS
Charlie turned,0.0,1.0,0.0,0.0,NEU
