2pm update: Debby now moving at 13 mph. Next track update at 5pm. We are updating live on ABC Action News right now.,Pos,Neu,Neg,Compound,Overall Sentiment
"Clearwater Beach
The tide has since receded a foot",0.0,1.0,0.0,0.0,NEU
"Thanks Denis, Shay and everyone keeping us informed about what's going on! You have brought me a lot of relief! As a person who suffers from anxiety and PTSD thanks to Hurricane Andrew, that means a bunch!;",0.224,0.666,0.11,0.7163,POS
Non stop rain and gusty winds since this a.m. in Sarasota. I'm ready for this to be over and I'm sure my dog would like a walk as well.,0.272,0.665,0.064,0.7351,POS
We are on Siesta Key and it has not stopped since this AM. So much for the storm being out west....bands over us all day and no letting up in sight here. Everything is flooded.,0.045,0.895,0.06,-0.1366,NEG
"P.S. We have a pet door in our back door, but in a tropical storm like this, water pools up on the back hex-block patio right where the pet door is, so it's kind of a huuuuuuuuuuge puddle that my dog prefers to avoid, so I took him out on a leash, via the front door. Like I said, we only went to the end of the block and back, and it was wild and woolly. 😮",0.082,0.834,0.084,-0.0387,NEU
"I just took mine (my dog, that is) out between bands here in St. Petersburg. Or, not really between, per se, but during what initially seemed like a slight break in the intensity of the rain. However, when we got to the end of our very own block, the rain changed back from light to intense, and the wind was whipping again, so we high-tailed it back to the house. But he did get to go #1, so mission accomplished.",0.103,0.848,0.049,0.5719,POS
I keep an eye on it constantly. She will use a pee pad if desperate and no way she's going out in torrent.,0.0,0.809,0.191,-0.5423,NEG
Rain and wind beginning in Dunnellon.,0.0,1.0,0.0,0.0,NEU
Great birthday present for the US Coast Guard. 234 years old today. What better way to celebrate in Florida than with a tropical storm.,0.349,0.651,0.0,0.8934,POS
"Fishhawk here. Steady rain, little to no wind, ponding of water in the usual places, Starbucks open (yay). Momma Muscovy duck with her 20+ babies swimming in the retention pond and the Sandhill crane parents have their twins out foraging for snacks.",0.0,0.955,0.045,-0.2315,NEG
Sounds like such a lovely day 🙂,0.677,0.323,0.0,0.743,POS
"Stopped raining in Zephyrhills for now ... more to come no doubt ... just chilling and waiting it out
#Rule7",0.0,0.668,0.332,-0.7152,NEG
"Rain in Lakeland, nothing out of the ordinary",0.0,1.0,0.0,0.0,NEU
lifelong tampa resident here: i stocked up on all the hurricane essentials. i've got plenty of rum and snacks.,0.0,1.0,0.0,0.0,NEU
yup prepared af.,0.487,0.513,0.0,0.2263,POS
Thank you for keeping us informed!,0.358,0.642,0.0,0.4199,POS
"Seems like it drifted a little more east today",0.263,0.737,0.0,0.3612,POS
Wobbles east and west have been seen today. It’s going to stay well west of Tampa bay,0.116,0.884,0.0,0.2732,POS
That's what I was thinking,0.0,1.0,0.0,0.0,NEU
I agree I noticed that earlier this afternoon.,0.333,0.667,0.0,0.3612,POS
yeah right into my front lawn LOL,0.534,0.466,0.0,0.694,POS
"i’m in clearwater, are these rain bands we’ve been getting what we’re expected to continue getting, or is there worse on the way? it doesn’t seem as bad as my anxiety was telling me, but i don’t know how much worse things could get depending on how far the storm is away from us!",0.0,0.829,0.171,-0.8439,NEG
"brooksville getting rain and wind but got power so we are good",0.278,0.722,0.0,0.6423,POS
"Rain in St Pete slight wind",0.0,1.0,0.0,0.0,NEU
"Largo here. The wind is getting kind of real with some big gusts. Rain comes and goes, streets where I live are draining just fine.",0.073,0.927,0.0,0.2023,POS
there are some roads in that neighborhood between Belcher & Starkey that the roads flood under regular rain. drains fairly quick tho,0.0,1.0,0.0,0.0,NEU
"Is 13 mph faster or slower than it has been?",0.0,1.0,0.0,0.0,NEU
"I think the same.",0.0,1.0,0.0,0.0,NEU
Are flights coming into PIE today? Supposed to be flying from Asheville to PIE at 7 pm,0.0,1.0,0.0,0.0,NEU
"Yes I am wondering if flights will be going out this evening.",0.213,0.787,0.0,0.4019,POS
I have clients trying to get home today and their flights are just being delayed over and over.,0.0,0.894,0.106,-0.2263,NEG
"I can tell you we got at PIE today around 10:30 A.M to pick up my MIL. Her flight was left in the air from 9:40 A.M until almost 11 where they redirected the flight to Sanford Orlando. We have been sitting in the cell parking lot since we got here waiting for updates. They decided around 12:30 they were going to send the plane back to PIE, they have boarded the plane and the plane still has not left Sanford Orlando…
I just wouldn’t fly in at this point if I were you. It’s not worth the headache and possibly derailment.",0.0,0.983,0.017,-0.1695,NEG
Oh yeah I’ve seen 7 flights leave now throughout the day. They just wont land anyone here.,0.126,0.805,0.069,0.25,POS
did you try calling the airline 🤷🏻‍♀️,0.0,1.0,0.0,0.0,NEU
been on hold for 20 mins trying to get thru 😓,0.0,1.0,0.0,0.0,NEU
"if I were you, I would continue to hold. Relying on social media to get a correct answer is not the way to go.",0.0,1.0,0.0,0.0,NEU
check their website,0.0,1.0,0.0,0.0,NEU
"We are in North Redington Beach. The ocean is angry today as expected but it is beautiful! We’ve had a little bit of rain and wind, but ok so far 😊",0.231,0.711,0.059,0.807,POS
What's it like in Clearwater near Drew st. I have a kiddo working till 9:30 pm he has travel 1 hr North in 19 to get home,0.098,0.902,0.0,0.3612,POS
we're off Drew and Hampton road. Windy and rain.,0.0,1.0,0.0,0.0,NEU
"mild rain off & on. No big deal",0.0,0.732,0.268,-0.296,NEG
thank you!,0.736,0.264,0.0,0.4199,POS
How is largo/clearwater? We are driving down tonight for vacation.,0.0,1.0,0.0,0.0,NEU
"Light rain in Yankeetown",0.0,1.0,0.0,0.0,NEU
We are going to run out of hurricane snacks at this rate!!! 😱🤪😂,0.0,1.0,0.0,0.0,NEU
we have Rum and thats all that matters right now!,0.134,0.866,0.0,0.1007,POS
"Indeed! LOL",0.793,0.207,0.0,0.5893,POS
"need a lil debbie run?",0.0,1.0,0.0,0.0,NEU
"yes!!!",1.0,0.0,0.0,0.5538,POS
do they deliver in hurricanes? Jk,0.275,0.725,0.0,0.2263,POS
valid question!!!! 😂,0.0,1.0,0.0,0.0,NEU
"Heavy rain in st.pete",0.0,1.0,0.0,0.0,NEU
in Clearwater and the wind is pretty bad,0.252,0.472,0.276,-0.0772,NEG
not where we at. Beach.,0.0,1.0,0.0,0.0,NEU
Saint Petersburg at high tide (looking south on Tampa Bay) ABC Action News - WFTS - Tampa Bay,0.0,1.0,0.0,0.0,NEU
"Water over the seawall, South Sarasota",0.0,1.0,0.0,0.0,NEU
Sent photo,0.0,1.0,0.0,0.0,NEU
"Sent",0.0,1.0,0.0,0.0,NEU
send me pics please,0.434,0.566,0.0,0.3182,POS
pretty lackluster so far - at least where I am,0.314,0.686,0.0,0.4939,POS
"I take that back
Debby has definitely arrived",0.31,0.69,0.0,0.4019,POS
"it’s a 🥱 situation here too, sis.",0.0,1.0,0.0,0.0,NEU
we’re just now getting the stronger bands,0.302,0.698,0.0,0.3818,POS
"Thank you for the update. So good to be able to go to you to get the facts.",0.262,0.738,0.0,0.6901,POS
Power out in Sarasota,0.0,1.0,0.0,0.0,NEU
"power out by me in Cherokee park area off south osprey west of 41. Fpl first said restored by 5:30, now by 11. And we’ve hardly had any wind.",0.079,0.921,0.0,0.34,POS
it's been really windy here. Fpl says 8pm but doubt it,0.0,0.755,0.245,-0.5023,NEG
what part? Sarasota is pretty big,0.39,0.61,0.0,0.4939,POS
gulf gate by Clark and 41.,0.0,1.0,0.0,0.0,NEU
Windy in LOL. The rain comes and goes.,0.335,0.665,0.0,0.5473,POS
Has it come ashore in the big bend area? Just got off work?,0.0,1.0,0.0,0.0,NEU
Head back to Tampa tomorrow from Philly … flight leaves at 11am.. hoping we won’t get delayed 🫣,0.15,0.749,0.102,0.2263,POS
I think you will be fine. I have a flight today from Norfolk to PIE it was scheduled to leave at 2 now leaving at 3:28. Lots of Allegiant flights have been delayed but only a handful have been canceled.,0.039,0.89,0.071,-0.0387,NEU
"so good to know, thank you!",0.599,0.401,0.0,0.7171,POS
"once it even with TB, it’s going to get nastier. Like in two hours",0.14,0.674,0.185,-0.2023,NEG
my flight from MCO to EWR was cancelled this morning,0.0,0.818,0.182,-0.25,NEG
"tomorrow around that time, the storm will be worse and covering almost all of Northern Florida/Southeast Georgia. Unless your flight flies around the storm, over the Gulf… you may be delayed or canceled.",0.0,0.861,0.139,-0.6124,NEG
travel safe!!!,0.791,0.209,0.0,0.5826,POS
Power out in eastlake,0.0,1.0,0.0,0.0,NEU
"Denis PhillipsThank you so very much, for keeping us updated!!!",0.0,1.0,0.0,0.0,NEU
will the coverage for debby be simulcasted on the Radio?,0.0,1.0,0.0,0.0,NEU
I just tried to locate their radio simulcast channels and they do not list them but they say they do sorry could not be more help,0.0,0.831,0.169,-0.5665,NEG
"good question they never advertise that anymore.",0.326,0.674,0.0,0.4404,POS
it's not like we'll be able to see the tornadoes on camera because they're always rain wrapped,0.0,0.883,0.117,-0.2755,NEG
"2 inches north Crystal River from 2:30-5:00",0.0,1.0,0.0,0.0,NEU
"Thank you for the updates!",0.411,0.589,0.0,0.4199,POS
Did the storm speed up or slow down?,0.0,1.0,0.0,0.0,NEU
"13mph, is that faster or slower than before?",0.0,1.0,0.0,0.0,NEU
about the same. Has been constant at 13mph since early this morning.,0.0,1.0,0.0,0.0,NEU
slower. I think it was 16 mph yesterday. She is slowing down😬,0.0,1.0,0.0,0.0,NEU
Yes I am watching you. You really must have posted this when Nadine was talking. Thank you Denis for your thorough coverage of this storm. So appreciated!,0.283,0.717,0.0,0.8436,POS
North end of Anna Maria Island @ 2,0.0,1.0,0.0,0.0,NEU
is there much flooding on the roads? Headed there now from NC,0.0,1.0,0.0,0.0,NEU
"If there's any possibility of delaying a few days, I'd suggest it. Otherwise, you're going to drive right into a lottttt of wind and rain.",0.0,1.0,0.0,0.0,NEU
we have committed to a rental and are already an hour away,0.174,0.826,0.0,0.2732,POS
"sorry, I misread your comment - I thought you were heading OUT from NC now. Safe travels.",0.168,0.636,0.197,0.128,POS
thank you. Stay safe too!,0.655,0.345,0.0,0.69,POS
Quiet in Winter Haven now.,0.0,1.0,0.0,0.0,NEU
You just explained to me a Floridian that moved away but I’ve been back 13 years now (so no excuses) and you just explained storm surge warnings to me. I really admire Denis Phillips if you are new to Fl and I know so many people are right now. …. Watch him. He’s less stressful and very honest and educational.,0.133,0.731,0.135,0.2188,POS
"Someone did ask, yes the bridge is now open. They do update this on their website every 5 minutes.",0.137,0.863,0.0,0.4019,POS
"what's their webpage?",0.0,1.0,0.0,0.0,NEU
I just said to Google is the skyway bridge open... And it went right to it,0.0,1.0,0.0,0.0,NEU
https://www.skywaybridgestatus.com updates every five minutes. Couldn’t find one for Fred Howard bridge,0.0,1.0,0.0,0.0,NEU
"It’s not bad here on City of Madeira Beach",0.263,0.737,0.0,0.431,POS
"I hear another one called Ernesto is after Debbie , anyone know about this",0.0,1.0,0.0,0.0,NEU
there is potential Ernesto and I have heard there is a third wave but no one is talking about these two. Ernesto estimated for this coming weekend. Geez! Can't finish one panic before the new ones. Let's hope we get a lull between back to back tropical systems.,0.147,0.8,0.053,0.7091,POS
"thank you stay safe 😌",0.73,0.27,0.0,0.6597,POS
"Is Pinellas county school bus drivers working Monday?",0.0,1.0,0.0,0.0,NEU
What time should we expect the worse?,0.0,0.659,0.341,-0.4767,NEG
Is the Port still planning to open at 7 AM Monday morning?,0.0,1.0,0.0,0.0,NEU
Is Courtney Campbell and Howard Franklin open?,0.0,1.0,0.0,0.0,NEU
"2pm Update?",0.0,1.0,0.0,0.0,NEU
Skies are gray here but no rain.,0.0,0.682,0.318,-0.4215,NEG
"Outer bands hitting Alachua. Packing a punch too.",0.0,1.0,0.0,0.0,NEU
A small band just came through north Crystal River. Light rain now and light winds,0.0,1.0,0.0,0.0,NEU
"Was raining pretty hard for a bit here in Weeki Wachee
Quiet right now",0.205,0.705,0.09,0.4215,POS
And when the tree falls in forest...does make a sound...we just don't hear it because we are not there ..I love this... 🤣🤣🤣🤣... ❤️Denis,0.0,0.867,0.133,-0.5216,NEG
"Thank you Denis Phillips!",0.482,0.518,0.0,0.4199,POS
"It hasn’t been that bad.",0.0,0.533,0.467,-0.5423,NEG
Power out in Inverness at 1:55p.m. squalls of wind and rain,0.0,1.0,0.0,0.0,NEU
Just a thought for southeast residence. If you need a nes car my Kia ev6 can be turned into a generator to power most of my housecexcept for central air. Good investment for me.,0.08,0.803,0.116,-0.3182,NEG
great 💡,1.0,0.0,0.0,0.6249,POS
can it power your fridge?,0.0,1.0,0.0,0.0,NEU
yes 2 days.,0.73,0.27,0.0,0.4019,POS
Painfully slow moving. 😔,0.0,0.37,0.63,-0.5267,NEG
We lost power in Inverness about an hour ago.,0.0,0.777,0.223,-0.3182,NEG
"No wind but we lost power in Oldsmar!",0.0,0.553,0.447,-0.5916,NEG
we have power in our neighborhood. The lights just flickered.,0.0,1.0,0.0,0.0,NEU
"we never lose power, what the heck??? We just started a good movie upstairs and got stuck in the incline position. 🤭",0.231,0.688,0.081,0.5716,POS
I don’t mean to laugh but the stuck in the reclined position got me 🤣,0.146,0.696,0.158,-0.0516,NEG
lol gotta love electric seats,0.7,0.3,0.0,0.7906,POS
all I can think is after Irma? when we were out for 4 days bc a line snapped in the nature preserve (after the hurricane) and they had to bring in amphibious equipment to fix it!!!!,0.0,1.0,0.0,0.0,NEU
right ! At my age 61 I might break a hip getting out 🤣,0.0,1.0,0.0,0.0,NEU
I know! After it was over I remember sitting and saying at least we still had power - then it was off! We still have power in Starke so if it gets too hot we might head up there - y’all are welcome to come!,0.088,0.912,0.0,0.5962,POS
us too,0.0,1.0,0.0,0.0,NEU
lost here too,0.0,0.465,0.535,-0.3182,NEG
