"Tropical Storm Debby LIVE coverage
Let's do this. Bring your questions. That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
Denis Phillips Please give expected time for crystal river 😊,0.223,0.777,0.0,0.3182,POS
Look forward to it. Let us know also how Gainesville and Ocala will be tomorrow with driving to and from work. 8a 5p.? Thanks Denis Phillips you're really fantastic.,0.201,0.799,0.0,0.7778,POS
"Can I ask about Spring Hill please",0.315,0.685,0.0,0.3182,POS
Denis Phillips I didn't know he was on,0.0,1.0,0.0,0.0,NEU
Denis Phillipsthank goodness I Left Tampa yesterday. Bus broke down too in Tampa before we ever got going. I had to UBER to Alabama 😂. BE SAFE everyone,0.205,0.709,0.086,0.5904,POS
Denis Phillips We appreciate all of you local weather folks for sure!!! Trust you and trust Paul.,0.49,0.51,0.0,0.9095,POS
Are we past the storm surge in Ruskin/Little Manatee ?,0.0,1.0,0.0,0.0,NEU
no,0.0,0.0,1.0,-0.296,NEG
You are simply the best and your calm mannerisms is so appreciated.,0.544,0.456,0.0,0.8943,POS
"Heavy rain in Zhills right now!",0.0,1.0,0.0,0.0,NEU
No rain right on the Tavares/Leesburg line,0.0,0.732,0.268,-0.296,NEG
We have had a lot of rain in Land O Lakes. But as of right now no rain and it’s brightened up a bit. Sky not as dark.,0.139,0.768,0.093,0.3291,POS
Raining pretty consistently in Dade city,0.39,0.61,0.0,0.4939,POS
Since 2pm!,0.0,1.0,0.0,0.0,NEU
"Will it be a rainout in Dunellon tomorrow?
My husband & I have a difference of opinions 🤣so what is your professional thoughts?",0.0,1.0,0.0,0.0,NEU
Did you see flooding in Ft myers,0.0,1.0,0.0,0.0,NEU
"Raining heavy in Lakeland",0.0,1.0,0.0,0.0,NEU
Great job Ron 👏,0.672,0.328,0.0,0.6249,POS
You make me smile and you are the best weather man! No hype!,0.374,0.513,0.113,0.7256,POS
"You two are great, a fantastic team. Thanks Dennis",0.679,0.321,0.0,0.891,POS
Anna Maria Island pouring down rain for several hours!,0.0,1.0,0.0,0.0,NEU
Thank you i know you all get water logged easily. We have a place off of Tarpon Street and it just regular rain. We’re always underwater. Not sea but rain.,0.117,0.883,0.0,0.3506,POS
"In Apollo beach! Not raining at the moment but it’s been on and off all day so far",0.0,1.0,0.0,0.0,NEU
Winds definitely stronger in St Petersburg,0.57,0.43,0.0,0.6486,POS
"Lowered pool level yesterday...just had to do it again...lots of rain in largo. Thanks Denis",0.167,0.747,0.086,0.34,POS
Same here in Bradenton!,0.0,1.0,0.0,0.0,NEU
Is it my imagination? Looks like it's heading NE,0.238,0.762,0.0,0.3612,POS
"Clearly is,won't mention it though",0.403,0.597,0.0,0.4019,POS
My daughter has a procedure at All Children’s in the morning and we’re driving up from Sarasota. Do you this the Skyway will be open? 😬,0.0,1.0,0.0,0.0,NEU
"what time is the appt?",0.0,1.0,0.0,0.0,NEU
"Check here for Skyway Bridge status.
https://www.skywaybridgestatus.com/",0.0,1.0,0.0,0.0,NEU
When can we breathe easy that surge is gone crystal river,0.225,0.775,0.0,0.4404,POS
supposed to fly into st pete/clw tonight around 11 and haven’t heard anything about flight yet,0.0,1.0,0.0,0.0,NEU
Dade City is getting hammered with rain.,0.0,1.0,0.0,0.0,NEU
"Northdale not so bad. There was a period of heavy rain that lasted short period",0.216,0.784,0.0,0.5549,POS
My daughter is traveling to Tampa from Miami. How does that area look?,0.0,1.0,0.0,0.0,NEU
"Just raining a lot. But be prepared if anything changes.",0.227,0.773,0.0,0.3291,POS
I’m seeing tornado warnings for other counties but not for Sarasota? But I’m getting a warning on my phone so I’m confused,0.0,0.691,0.309,-0.7945,NEG
What can we expect in Gainesville. Thanks Denis,0.293,0.707,0.0,0.4404,POS
how is the barrier island-like maderia beach?,0.0,0.8,0.2,-0.128,NEG
Raining here in brooksville,0.0,1.0,0.0,0.0,NEU
How long will it last for central Florida?,0.0,1.0,0.0,0.0,NEU
"Pinellas Park is whistling, what is the speed?",0.0,1.0,0.0,0.0,NEU
What About Holiday and New Port Richey and Port Richey,0.231,0.769,0.0,0.4019,POS
By tomorrow morning it will be gone. I’m in holiday,0.231,0.769,0.0,0.4019,POS
"Thank you from Lake Wales",0.385,0.615,0.0,0.3612,POS
What’s the wind gust in Pinellas Park?,0.0,1.0,0.0,0.0,NEU
Getting rain now in Citris county,0.0,1.0,0.0,0.0,NEU
Thanks to our awesome Governor for preparing ahead of time ! 🌀,0.477,0.523,0.0,0.807,POS
"Thank you, Dennis and team!’",0.411,0.589,0.0,0.4199,POS
Hi Denis!! Pretty calm here in North Carrollwood right now.,0.432,0.568,0.0,0.7256,POS
Do you have power,0.0,1.0,0.0,0.0,NEU
Will this band make it into Pasco ?,0.0,1.0,0.0,0.0,NEU
"Rain totals in Dunedin?",0.0,1.0,0.0,0.0,NEU
Do you know anything on Flights at tpa,0.0,1.0,0.0,0.0,NEU
No. He’s a meteorologist. Please. Call the airline.,0.242,0.526,0.232,0.0258,NEU
What ti expect in Central Florida?? Kissimmee /Orlando area?,0.0,1.0,0.0,0.0,NEU
"I live 20 minutes west of Orlando! We are getting some drenching rain right now!",0.0,1.0,0.0,0.0,NEU
How’s Citrus,0.0,1.0,0.0,0.0,NEU
"we r good. Just rain. Light wind",0.367,0.633,0.0,0.4404,POS
How fast is this moving N?,0.0,1.0,0.0,0.0,NEU
13mph,0.0,1.0,0.0,0.0,NEU
Where can we find the interactive Tampa flood map?,0.0,1.0,0.0,0.0,NEU
FEMA,0.0,1.0,0.0,0.0,NEU
"Will Manatee county/Bradenton get much from this?",0.0,1.0,0.0,0.0,NEU
