"5pm Debby Update:  Here is the latest update on Tropical Storm Debby. No changes to track or intensity. Still a tropical storm with winds of 65 mph. Rapid intensification seems unlikely given the short time span before landfall, but the NHC still is forecasting Debby to become a hurricane later tonight. Updates at 5 on ABC Action News and 24/7 social media updates right here.",Pos,Neu,Neg,Compound,Overall Sentiment
I’ll watch what you say Denis Phillips,0.0,1.0,0.0,0.0,NEU
"6 inches so far in St Pete/Tyrone area.",0.0,1.0,0.0,0.0,NEU
"Big gust of wind on Wesley Chapel/Zephy blew our nice size BBQ Grill, heavy upright fire 🔥 pit and spray hose holder 3-5 feet across our yard! Ripped our Grill’s cover in half……that was a first. 🙏🏼s for those battling flooding.",0.064,0.826,0.11,-0.2481,NEG
"Thank you, Denis Phillips. Our son and DiL live in St. Pete. Our son told us a year ago to friend you; to obtain accurate weather reports regarding them. We thank you.",0.227,0.773,0.0,0.802,POS
"Lives in St. Pete also.
So far haven’t seen or heard reports of damages. Few people who live on the beach put up pictures during hi tide of streets flooding.",0.0,0.909,0.091,-0.4404,NEG
"My favorite hurricane ever. Way under an inch of rain, under 15mph winds for Tallahassee !",0.19,0.81,0.0,0.5093,POS
What is range of winds for Bradenton/sarasota area please! Thank you and stay safe everyone! 🙏,0.408,0.592,0.0,0.8065,POS
"20 mph most of the day with gusts to 30 recently",0.0,1.0,0.0,0.0,NEU
Thank you!!,0.755,0.245,0.0,0.4738,POS
"Winds 28
Gusts 52",0.0,1.0,0.0,0.0,NEU
Already a tree down on the road in our area (Seffner/Brandon).,0.0,1.0,0.0,0.0,NEU
"Our drainage system is working well here in Palmetto thankfully, but still enough to play in a little bit! Gotta raise these FL kids right 😂",0.246,0.754,0.0,0.7043,POS
such a fun parent. Making memories! We love the TS/hurricane rain to because no lightning.,0.371,0.524,0.105,0.7644,POS
love it!! 🏄‍♂️,0.705,0.295,0.0,0.6988,POS
look how precious & amazing momma ❤️❤️❤️,0.652,0.348,0.0,0.8176,POS
Thanks for keeping us updated. Waves on St. Pete Beach.,0.244,0.756,0.0,0.4404,POS
I just go home from St Pete and it was treacherous. I was so scared. Safe at home,0.152,0.669,0.179,-0.1438,NEG
"glad you're home safe!",0.756,0.244,0.0,0.7345,POS
Denis Phillips you da man Clifford Franklin! Love all that you do to help us navigate hurricane season!,0.319,0.681,0.0,0.8168,POS
In Odessa pouring rain and intense wind gusts. Thought for a few minutes that I might be Dorothy on Wizard of Oz. Had to hold on to my chair on my porch.,0.043,0.957,0.0,0.0772,POS
stay safe,0.744,0.256,0.0,0.4404,POS
Will this be safe to drive in the am? We have teacher days in Venice,0.172,0.828,0.0,0.4404,POS
"I am an emergency responder, I have the duke power outage map up, 12K out of Power in Tampa, increases every hour.",0.0,0.88,0.12,-0.3818,NEG
"Heavy rain in St Pete…coming in sideways",0.0,1.0,0.0,0.0,NEU
"yes it was…also in South Pasadena! Winds were really gusting!",0.267,0.733,0.0,0.508,POS
"yes also in St. Pete & I have that too - heaviest all day.",0.213,0.787,0.0,0.4019,POS
What are your thoughts on our flight landing in SAV around 6:30 this Wed? I know this is a bit out of your territory but you are my trusted weather guru 🙂,0.129,0.871,0.0,0.631,POS
"Thanks Denis, this is the second or third tropical storm/hurricane you’ve gotten me through on ABC action news Roku app, So far you’ve been 100% right on this storm; Watching from just north of downtown Tampa",0.077,0.923,0.0,0.4404,POS
I've seen bigger winds during a typical Florida 4pm storm.,0.0,1.0,0.0,0.0,NEU
"I don't know where you live but I'm getting water in my place. Hasn't happened during the ""typical"" 4pm storms. It also hasn't happened with other close calls we've had.",0.0,1.0,0.0,0.0,NEU
I'm in Lutz off Coulier. During those storms we've had water pooled in our courtyard. Never pooled here.,0.0,1.0,0.0,0.0,NEU
and I've only dumped my pool during those days. Didn't dump at all today.,0.129,0.711,0.16,-0.1321,NEG
"consider yourself lucky",0.583,0.417,0.0,0.4215,POS
where are you?,0.0,1.0,0.0,0.0,NEU
Clearwater,0.0,1.0,0.0,0.0,NEU
"definitely closer to the west coast. Hoping you fair well, sorry about the water in your house.",0.427,0.517,0.056,0.8225,POS
thank you. I appreciate it,0.722,0.278,0.0,0.6369,POS
same lol,0.737,0.263,0.0,0.4215,POS
So far so good Rule #7,0.449,0.551,0.0,0.6213,POS
Looks like it shifted more west. We’ve had rain here in floral city but nothing crazy.,0.235,0.765,0.0,0.5113,POS
We are in Wakulla County…we have gone from Tropical Storm warning to now Hurricane Warning so it must have shifted a bit west for this to happen…we are praying up here 😬🙏🏼,0.071,0.793,0.136,-0.3182,NEG
This is why I follow you Denis and don't listen to the others because they are all hype 👏🏼 Rule #7,0.0,1.0,0.0,0.0,NEU
It's will be a strong cat 2 by Monday 2 pm,0.32,0.68,0.0,0.5106,POS
I think it's supposed to make landfall before two pm tomorrow,0.0,1.0,0.0,0.0,NEU
Wonder if flights into TPA will be canceled tomorrow,0.0,1.0,0.0,0.0,NEU
"most likely.",0.0,1.0,0.0,0.0,NEU
"if you wanna know, call them 🙄",0.0,1.0,0.0,0.0,NEU
"thanks for the insightful information, genius.",0.367,0.633,0.0,0.4404,POS
https://www.tampaairport.com/flight-status looks like tomorrow is as scheduled so far,0.238,0.762,0.0,0.3612,POS
Watching from the UK. Stay safe everyone 🥰,0.326,0.674,0.0,0.4404,POS
Thanks Denis Phillips appreciate all you do.,0.528,0.472,0.0,0.6808,POS
"It’s not that bad in Sarasota at all",0.289,0.711,0.0,0.431,POS
"No rain in Tallahassee yet.",0.0,0.645,0.355,-0.296,NEG
it's about to flood u out,0.0,1.0,0.0,0.0,NEU
"we shall see, I think wakulla, jefferson and taylor are going to get it way worst. I'm more worried about my peeps on ga coast than I am about us here in leon county.",0.0,0.82,0.18,-0.7645,NEG
"it will get there and you don't want it",0.0,0.867,0.133,-0.0572,NEG
Just saw another update where it’s predicted to be in Virginia by Friday morning. Wondering even if it stays a tropical storm if it could potentially cancel flights. asking because my Nana is trying to come down on Friday to be here for my daughters first day of school Monday lol,0.053,0.909,0.038,0.2023,POS
Getting some big bands right now in Dade City,0.0,1.0,0.0,0.0,NEU
"When will this wind/rain move out of Pinellas County",0.0,1.0,0.0,0.0,NEU
Steady rain and wind largo not sure how long was sleeping for work and I guess I've had no power for over an hr now 🙄,0.0,0.841,0.159,-0.4874,NEG
our power flickering in South Highpoint,0.0,1.0,0.0,0.0,NEU
guess kids said it's been out since 3 they heard a transformer blow. 🙄 IDC I just care because I need to go to work at airport area tonight lol,0.207,0.793,0.0,0.7184,POS
confirmed by Duke energy a tree fell so I guess it was that loud,0.16,0.84,0.0,0.2732,POS
Do you have any information on where the tornado touched down in Largo??,0.0,1.0,0.0,0.0,NEU
Or maybe it didn’t touch? I heard on the radio it was over on ridge rd which is right by my place - been working in pinellas park all night,0.0,1.0,0.0,0.0,NEU
How will 75 south be to drive to Naples tomorrow (Monday) from Tampa,0.0,1.0,0.0,0.0,NEU
"Nice steady calm rain here in Dade City.",0.459,0.541,0.0,0.6249,POS
"What does tomorrow look like for the Sarasota area?",0.238,0.762,0.0,0.3612,POS
What will pasco and Hillsborough county be dealing with around 8am? Will we still be under warnings?,0.0,0.862,0.138,-0.3736,NEG
When will the sun be out? ☀️,0.0,1.0,0.0,0.0,NEU
"As Annie sings, Tomorrow?!",0.0,1.0,0.0,0.0,NEU
"days. Ugh",0.0,0.263,0.737,-0.4215,NEG
"When is max storm surge expected in Tampa?",0.0,1.0,0.0,0.0,NEU
