DEBBY 8 AM | Winds are up to 60 mph. Next track update is at 11 a.m. but I don't expect any changes. Steady movement north just offshore will keep the core of Debby in the Gulf. Updates right now LIVE on ABC Action News.,Pos,Neu,Neg,Compound,Overall Sentiment
"There is a young commercial fisherman that fell overboard down near Sanibel island. Coast Gaurd called off the search. Heart breaks thinking about him and his family. Storm
on top of it all 💔 Praying that Jesus would perform a miracle, I KNOW He is able!!!!!!¡",0.192,0.808,0.0,0.8507,POS
praying please let us hnoww outcome,0.545,0.455,0.0,0.5859,POS
praying he will be found. Praying for everyone in the path of the storm.,0.294,0.706,0.0,0.6124,POS
praying 🙏,1.0,0.0,0.0,0.3612,POS
"We should not underestimate the feelings of those people in low lying areas, any storm potentially can cause flooding for them and while we sit at home and say hey just a bit of rain and wind, they are trying to get their stuff to higher ground.",0.037,0.853,0.109,-0.5591,NEG
thank u,1.0,0.0,0.0,0.3612,POS
prayers for our low lying friends & neighbors… just a question how do they get insurance?? Poor people,0.129,0.499,0.372,-0.7059,NEG
"that’s the problem. Florida has made is impossible",0.0,0.722,0.278,-0.4019,NEG
"I'm just a girl, standing in front of a snack pile, asking it to be time to open them.",0.0,1.0,0.0,0.0,NEU
best comment ever😂😂😂😂😂,0.677,0.323,0.0,0.6369,POS
thank you! 😊,0.736,0.264,0.0,0.4199,POS
"I’m glad that Debby still follows social distancing.",0.3,0.7,0.0,0.4588,POS
Doing my best 😁,0.677,0.323,0.0,0.6369,POS
my mothers name is Debara. We’ve been giving her heck too lol,0.342,0.658,0.0,0.6369,POS
Thank you Denis for all that you do for us … you are truly appreciated!!! We are Stuck like Glue to you in a Storm 🤦‍♀️😂😂😂😂😂 my husband has loved the jokes during this one though … he said this storm is nothing compared to living with me 😂😂😂😂😂 jk,0.326,0.641,0.033,0.9507,POS
Are we safe to fly into Tampa this afternoon,0.266,0.734,0.0,0.4404,POS
"according to my calculations, there’s a 78.6% chance the airport will not be closed.",0.143,0.857,0.0,0.25,POS
"thanks for the response. Chris, does it look like the airport is still going to be opened tomorrow. Hate to be a pest but want to be sure. Thanks again.",0.32,0.617,0.063,0.8225,POS
"call your airline, my guess is yes but call to be sure",0.324,0.676,0.0,0.5859,POS
yes,1.0,0.0,0.0,0.4019,POS
no,0.0,0.0,1.0,-0.296,NEG
how stupid,0.0,0.227,0.773,-0.5267,NEG
"excuse me I’m not stupid by any means",0.405,0.595,0.0,0.4724,POS
"Yes. Yes you are",0.73,0.27,0.0,0.6597,POS
Will my flight be cancelled and will it rain at Disneyworld?,0.0,0.833,0.167,-0.25,NEG
