A Tornado Warning has been issued for parts of DeSoto County. Download the ABC Action News App for the latest information.,Pos,Neu,Neg,Compound,Overall Sentiment
Winds are picking up right now in Punta Gorda...very close to where it feels ripe for some spinnage.,0.0,1.0,0.0,0.0,NEU
Come up on the hill if you need to Linda,0.0,1.0,0.0,0.0,NEU
"NPR, near 54 & 19, 3.5 inches so far",0.0,1.0,0.0,0.0,NEU
Does anyone know how the weather conditions are on Pine Island,0.0,1.0,0.0,0.0,NEU
"i live right near there, it has been a steady rain up this way since about 2pm. But I haven't heard if there is flooding or not🤔",0.0,1.0,0.0,0.0,NEU
thank you so much,0.455,0.545,0.0,0.3612,POS
"I'm in Clearwater and on high ground, and my street looks like a river!!",0.204,0.796,0.0,0.4738,POS
West St. Pete 5” rain so far.,0.0,1.0,0.0,0.0,NEU
"6” rain West St Pete. Emptied 10 minutes ago with another inch, total 7”",0.0,0.884,0.116,-0.1779,NEG
Just got this in my phone and I’m in Largo.,0.0,1.0,0.0,0.0,NEU
Watching Denis Phillips from Maggie Valley NC on DirectTV Stream. So much better to have someone sane to watch when all your belongings are in harms way,0.101,0.797,0.102,-0.0056,NEU
"that’s my kind of view!",0.0,1.0,0.0,0.0,NEU
"we are too here in Alabama!",0.0,1.0,0.0,0.0,NEU
also in NC watching 😂 he’s the only meteorologist I trust,0.292,0.708,0.0,0.5106,POS
Ring is handy too,0.0,1.0,0.0,0.0,NEU
"we can send pictures too lol",0.359,0.641,0.0,0.4215,POS
Thanks,1.0,0.0,0.0,0.4404,POS
And we will wake up for 2am high just to check,0.0,1.0,0.0,0.0,NEU
A little funny to lighten the mood. 😊,0.343,0.657,0.0,0.3832,POS
"Curious… Why is there no thunder and lightning with the storm?",0.0,0.82,0.18,-0.296,NEG
"I take that back
thunder and lightning have joined the party now 😂",0.213,0.787,0.0,0.4019,POS
"I've only lived through a couple of these storms, but I haven't experienced that yet. I just looked into it, apparently it can happen on the outer bands where the convection isn't as strong.",0.0,0.894,0.106,-0.5504,NEG
thank you for looking that up 🙂,0.333,0.667,0.0,0.3612,POS
"Wind direction. Thunder storms have vertical winds. Thunder and lightning happen when the wind takes the moisture up to the cold air. Tropical storms/hurricanes have horizontal winds, so the moisture doesn't rise upward like it does in thunderstorms.",0.0,0.946,0.054,-0.2755,NEG
"very informative
thank you 🙂",0.481,0.519,0.0,0.4173,POS
Are tornadoes very normal here in FL? We just moved here and to me hurricanes are not a big deal cause you can move till it passes but I feel like k the hurricane is coming north so I go south but in your way there u get kill by tornadoe.. hmmm what.,0.058,0.824,0.117,-0.6486,NEG
"hurricanes bring tornadoes",0.0,1.0,0.0,0.0,NEU
"Hurricane Ian produced 14 Tornadoes.",0.0,1.0,0.0,0.0,NEU
yes they are likely to occur with the rotation.,0.252,0.748,0.0,0.4019,POS
You are the best!!!!,0.0,1.0,0.0,0.0,NEU
"🙏🙏🙏",0.0,1.0,0.0,0.0,NEU
