A Tornado Warning has been issued for parts of Pinellas until Aug 04 6:15PM. Download the ABC Action News App for the latest weather information.,Pos,Neu,Neg,Compound,Overall Sentiment
Is it over bc I'm freaking out!!,0.0,0.639,0.361,-0.5242,NEG
Denis Phillips rule #7: don't freak unless Denis freaks. I pray peace for you. Be wise but be calm.,0.445,0.504,0.05,0.8128,POS
Ty,1.0,0.0,0.0,0.3818,POS
"why freaking out? Unless you’re on the water on first floor, we get harsher afternoon and evening daily storms",0.0,0.739,0.261,-0.7184,NEG
"You must be tone deaf. So many I know have major flooding in their homes from this storm and still have not recovered from Ian. It depends on where you are located, it's not a one-size-fits-all.",0.0,1.0,0.0,0.0,NEU
I said unless you’re in flood zone. Your comprehension is lacking. Stop with your panicking.,0.0,0.702,0.298,-0.6249,NEG
"I'm not in panic mode, no reason to be where I am. And that is not my nature anyway. My comprehension is just fine. There are trees down due to damage/rot from Ian, boats loose and high water in homes for many who are not recovered from Ian. Most of FL at this point is a flood zone as Ian changed the make up of the soil/sand and water is not draining as it should. Oh, and then there is over development of permeable surfaces, mangroves destroyed...... no flood zone needed to cause hardship for many.",0.044,0.867,0.089,-0.542,NEG
"warning is expired! Be prepared for more warnings though, the tropical storm isn’t over",0.105,0.608,0.287,-0.5081,NEG
Ty,1.0,0.0,0.0,0.3818,POS
it’s over. Breathe,0.0,1.0,0.0,0.0,NEU
Where in Pinellas?,0.0,1.0,0.0,0.0,NEU
"according to what I heard on the news it’s in Clearwater right now, which is where I live.",0.0,1.0,0.0,0.0,NEU
it started in maderia beach and traveled to possibly clearwater,0.0,1.0,0.0,0.0,NEU
they said it was near Drew and Belcher.,0.0,1.0,0.0,0.0,NEU
maderia beach is a water spout,0.0,1.0,0.0,0.0,NEU
one was just spotted ridge road and park Blvd,0.0,1.0,0.0,0.0,NEU
I guess we’re all tuned into Denis right now! 😀,0.0,1.0,0.0,0.0,NEU
absolutely. We just finished a tornado watch by my house. Very scary,0.0,0.741,0.259,-0.5413,NEG
red box,0.0,1.0,0.0,0.0,NEU
