"Tropical Storm Debby LIVE coverage
Lots of rough weather and warnings!  Bring your questions. That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
Denis Phillips hopefully someone warmed it up for ya 😁😁,0.375,0.625,0.0,0.5859,POS
Denis Phillips only if it rains at Disney,0.0,1.0,0.0,0.0,NEU
Denis Phillips probably because of the heat lightning!,0.0,1.0,0.0,0.0,NEU
"Denis Phillips It will be delayed, like your arm movement",0.202,0.645,0.153,0.1531,POS
Denis Phillips only if Waffle House closes!! 🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
"Denis Phillips OMG Denis, we love you! 🤗🤗",0.391,0.609,0.0,0.6696,POS
Good night lol get some rest and eat you cheeseburger lol,0.515,0.485,0.0,0.8176,POS
Denis Phillips yes,0.574,0.426,0.0,0.4019,POS
Denis Phillips disappointed in the finale.,0.0,0.617,0.383,-0.4767,NEG
"We're getting slammed in NPR.
I even thought I heard hail.
The thunder is nice.
Stay safe folks.",0.35,0.65,0.0,0.7184,POS
Denis Phillips is this the worst of it for the pasco area,0.0,0.728,0.272,-0.6249,NEG
Denis Phillips ...she mispronounced...hell....😆 🤣,0.0,1.0,0.0,0.0,NEU
You do a great job — trust your gut to do it the way that’s needed.,0.381,0.619,0.0,0.8126,POS
And yet everyone here prefers to watch you instead. That's kind of an awesome feeling I'd think.,0.272,0.728,0.0,0.6808,POS
Thank you Denis! This stream is the only reason I'm still calm. It's NASTY out there. Worse than I expected.,0.174,0.545,0.281,-0.6027,NEG
I was not expecting this kind of weather,0.0,1.0,0.0,0.0,NEU
🤯,0.0,0.0,0.0,0.0,NEU
We just moved to Hillsborough county - what do we do for a flash flood? Thankfully we have two stories but we’ve never experienced this before!,0.087,0.913,0.0,0.2942,POS
Stay inside,0.0,1.0,0.0,0.0,NEU
Do you know what zone you are in? Hillsborough has everything from coastal flooding to land that is high enough to not have to worry about it,0.085,0.915,0.0,0.3412,POS
"Stay inside, don't ever drive through flooded roads.",0.0,1.0,0.0,0.0,NEU
not sure of the zone but about 15 east of Apollo beach right above Wimauma so pretty inland?,0.245,0.691,0.064,0.7346,POS
Flash flood is from too much rainfall and the area/ ground cannot absorb the runoff of rain as fast as it is coming down. You'll know by looking if your street is flooded or yard is holding water or you live by a river or body of water that rises from excess rain Then if it gets too bad it can come into your house. It's not usually from flooding caused by storm surge from the Gulf waters being pushed in by a storm if you live close to the water,0.0,0.962,0.038,-0.5423,NEG
"I don’t understand how the weather channel says we get 1 inch of rain when we’ve drained our pool in Palm harbor 3x so far! Where do they get their measurements from?",0.0,0.912,0.088,-0.4199,NEG
"Your dedication Denis is truly amazing and SO appreciated!",0.654,0.346,0.0,0.9065,POS
I appreciate humor!!!! Please keep it up. Thank you.,0.634,0.366,0.0,0.8257,POS
I love the wind. It’s almost peaceful.,0.64,0.36,0.0,0.7968,POS
Me too and the rain 🤍,0.0,1.0,0.0,0.0,NEU
So thankful for live coverage of this all night ❤️,0.307,0.693,0.0,0.6115,POS
Had my first today as a Florida girl. Leaving AMI today crossed over the Skyway bridge during TS Debby with a major rain band Thanks once is enough for me. Thanks Denis for being here for us.,0.149,0.851,0.0,0.7003,POS
"What is the track or situation that scares you, generally speaking, not with this storm, your doomsday scenario",0.0,0.721,0.279,-0.7351,NEG
"Ian was our doomsday scenario here in Pinellas because it was expected to hit here. Unfortunately for others, it hit south of here and devastated Sanibel, Englewood, etc areas. But it was our nightmare scenario when it was first forecast",0.0,0.849,0.151,-0.6808,NEG
This is great! Behind the scenes stuff,0.423,0.577,0.0,0.6588,POS
This is concerning!! I’m moving my bowels now but I need to get outside and get supplies before this storm comes!!!! I’m trying to finish up fast but I’m so nervous!!,0.0,0.858,0.142,-0.6985,NEG
TMI,0.0,0.0,1.0,-0.0772,NEG
Good grief !!! We aren't interested in your personal hygiene!!🤬,0.175,0.424,0.401,-0.5756,NEG
TMI,0.0,0.0,1.0,-0.0772,NEG
You guys act like not everybody has bowel movements grow up lmao,0.39,0.61,0.0,0.7506,POS
exactly 💩happens.,0.0,1.0,0.0,0.0,NEU
Hubs currently draining the pool in Lkld for the third time since Sunday morning. We’ve gotten much more than a few inches of rain,0.0,1.0,0.0,0.0,NEU
sound like my husband. He draining the pool fourth time since Saturday night. We live in Westchase /Citrus Park .,0.122,0.878,0.0,0.3612,POS
"I would rather listen to you than Jim Cantore. Actually you do a great job Denis.",0.24,0.76,0.0,0.6249,POS
We agree,0.714,0.286,0.0,0.3612,POS
ABSOLUTELY!!,0.0,1.0,0.0,0.0,NEU
Thank you! My mother ex law lost cable in Largo! Appreciate you keeping this live on FB! I'm watching from Wisconsin!,0.239,0.675,0.086,0.6209,POS
"I shot her a text and she said it just went off earlier.",0.0,1.0,0.0,0.0,NEU
"Since we’re not worried about the wind, would love to see rainfall totals, been raining hard all day in Apollo Beach.",0.239,0.706,0.055,0.6896,POS
Do we still have any tornado watches srq airport. Whitfield Bradenton border,0.0,1.0,0.0,0.0,NEU
"would like to know that too !",0.358,0.642,0.0,0.4199,POS
Can you zoom in on Lakewood Ranch area? We’ve been getting all the tornado warnings and activity just picked up with thunder and lightning and wind and rain,0.0,0.925,0.075,-0.296,NEG
We are in the closet I can see my neighborhood on your map,0.0,1.0,0.0,0.0,NEU
"i’ll be arriving in palm harbor around 4 tomorrow, will i be okay? will it be flooded? first time being there!",0.124,0.876,0.0,0.372,POS
"If you are driving, please be careful. Low lowing areas may have water.",0.236,0.545,0.218,0.0772,POS
I’m on Dunedin oh line now is a good time to let pups out,0.195,0.805,0.0,0.4404,POS
"My 5 year old goes on a training pad but also goes out when we can! 😂",0.0,1.0,0.0,0.0,NEU
My pool looks like it’s about to overflow,0.263,0.737,0.0,0.3612,POS
Anytime there is any heavy rain event you should drain some water out of our pool prior.,0.0,1.0,0.0,0.0,NEU
This hurricane makes me realize I'm missing my rule #7 cup. Ordering a new one now!!!!,0.0,0.806,0.194,-0.5216,NEG
"How long is this going to be. Flying to Orlando on Wednesday.",0.0,1.0,0.0,0.0,NEU
it’ll be done tomorrow,0.0,1.0,0.0,0.0,NEU
"This should be cleared up by tomorrow night in Orlando. Flooding might still remain, but flying into Orlando shouldn't be affected by this particular storm on Wed.",0.103,0.897,0.0,0.2182,POS
"The one thing we are together and in agreement and people can mess up with non-sense stuff for this purpose (usually political). Thanks Denis for your commitment, we love you!",0.324,0.614,0.061,0.8932,POS
Just got an update on my echo saying there is a tornado watch in Riverview,0.0,1.0,0.0,0.0,NEU
In Manatee. Live on water. How will it look at high tide tonight? Should I be concerned. Water is already up alot.,0.0,1.0,0.0,0.0,NEU
"Wondering same, coastal Manatee",0.0,1.0,0.0,0.0,NEU
"Hey Denis! Great job Bridget and Stevo!",0.438,0.562,0.0,0.6892,POS
When will it hit northern Florida? I have my husband and kids driving home through the night! 😱,0.0,1.0,0.0,0.0,NEU
He said around 8am i think,0.0,1.0,0.0,0.0,NEU
For landfall,0.0,1.0,0.0,0.0,NEU
when is rain expected to stop?,0.0,0.694,0.306,-0.296,NEG
"Hasn’t rained in Bradenton since around 830. Radar keeps saying it’s going to, but it just hasn’t",0.0,1.0,0.0,0.0,NEU
"Hey Denis! Can you show IR satellite imagery ?",0.0,1.0,0.0,0.0,NEU
Can you show rain totals in Pasco county? Specifically Wesley Chapel. Been raining all day!,0.0,1.0,0.0,0.0,NEU
Would you mind hopping up to discuss the Gainesville area?,0.0,1.0,0.0,0.0,NEU
Just took my little dog out here in Bradenton and we both almost blew away.!,0.0,1.0,0.0,0.0,NEU
Will it be safe to go on the bridges tomorrow morning?,0.225,0.775,0.0,0.4404,POS
"When will the rain clear out? Asking for my beach chair ! 😂",0.224,0.776,0.0,0.4389,POS
"What’s going on in the south Tampa area tomorrow for weather?",0.0,1.0,0.0,0.0,NEU
"Hi Denis! 👋
How does it look for the Orlando area? 🙂",0.0,1.0,0.0,0.0,NEU
"he has the Diet Dr Pepper locked and loaded i see 🙂",0.0,1.0,0.0,0.0,NEU
Will it be like this all day tomorrow in st Pete?,0.2,0.8,0.0,0.3612,POS
Can you show your wind forecast model?,0.0,1.0,0.0,0.0,NEU
"Spring Hill? Do you think it’ll be heavy tonight?",0.0,1.0,0.0,0.0,NEU
We are scheduled to fly home tonight from Syracuse into st Pete Don’t you think we should reschedule?,0.0,1.0,0.0,0.0,NEU
"I would",0.0,1.0,0.0,0.0,NEU
Yes,1.0,0.0,0.0,0.4019,POS
Any predictions on flooding potential for Hillsborough County? Driving from Plant City into Tampa in a few hours.,0.0,1.0,0.0,0.0,NEU
Safe travels,0.744,0.256,0.0,0.4404,POS
Is the lightning (Lithia) worse at night this growth cycle??!,0.203,0.542,0.254,-0.1906,NEG
"The tornado warnings, how many of them actually touch down? Is there like a %?",0.168,0.703,0.129,0.168,POS
It would be an inaccurate depiction of warnings to actual touchdowns. It’s all conditional to the storm itself.,0.0,0.885,0.115,-0.296,NEG
Is this stalling? Lost connection a few times. Strong gusts at the border between St. pete/Seminole/Madeira Beach,0.162,0.637,0.201,0.0516,POS
"When will it be out of our area?",0.0,1.0,0.0,0.0,NEU
What time does the new track come out,0.0,1.0,0.0,0.0,NEU
11,0.0,1.0,0.0,0.0,NEU
I’m going to be so mad if I go into labor tonight 😂,0.0,0.708,0.292,-0.6269,NEG
I downloaded the storm shield app but I don't see a way to set alerts for tornadoes. I'm over in Lakeland the wind and lightning are picking up here . TIA,0.176,0.824,0.0,0.7615,POS
My neighbor just told me she heard there is supposed to be more rain tomorrow (as in more rain than we got today). That can't be right... Right?,0.0,1.0,0.0,0.0,NEU
Your co host is awesome,0.506,0.494,0.0,0.6249,POS
You're doing great Jonathan lol! We know Denis Phillips appreciates you! 😂,0.574,0.426,0.0,0.8953,POS
"Tuned in, here in treasure island, from Kentucky- this storm is a first for me! 🌧️ 🌪️ 🏝️",0.135,0.865,0.0,0.3595,POS
How is it there?,0.0,1.0,0.0,0.0,NEU
this is just a baby. Great way to “get your feet wet.” 😂,0.291,0.709,0.0,0.6249,POS
Are we getting worse through the night,0.0,0.659,0.341,-0.4767,NEG
"Are we going to get any thunder or lightning with this?",0.0,1.0,0.0,0.0,NEU
We are getting slammed Pasadena Estates with wind and rain,0.0,1.0,0.0,0.0,NEU
He said there typically isn't much lightening with these kinds of storms,0.0,1.0,0.0,0.0,NEU
Good lightning and thunder in LWR,0.367,0.633,0.0,0.4404,POS
I’m so glad you guys do this because I don’t have cable and this helps keep updated! God bless you,0.434,0.566,0.0,0.8881,POS
"This is better than any show on! 😁",0.347,0.653,0.0,0.4926,POS
Thank you for staying on and keeping us updated! Much rather be safe! Hillsborough off Double Branch starting to flood. 🙏❤️,0.24,0.76,0.0,0.717,POS
I’m on Clark in Sarasota and we are getting it bad right now,0.0,0.774,0.226,-0.5423,NEG
"I'm on gulf gate dr. It's scary bad here😱",0.0,0.511,0.489,-0.7717,NEG
be safe,0.744,0.256,0.0,0.4404,POS
You too,0.0,1.0,0.0,0.0,NEU
"Off clark near lockwood. Its bad bad here. We're flooding",0.0,0.533,0.467,-0.7906,NEG
"beneva and bee ridge and we’ve got flickering power",0.0,1.0,0.0,0.0,NEU
I'm on gulf gate dr Really bad here,0.0,0.649,0.351,-0.5849,NEG
be safe. My whole yard in flooded,0.326,0.674,0.0,0.4404,POS
"us too and cable is not working🤦🏼‍♀️
",0.0,1.0,0.0,0.0,NEU
we are pretty much a house in a lake 😅 my bedroom is taking on water,0.211,0.789,0.0,0.4939,POS
"My doodle loves the rain",0.481,0.519,0.0,0.5719,POS
Same! Refuses to come in!,0.0,1.0,0.0,0.0,NEU
"Thank you Denis for always keeping us updated!!",0.306,0.694,0.0,0.4738,POS
We’re at Anna Maria Island. Just lost power with these gusts 😆,0.0,0.813,0.187,-0.3182,NEG
I was just on a video chat with my best friend in Seminole and it was definitely lightening,0.437,0.563,0.0,0.8779,POS
"Anything happening in Pinellas my neighbors powers all out",0.0,1.0,0.0,0.0,NEU
