A Tornado Warning has been issued for parts of Hillsborough County. Download the ABC Action News App for the latest.,Pos,Neu,Neg,Compound,Overall Sentiment
We have a watch in Wesley Chapel now,0.0,1.0,0.0,0.0,NEU
stay safe!,0.761,0.239,0.0,0.4926,POS
"you too!",0.0,1.0,0.0,0.0,NEU
"the wind n stuff just started picking up. Like maybe an hour ago",0.185,0.815,0.0,0.3612,POS
just south of Kaylee 🤦‍♀️,0.0,1.0,0.0,0.0,NEU
"that red square is just south of us. Where we went to the lagoon",0.0,1.0,0.0,0.0,NEU
Lightning in Largo,0.0,1.0,0.0,0.0,NEU
"I’m pretty sure one went right over us in Largo! Near Dakso park.
I was trying to get my dog to potty during a lull and all of the sudden it sounded like a helicopter to the left of us then overhead and tree branches started coming down with huge wind gusts! Out of no where! Scared the hell out of me!",0.157,0.711,0.133,-0.3753,NEG
"be safe",0.744,0.256,0.0,0.4404,POS
"I got the warning!
Scared the crap out of me!",0.0,0.414,0.586,-0.8168,NEG
Denis Phillips. Should we breathe now? Asking for a friend from Wimauma. 😜,0.242,0.758,0.0,0.4939,POS
That’s our city,0.0,1.0,0.0,0.0,NEU
you okay???,0.709,0.291,0.0,0.3485,POS
we are good ❤️ we moved to lakeland,0.293,0.707,0.0,0.4404,POS
