"A Tornado Warning has been issued for parts of Hillsborough, Manatee until Aug 04 8:30PM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
⚠️Thank you for SPECIFYING the locations with words on this one.,0.0,1.0,0.0,0.0,NEU
The wind is HOWLING here in Wimauma. We're in a closet.,0.0,1.0,0.0,0.0,NEU
It really is!,0.0,1.0,0.0,0.0,NEU
My husbands flight out of Tampa tomorrow morning at 7 am is canceled to Philly,0.0,1.0,0.0,0.0,NEU
A few mins ago,0.0,1.0,0.0,0.0,NEU
"Pasco county?",0.0,1.0,0.0,0.0,NEU
lots of leaks and no towels or pots left. Rocking and a rolling to see if I float right on down.,0.0,0.891,0.109,-0.296,NEG
🙏,0.0,0.0,0.0,0.0,NEU
"Was pretty gusty much of the day. in Nokomis Beach Videos just don’t do it justice. You can feel the wind coming in under the roof vents. Ive been through every storm since moving to St Pete 1971 Pinellas Park 1992, Parrish 2011-2021 and now Nokomis. Every one has their own personality no matter the intensity , they are all scary",0.113,0.808,0.079,0.3182,POS
Ruskin/Sun City,0.0,1.0,0.0,0.0,NEU
"Wimauma - daughter says it sounds like a hurricane",0.294,0.706,0.0,0.3612,POS
"Today at Bayshore Blv in Tampa, FL. Denis Phillips",0.0,1.0,0.0,0.0,NEU
When will we see the worst of it in Ruskin?,0.0,0.687,0.313,-0.6249,NEG
"Denis, the news here in Tally is not so great. Can you give us an update on what and when to expect this storm? Close to FSU area. Thank you in advance!",0.068,0.812,0.12,-0.4461,NEG
