"8 PM DEBBY | Winds are up to 70 mph. Category 1 winds begin at 74 mph. Our area continues to see flash flooding and scattered tornado warnings. The 11 pm track may shift east for landfall as the center is closer to the coast than the 5 pm forecast track. We'll let you know as soon as that comes in.",Pos,Neu,Neg,Compound,Overall Sentiment
"Saved our tortoise from the flood. lol",0.528,0.472,0.0,0.6808,POS
aww this is the cutest 🥰,0.487,0.513,0.0,0.5859,POS
love your sulcata! This is my sister's!,0.444,0.556,0.0,0.6988,POS
Love it !😍,0.692,0.308,0.0,0.6696,POS
the cats are happy lol,0.684,0.316,0.0,0.7579,POS
They are trying to figure out why that “cat” is so strange looking. lol,0.176,0.688,0.136,0.1772,POS
"you do know they can swim underwater right?",0.0,1.0,0.0,0.0,NEU
it's a tortoise not a turtle,0.0,1.0,0.0,0.0,NEU
"Ummmm. No, they cannot. lol. It’s a tortoise. They don’t swim.",0.0,0.638,0.362,-0.5472,NEG
"so close. Not a gopher tortoise. Keeping a gopher would be a 3rd degree felony. He is an African spurred tortoise otherwise known as a sulcata. Yes, a land dweller who loves to dig. He has the most beautiful dinosaur feet that helps him dig not swim.",0.268,0.667,0.065,0.8748,POS
ahhh ok he looks like a gopher in the photo. I thought you rescued him from the yard . I didn’t realize he was a pet. Yes I know gophers are protected .,0.384,0.616,0.0,0.9022,POS
"Raining enough in Wesley Chapel that the walking catfish are out for a stroll",0.0,1.0,0.0,0.0,NEU
I’m in Wesley chapel!,0.0,1.0,0.0,0.0,NEU
"more rain for us this afternoon, unfortunately 😑",0.0,0.714,0.286,-0.34,NEG
I saw! See anymore catfish?!,0.0,1.0,0.0,0.0,NEU
omg I saw one in Orlando the other night,0.0,1.0,0.0,0.0,NEU
"they're creepy looking!",0.0,1.0,0.0,0.0,NEU
same here in Pinellas park,0.0,1.0,0.0,0.0,NEU
"My electricity was off about an hour. One of my daughters called Duke and told them , that I am on oxygen and they said by 10:30. They already have done it. I ask for prayer and yes. 💜💜",0.072,0.928,0.0,0.4019,POS
where are you located,0.0,1.0,0.0,0.0,NEU
Ankle deep water in Trinity Presbyterian church and adjoining school in Clearwater. My kids are there now trying to save as much of their classroom furniture as possible. 😑,0.106,0.894,0.0,0.4939,POS
oh this is awful,0.0,0.5,0.5,-0.4588,NEG
"oh wow! Roof leak?",0.482,0.236,0.283,0.4003,POS
i think it came in under the doors. They are getting bags of soil to use as sandbags.,0.0,1.0,0.0,0.0,NEU
they have a garden in the middle with buildings surrounding so it made a pool basically and started pushing its way out,0.0,1.0,0.0,0.0,NEU
"I feel like this storm has been worse then even the cat 2s we’ve had here in largo.",0.121,0.728,0.15,-0.1531,NEG
"yes substantially more than an afternoon thunderstorm. The gusts here near the coast are powerful, and the rain is no joke either. Feels more like a main event than the ""dress rehearsal"" everyone thought it would be.",0.24,0.709,0.05,0.807,POS
is largo near Clearwater? I’m trying to get an idea of how bad it is for where my daughter lives. I can’t get in touch with her,0.0,0.877,0.123,-0.5423,NEG
depends where in Clearwater were close to Seminole. A ton of ppl do not have electric,0.0,1.0,0.0,0.0,NEU
"totally agree! These gusts are STRONG!",0.649,0.351,0.0,0.8131,POS
agreed. We’ve been without power for hours. This has never happened before since I moved here 11 years ago.,0.11,0.89,0.0,0.2732,POS
a lot of people are saying this. I’ve never seen this much wind and rain in Brandon,0.0,1.0,0.0,0.0,NEU
This is in a park in Largo,0.0,1.0,0.0,0.0,NEU
Ranchero Village. Thank you.,0.455,0.545,0.0,0.3612,POS
 agree,1.0,0.0,0.0,0.3612,POS
"Stopped raining long enough for dog potty break. It's back at it SoG",0.0,0.863,0.137,-0.2263,NEG
"yea, I'm waiting for it to stop enough to take my dog out for the night!",0.0,0.858,0.142,-0.3595,NEG
yes!,1.0,0.0,0.0,0.4574,POS
"nobody cares",0.75,0.25,0.0,0.4588,POS
Gotta make the best of it 😭😂 yall stay safe,0.47,0.53,0.0,0.7964,POS
where are you at? Stay safe.,0.367,0.633,0.0,0.4404,POS
"pinellas park.",0.0,1.0,0.0,0.0,NEU
"I don’t understand for those of you that are stuck outside or in locations that are preventable if you’re not at work or you don’t need to be out I’m not understanding why you’re out in the storm. What could you possibly need from Publix Winn-Dixie, Walmart that couldn’t wait until the storm pass or that you could have gotten prior to the weather getting bad now you want people to feel sorry for you?? 🙄",0.017,0.892,0.091,-0.7059,NEG
"someone had to say it, I never understood these people.",0.0,1.0,0.0,0.0,NEU
I wonder if they had to work.,0.0,1.0,0.0,0.0,NEU
"me either and i
Don’t say it with Ill intent i just don’t
Understand it….its like the girl
That cried wolf…. What’s are
You missing ? It’s too Much bad stuff that could happen in bad weather….but I’m just gonna sit home until it’s over.",0.047,0.678,0.275,-0.9022,NEG
"that’s understandable,,.. but that comment is only for those that are not working.",0.0,1.0,0.0,0.0,NEU
first responders are not included.,0.0,1.0,0.0,0.0,NEU
"people like me get bored sitting around so we go out",0.184,0.662,0.154,0.1027,POS
we all get bored right but I’m saying that to be out in a storm where you can’t do anything it’s not going to solve the fact that I’m bored there are multiple things that you can do at home if you’re bored when it’s storming such as watch the Olympics that are on or clean the garage that you’ve been putting to the side for weeks and months on end or simply relaxing and enjoying the rain and just being safe.,0.166,0.745,0.089,0.8901,POS
totally fine but leave your phone behind so you are not tempted to call if problems arise.,0.074,0.673,0.252,-0.5717,NEG
I don’t have a garage.i went out earlier this afternoon to get some stuff to work on at home tomorrow.im not driving all around but I hate when people tell me I have to do something.sounds like the current government.obey all you sheep,0.072,0.817,0.111,-0.4215,NEG
I’m having trouble understanding the whole landfall thing. It’s been on land all day. The entire state is practically covered by this storm. How is it that “landfall” hasn’t occurred? Can anyone explain this to me?,0.0,0.92,0.08,-0.4696,NEG
Thanks everyone! That makes sense and appreciate “most” of you simply answering my question without being jerks!,0.364,0.636,0.0,0.7905,POS
the center of the storm also known as the eye for a hurricane must make landfall,0.0,1.0,0.0,0.0,NEU
"it’s when the eye of the storm makes landfall.",0.0,1.0,0.0,0.0,NEU
the eye of the storm hasn’t made landfall yet,0.0,1.0,0.0,0.0,NEU
"Also, the winds are stronger right outside the eye of the storm. That's why nobody wants to be the place where the eye makes landfall.",0.098,0.902,0.0,0.3818,POS
that’s logical. Not where I’d want to be either!! Stay safe!,0.27,0.643,0.087,0.5505,POS
"Thanks, stay safe, too!",0.753,0.247,0.0,0.7263,POS
"now do you understand it? 😂😂😂😂. Stay safe",0.293,0.707,0.0,0.4404,POS
I do. I couldn’t see a clearly defined eye in the radar so I was confused. You stay safe as well,0.331,0.558,0.111,0.6275,POS
"thank you for explaining that! It makes so much more sense now!
Weak or not, stay safe!",0.109,0.61,0.281,-0.6054,NEG
"Stay safe everyone. We’re in Fort Myers and the weather was definitely more strong than we expected. So much rain, heavy wind, lots of flooding, and lots of tornadic circulation.",0.254,0.746,0.0,0.8479,POS
"Yikes!",0.0,1.0,0.0,0.0,NEU
it was dicey here for about 36 hours. Last band was really stromg. Picture of my porch....,0.0,1.0,0.0,0.0,NEU
"me too Ft Myers
This is crazy all the way from Naples all the way up. This is going to be just great for insurances already so high.",0.126,0.8,0.074,0.4019,POS
Freaking because wind pounding rain and howling trees. Not funny.,0.0,0.606,0.394,-0.6377,NEG
"where?",0.0,1.0,0.0,0.0,NEU
"Sarasota county",0.0,1.0,0.0,0.0,NEU
"ok. Thank you",0.825,0.175,0.0,0.5719,POS
"yes me too...where is Dennis? Make Debby stop!",0.267,0.536,0.197,0.2003,POS
My horses paddock. Luckily they are dry and snug in the barn,0.231,0.769,0.0,0.5106,POS
No one is talking about this northeast turn.,0.0,0.761,0.239,-0.296,NEG
yep I saw it moving east long time ago. What the heck!,0.199,0.801,0.0,0.3595,POS
started jogging east more than north a few hours ago. They don’t want to talk about it because it makes their forecasts look bad.,0.05,0.814,0.136,-0.4939,NEG
"my thoughts exactly",0.0,1.0,0.0,0.0,NEU
I feel like I’m underprepared for this one. Denis has been saying it would be like a usual afternoon thunderstorm but it’s much more than that. I’ve never had water come in my house from rain and it’s coming in right now through the sliding doors. I feel like sand bags would have helped with that but I didn’t get any because it was so hyped down by the meteorology team.,0.095,0.905,0.0,0.6956,POS
In the middle of pasco county,0.0,1.0,0.0,0.0,NEU
where are you located?,0.0,1.0,0.0,0.0,NEU
"yes!exactly!
They missed the mark on this one ..",0.0,0.742,0.258,-0.4184,NEG
"Always prepare, you never know, trust no one. It's a typical west coast storm. Eastside of storm always produces rain and flooding.",0.08,0.805,0.115,-0.2057,NEG
"No! Go away from Tampa Bay! 💨
I just backwashed my pool for the third time today. Then I pushed all the rain that built up on my pool deck and into the lanai into the pool. I’ve lived thru a lot of hurricanes but don’t ever recall this much rainfall in such a short period of time.
Stay safe!",0.08,0.893,0.027,0.6281,POS
"agree! I had to empty water out of the pool 4 times! The rain was bananas! In all the storms before, I’ve never had to empty the pool that much!",0.077,0.775,0.148,-0.3111,NEG
"Watching that eastward wobble",0.0,1.0,0.0,0.0,NEU
Still looks like it's going Northeast.,0.333,0.667,0.0,0.3612,POS
