"A Tornado Warning has been issued for parts of Sarasota, Manatee until Aug 04 10:00PM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
"The rain in manatee is insane",0.0,0.649,0.351,-0.4019,NEG
"it’s been nonstop warnings , so many",0.0,0.694,0.306,-0.296,NEG
So many!,0.0,1.0,0.0,0.0,NEU
sooo many! And so much rain!!,0.0,1.0,0.0,0.0,NEU
not sure I’m sleeping tonight. 😩 staring at my babies all night…,0.0,0.836,0.164,-0.2411,NEG
oh gosh Lindsey! Prayers for all your animals!,0.0,1.0,0.0,0.0,NEU
obsessively watching them,0.0,0.588,0.412,-0.1027,NEG
oh no,0.0,0.312,0.688,-0.296,NEG
it’s crazy!,0.0,0.271,0.729,-0.4003,NEG
"SRQ planes are flying again so we might be good for a few more moments.",0.182,0.818,0.0,0.4404,POS
Watching from north ga. New to the following of Denis. Can someone tell me where Denis forecasts from. What FL city?,0.0,1.0,0.0,0.0,NEU
"Tampa, I think",0.0,1.0,0.0,0.0,NEU
Ty,1.0,0.0,0.0,0.3818,POS
No more!!,0.0,0.264,0.736,-0.4184,NEG
I don’t mind the rain but no tornadoes.,0.0,0.682,0.318,-0.4215,NEG
Getting one now on the TV plus on the phone,0.0,1.0,0.0,0.0,NEU
"Tornado warning for those in the red box",0.0,0.745,0.255,-0.34,NEG
what app is this? Love that you can see the exit numbers,0.312,0.688,0.0,0.7184,POS
"the website is https://warn.pbs.org, it tracks warnings that get sent to phones (tornado, destructive severe, storm surge, hurricane, etc)",0.0,0.645,0.355,-0.8316,NEG
thank you! So cool!,0.739,0.261,0.0,0.6885,POS
"ok, the same area as the expired one from earlier",0.196,0.804,0.0,0.296,POS
yes. That website is delayed that you’re using,0.255,0.566,0.179,0.2023,POS
yep I’m in lake Sarasota it’s following the same track. Guess it’s the way the bands are moving,0.115,0.885,0.0,0.296,POS
is that your neck of the woods?,0.0,1.0,0.0,0.0,NEU
"Yes, all those warnings are interrupting my shows on the TV lol",0.307,0.447,0.246,0.2732,POS
"I'm going to unfriend you if you keep this up, Denis 🤦‍♀️😬",0.0,1.0,0.0,0.0,NEU
Don’t open links!!! Spam,0.0,0.471,0.529,-0.5229,NEG
