"A Tornado Warning has been issued for parts of Hardee, DeSoto until Aug 04 10:45PM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
"Thunder and lightning have been getting worse in our area. It was quite all day, as far as that goes, until recently.",0.0,0.871,0.129,-0.4767,NEG
How long is this supposed to stick around?,0.0,1.0,0.0,0.0,NEU
I feel like it’s been sitting right on top of us for hours! The flooding is insane and we don’t have power. How about you?,0.162,0.742,0.095,0.2244,POS
"Fortunately, we have power. But transformers keep going and it knocks everything out, but comes back on.",0.0,1.0,0.0,0.0,NEU
I hope it stays that way for you. I know we won’t get anything turned on until tomorrow. There’s no way they would send and put a crew in danger.,0.089,0.738,0.172,-0.4019,NEG
they are ready though.,0.455,0.545,0.0,0.3612,POS
Be safe.,0.744,0.256,0.0,0.4404,POS
Significant winds here in largo,0.31,0.69,0.0,0.2023,POS
in largo too. Now there’s thunder and lightning which we’ve not had all day.,0.0,1.0,0.0,0.0,NEU
yeah. Hearing that too. I've heard 3-4 transformers go the last couple of hours,0.145,0.855,0.0,0.296,POS
I heard and seen the flashes of a couple myself. Somewhere by ulmerton south of Belcher,0.0,1.0,0.0,0.0,NEU
Debbie just got upgraded to a hurricane,0.0,1.0,0.0,0.0,NEU
"I'm by Taylor Park. Where 8th Ave sw meets Indian Rocks rd, there's over 300 without power. I'm praying we don't lose power tonight....",0.086,0.834,0.08,0.0382,NEU
I've been watching Denis Phillips and he figured it would be with these wind reports,0.0,1.0,0.0,0.0,NEU
Debbie just got updated into a hurricane,0.0,1.0,0.0,0.0,NEU
"Wind picking up again in pasco Denis Phillips",0.0,1.0,0.0,0.0,NEU
"Be safe everyone and stay alert",0.56,0.44,0.0,0.6249,POS
"Many yrs ago I was living in a different county in Florida. I got a green light to cross US 41. So glad, I was smart enough to pause before moving forward. A flatbed tow truck ran the red light and passed the intersection, came to a stop, awkwardly, at the median side of the road.(Assuming, health emergency). Fast forward a week later..
Worked all day, didn't feel like cooking. Drove to the 7-11 to get a sandwich. Wind was wicked crazy when I got there. Retail stores behind there had left shopping carts out. Blowing around like crazy. Double doors of 7-11 where propped open because they were getting a delivery. I took one step inside and my hair decided it was in a race to get inside first! Lol. Picked out a sandwich and went to check out, power went out. As I was driving home (without said sandwich), I realized I was driving over something. Waited the storm out, went to another convenience store hours later. Overheard an employee talking to an EMT. There had been a tornado. It hit a business selling storage sheds. I had been driving over the remnants of them!! My coworkers teased me for a while. Asking me if I had a death wish and calling me Dorothy! 😂 Reasons why I stay inside and prepare before hand.",0.066,0.827,0.107,-0.8037,NEG
"Can we talk about the wobble East. Homosassa here.",0.0,1.0,0.0,0.0,NEU
"Getting strong here in St Pete",0.398,0.602,0.0,0.5106,POS
"what county are we in please?",0.315,0.685,0.0,0.3182,POS
pinellas,0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
"Barely moved for 3+ hours, getting hammered in southern Riverview)Big Bend Rd)",0.0,1.0,0.0,0.0,NEU
"I think Hardee County leads the state in Tornado Warnings this round.",0.0,0.82,0.18,-0.296,NEG
Here’s the view from the parking lot at The Standard Apartments on Drew Street- Clearwater tonight. Denis Phillips,0.0,1.0,0.0,0.0,NEU
Tornado warning for those in the red box,0.0,0.745,0.255,-0.34,NEG
"Hello not looking good in NPR",0.0,0.675,0.325,-0.3412,NEG
Just lost power in the Lake Magdalene area.,0.0,0.753,0.247,-0.3182,NEG
"Any news on a cold front?",0.0,1.0,0.0,0.0,NEU
Do you have a cot for the night?,0.0,1.0,0.0,0.0,NEU
"Dunedin..help",0.0,1.0,0.0,0.0,NEU
Stay safe,0.744,0.256,0.0,0.4404,POS
