"Debby is now a hurricane. Winds are 75 mph. No changes to track or landfall estimate. We are LIVE right now on DPL so if you have any questions, you can stop by and say Hi. Jason Adams will be in shortly as well. ABC Action News at 11 starts now.",Pos,Neu,Neg,Compound,Overall Sentiment
"Denis, I've been here over 50 years. I have to tell you the rain, wind was some of the worst I've seen. Sorry, but I have freaked out a bit. This is a bad storm. I will have many neighbors and friends that will have to deal with issues after the storm passes. Be safe everyone",0.125,0.7,0.175,-0.3071,NEG
"I 1000 percent agree with you! Lived here 52 years, never been this bad no matter what storm.",0.155,0.56,0.285,-0.6145,NEG
we moved here almost 4 yrs ago from NJ and to me this is worse than Ian was! I told hubby if this what Florida is going to be like I don’t think I want to live here anymore! My anxiety is going through the roof! 😫😫,0.078,0.805,0.117,-0.4359,NEG
"where are you? It’s not too bad by us.",0.263,0.737,0.0,0.431,POS
crazy how certain areas get hard hit than others. I’m near Clearwater and it was windy but not that bad.,0.22,0.66,0.12,0.5307,POS
"this is nothing compared to what we've experienced. Irma and other tropical storms in 2017, some no name storms too were far worse. The no name one we had in December was horrific",0.0,0.709,0.291,-0.8979,NEG
you are blessed because this is nothing compared to what we went through with hurricane Ian in Fort Myers.,0.178,0.822,0.0,0.5994,POS
I was thinking the exact same. Take care! 💕,0.368,0.632,0.0,0.5411,POS
"Yes, Ive been here many years also - the winds had some bad gusts!",0.154,0.629,0.217,-0.2714,NEG
Totally agree 👍🏻,0.583,0.417,0.0,0.4201,POS
"what general area are you in? We were here for Ian, we are having significantly less wind.",0.0,1.0,0.0,0.0,NEU
I’m in River Ridge (north NPR) and it has been so incredibly lackluster all day. Big nothing burger. The thunderstorm yesterday was way worse. It’s only thundered twice (minor ones) and just soft rain with occasional downpours. This is like a light spring storm in Nebraska. I guess we are blessed because it sounds like it’s way worse to the west of me.,0.125,0.788,0.087,0.4019,POS
"Denis Phillips thank you for your coverage, long hours and hard work! Top notch and sooo appreciated!!",0.371,0.568,0.061,0.795,POS
"Edit: 45 minutes later we are at 11.6”…
9.5” of rain today in Port Richey. Over an inch just in the last 30 minutes.",0.0,1.0,0.0,0.0,NEU
wow! It hasn’t let up in hours.,0.405,0.595,0.0,0.6239,POS
10.5” now. 🌧️ 😲,0.0,1.0,0.0,0.0,NEU
"Ugh, high winds and flooding in St Pete Beach",0.0,0.741,0.259,-0.4215,NEG
"we are supposed to be flying into
Tampa on Tuesday morning.",0.0,1.0,0.0,0.0,NEU
"Just received an Emergency flash flood Alert, lived pretty close to St Pete Beach.",0.284,0.579,0.137,0.4215,POS
"yes, we're in Don Cesar place and we've been flooded all afternoon and it's getting higher next to hotel Zamora",0.124,0.876,0.0,0.4019,POS
"we lived across from Don Cesar, and we're on Casablanca Ave, unfortunately our streets all flood.
Hopefully by tomorrow the tide will go back down. High tide is supposed to be 3am. 🤞🙏 it's not too bad.
The Don Cesar is a Beautiful hotel, I'm sure it will be better in the morning",0.232,0.73,0.038,0.9052,POS
"we will know more tomorrow. This storm is not hitting our area hard, but trees may be down, roads & bridges may be closed, there will be local flooding tomorrow. Keep your eye on this page, people will report what is going on. You should call the hotel in the morning also to get an update, flooding may affect access to the beach and the parking. Should get better as the storm moves by.",0.051,0.934,0.016,0.5647,POS
"Thankyou so much, we will call the hotel in the morning, hope you are all safe and well xx",0.331,0.669,0.0,0.7845,POS
"Thankyou so much for the updated will keep an eye on this page, hope you are all ok and safe xx",0.308,0.692,0.0,0.7906,POS
