A Tornado Warning has been issued for parts of Manatee County. Download the ABC Action News App for the latest information.,Pos,Neu,Neg,Compound,Overall Sentiment
"When will it stop in Zephyhills, this is awful , the wind and rain unbelievable, feels like hours and hours 🙏",0.176,0.612,0.212,-0.2263,NEG
"sorry mom it’s never ending! I hope you’re ok.",0.196,0.447,0.357,-0.2018,NEG
"I’m safe Thankyou honey , what a ride scary , and still going",0.206,0.567,0.227,-0.0772,NEG
Right before the last one issued Tim & I heard all kinds of howling in the wind. I agree. Come on daytime.,0.122,0.878,0.0,0.3612,POS
going to be a long night,0.0,1.0,0.0,0.0,NEU
Indeed!,0.0,1.0,0.0,0.0,NEU
Hope it settles down soon,0.42,0.58,0.0,0.4404,POS
When will this be over for Pinellas?,0.0,1.0,0.0,0.0,NEU
the tornado watch that includes Pinellas is effective until 6AM.,0.256,0.744,0.0,0.4767,POS
so is this for the st Pete folks?,0.0,1.0,0.0,0.0,NEU
"no, this tornado warning was for manatee county.",0.0,0.566,0.434,-0.5574,NEG
🙏,0.0,0.0,0.0,0.0,NEU
That not near us and it's moving north.,0.0,1.0,0.0,0.0,NEU
🙏,0.0,0.0,0.0,0.0,NEU
be safe !!,0.635,0.365,0.0,0.5399,POS
"doing ok, thankful you all left before all this messy weather. Been raining like no end all day. Thanks, Nicole.🙏🥰",0.372,0.461,0.167,0.7371,POS
yes we had good timing,0.651,0.349,0.0,0.6808,POS
"we are safe love thank you 😊💯❤️",0.706,0.294,0.0,0.8625,POS
