A Tornado Warning has been issued for parts of Manatee until Aug 04 11:45PM. Download the ABC Action News App for the latest weather information.,Pos,Neu,Neg,Compound,Overall Sentiment
"I come on here and see a vague post about a tornado warning. I’ve spent the last half hour looking for more info, since I am potentially in the path, and there is nothing. Not another mention anywhere of this warning. It’s so weird here. I lived in Arkansas for years and I guess I’m used to a lot more coverage when it comes to tornadoes. I’ve seen what they can do. They scare me almost more than the hurricanes.",0.0,0.856,0.144,-0.8553,NEG
Exactky! I lived in GA and OH and they gave count downs to cities in the path and named the towns in danger. I’ve been beyond frustrated with this tonight - terrible information regarding these.,0.0,0.746,0.254,-0.8805,NEG
i know its like where did everyone go,0.294,0.706,0.0,0.3612,POS
"The post below was more specific, red lines circling zone.",0.0,1.0,0.0,0.0,NEU
"Tornadoes in the alley are far more long-lasting and stronger than tornadoes in FL. A tornado here is almost always going to be EF0 or a low EF1, with an incredibly rare EF2. Your best resource during tornado warnings is going to be the NWS SPC. They'll have a bulletin describing where it was sighted, how it was sighted, and the direction it's heading. Denis in particular analyzes the radar and may pass on analyzing ones that are evidently non-factors when there's a lot going on. https://www.spc.noaa.gov/",0.078,0.874,0.048,0.5809,POS
"if you live in Manatee County, you need to sign up for their severe weather alerts. I’ve been getting texts and alarms on my phone all night. Go to mymanatee.org to sign up for the phone alerts:)",0.0,0.882,0.118,-0.5719,NEG
said the same in a comment this morning,0.0,1.0,0.0,0.0,NEU
"I also follow Spectrum news which for me are at the top, with Denis as well. They will be super precise for each potential tornados in our local area, impressive!",0.313,0.687,0.0,0.8858,POS
Definitely feels like hurricane force winds outside. Crazy!,0.426,0.388,0.186,0.4753,POS
We've had worse pop up storms on hot afternoons,0.0,0.721,0.279,-0.4767,NEG
My ABC coverage just got cut off in Land O Lakes on Hulu for some reason.This has not happened before...? Other networks are still working 😭😭😭,0.0,0.92,0.08,-0.2732,NEG
Spectrum news are amazing!,0.577,0.423,0.0,0.6239,POS
"same here
It’s like Action news went silent 😵‍💫",0.238,0.762,0.0,0.3612,POS
same,0.0,1.0,0.0,0.0,NEU
How much more rain... flooding in Port Richey,0.0,1.0,0.0,0.0,NEU
"Live video by a Sarasota local trying to have a “staycation” on AMI in Bradenton Beach at 6th St
Debby needs to go please",0.099,0.901,0.0,0.3182,POS
"Anyone live Near St Pete Clearwater Airport,any Flooding???",0.0,1.0,0.0,0.0,NEU
Denis Phillips my son wants to drive home (Largo) from Atlanta leaving around 4am. How bad of a drive will this be going down 75? I'm trying to convince him to wait 1 more day.,0.055,0.849,0.096,-0.3612,NEG
id think pretty bad. It’s heading that exact direction he’d be driving directly into it.,0.162,0.66,0.178,-0.0772,NEG
don’t,0.0,1.0,0.0,0.0,NEU
I’m in Palmetto and the wind is crazy and rain is unreal .,0.0,0.821,0.179,-0.34,NEG
Thought you were going live for 11pm update.,0.0,1.0,0.0,0.0,NEU
"I was cut off in Winter Haven",0.0,0.704,0.296,-0.2732,NEG
When will the next update please?,0.315,0.685,0.0,0.3182,POS
"How warm is the gulf waters",0.275,0.725,0.0,0.2263,POS
hotter than they should be this time of year but let's say climate change isn't real.,0.0,1.0,0.0,0.0,NEU
yup. Never been warm before 😏AND. First ever Hurricane to hit.,0.0,0.857,0.143,-0.1695,NEG
well best give more money to the government than,0.474,0.526,0.0,0.743,POS
the gulf was a lot hotter last year,0.0,1.0,0.0,0.0,NEU
it comes in Cycles .always has,0.0,1.0,0.0,0.0,NEU
look into Geo engineering,0.0,1.0,0.0,0.0,NEU
Do you suspect other potential tornado warnings to happen during the night? Wonder if I need to camp in my safe room or watch movies all night 😁 Not relax enough to sleep obviously!,0.076,0.737,0.187,-0.4936,NEG
same. Too nervous to sleep,0.0,0.656,0.344,-0.2732,NEG
This is like spam. There potentially a deadly tornado but we aren't going to tell you about it. Gott get that app so we make money off advertisers,0.061,0.877,0.061,0.0,NEU
I don't want the ABC Action News app. I want to hear from you Denis!!,0.0,0.784,0.216,-0.2565,NEG
he has his live FB going. We've been watching it for a couple of hours.,0.0,1.0,0.0,0.0,NEU
where? There wasn’t a FB live since 6 hours ago,0.0,1.0,0.0,0.0,NEU
"we are now watching on You Tube.",0.0,1.0,0.0,0.0,NEU
"Pouring here in a Holiday.",0.474,0.526,0.0,0.4019,POS
"Is there an issue with Action news live broadcast?
TV won’t play the channel all
of a sudden",0.13,0.87,0.0,0.34,POS
me too,0.0,1.0,0.0,0.0,NEU
This is a hell of a lot worse than you all told us,0.0,0.539,0.461,-0.8271,NEG
it's horrible,0.0,0.222,0.778,-0.5423,NEG
"I watch from West Palm Beach, and just by observing what he was forecasting versus what is actually happening…. It’s going to be an intense hurricane season",0.049,0.951,0.0,0.0772,POS
we are in for a lovely night 🌀,0.432,0.568,0.0,0.5859,POS
"Thank you for being our Lighthouse, Denis Phillips !!! 🩵🌞💨💦🌀🌪️⚡🌈🌞",0.273,0.727,0.0,0.5229,POS
"Hit his profile picture for live",0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
Please pray for all of Florida 🙏🏻,0.479,0.521,0.0,0.5574,POS
Do not click on any link from anngi ginanjar. It's a scam. Hey team Denis. You should remove that scammer,0.0,0.829,0.171,-0.5719,NEG
yes it comes up hacker is tracking you. I hope Denis Phillipscan get him removed please. Thanks,0.474,0.526,0.0,0.8689,POS
