2 AM UPDATE | Debby has winds at 80 mph. Landfall is expected within the next 4 hours along the Taylor/Dixie County coastline. Extremely heavy rains continue in bands here in Tampa Bay with widespread flash flooding.,Pos,Neu,Neg,Compound,Overall Sentiment
"The frogs are loving this weather! I hear them out back, from my bedroom.
Right now they are louder than the rain.
It’s a little drizzle and little wind now. Spring Hill.",0.126,0.874,0.0,0.636,POS
i am hearing them too..I thought first were ducks 🤔,0.0,1.0,0.0,0.0,NEU
me too!,0.0,1.0,0.0,0.0,NEU
same here they’re singing all night,0.0,1.0,0.0,0.0,NEU
Here too Brooksville,0.0,1.0,0.0,0.0,NEU
🤦🏼‍♀️ That's cuz they're making whoopie 😂,0.0,1.0,0.0,0.0,NEU
Debby went from little Debbie to giving Florida a Big Debby.,0.192,0.808,0.0,0.2815,POS
I have damages and a tree top is on my neighbors car,0.142,0.63,0.228,-0.2732,NEG
I feel for y'all. These storms that are shooting through the gap and rapidly intensifying near land are a different breed of hurricane!,0.0,1.0,0.0,0.0,NEU
Great I have 3 feet of water this is insane! I’m forth generation Floridian and I’m done this is too much. Ian ruin my home now this… my car is run I’ve my home is ruined I’m done,0.089,0.696,0.215,-0.6996,NEG
Thanks for the update Denis …. Can’t sleep. Crazy rains here in LWR winds don’t seem too bad .. some flashes of lightening ☔️,0.097,0.705,0.198,-0.4588,NEG
So much rain here in LWR! Could not sleep!,0.0,1.0,0.0,0.0,NEU
LWR? Not familiar with abbreviation....?,0.0,1.0,0.0,0.0,NEU
Lakewood Ranch is in Sarasota/Bradenton.,0.0,1.0,0.0,0.0,NEU
"same, can’t really sleep!",0.0,1.0,0.0,0.0,NEU
same here in Bradenton,0.0,1.0,0.0,0.0,NEU
"Thank you Denis Phillips !!
This is a long storm 😪",0.278,0.722,0.0,0.4738,POS
"it really is. It keeps slowing down and sounding cal, but then it is pouring and loud, scary wind.",0.0,0.807,0.193,-0.6486,NEG
I wonder how many Dr. PEPPERS He has drank? Lol,0.259,0.741,0.0,0.4215,POS
Thanks for the update. Scary wind here in Brooksville.,0.221,0.534,0.244,-0.0772,NEG
Very loud wind and heavy rains all evening and continuing here south of Downtown St. Pete.,0.0,1.0,0.0,0.0,NEU
yes! I’m close to Papa Joes and it’s crazy here with the wind!,0.197,0.659,0.144,0.2225,POS
Brooksville too- I am the only one awake in my house and the winds woke me from a deep sleep!,0.0,1.0,0.0,0.0,NEU
just woke me up too!,0.0,1.0,0.0,0.0,NEU
it wasn’t this bad during daylight this is scary,0.0,0.489,0.511,-0.8087,NEG
yeah darkness and storms are frightening mix! I have a horse and I can’t see him. (I ain’t going out right now! Lol),0.088,0.68,0.232,-0.555,NEG
I hope he’s okay,0.828,0.172,0.0,0.5859,POS
here in Ocala it's really nasty winds and rain too,0.0,0.698,0.302,-0.5984,NEG
"I am in Riverview, and at 3 a.m still, there's a thunderstorm with heavy rain and strong winds pounding at my windows. It’s hard to sleep with all the gusting wind and rain. I'm praying for everyone up north in the path of Debbie.",0.128,0.841,0.031,0.6597,POS
"Thank you for the update! Just lost power in Old Town, Dixie County. Scary noisy out there. Rain and wind and branches hitting the house. I pray for nothing worse. No update on the weather channel page. They talk about our area like we don't exist. All about Cedar Key and I pray they are ok.",0.244,0.65,0.106,0.8092,POS
"it’s ridiculous , like the Hatch and Poor Horseshoe and Suwannee are just rebuilding from last August. I feel so bad for the folks in Dixie and Taylor counties",0.07,0.646,0.284,-0.822,NEG
hope all is ok with you guys RoRo. Be safe,0.533,0.467,0.0,0.7906,POS
thanks Jane. We have no power and a big mess but escaped being hit by a tree again at least for now. Still raining and windy.,0.074,0.798,0.127,-0.1027,NEG
power out here in Cross City did the hurricane 🌀 make land.and where?,0.0,1.0,0.0,0.0,NEU
Thanks for being the best out there. You're the GOAT!!,0.49,0.51,0.0,0.8264,POS
"Still jammin in myakkacity ...lots of thunder , lightening , pouring rain and wind it's 2:30am ...I don't think it's gonna slow for us for several more hours ...prayers to everyone in the path in north Florida 🙏🙏",0.0,1.0,0.0,0.0,NEU
Got woke up by a crazy wind gust at 5:05am over here.,0.0,0.806,0.194,-0.34,NEG
I didn go to bed till after 6am cuz there was so many tornado threats coming ...those tornadoes scare me bad ...,0.0,0.648,0.352,-0.8678,NEG
I had to force myself to get some sleep. Do you guys have much flooding where you are?,0.0,1.0,0.0,0.0,NEU
there's a ton of flooding out in Myakka but thank fully not to bad at my property ...yes there's standing water but it's gone down Alot ..I didn like being stranded out here lol they shut 70 and 64 off so for 24 hrs I cudn come toward town if I wanted to .,0.238,0.762,0.0,0.9368,POS
"that’s good. As long as the sun keeps shining, you guys should be dried out soon.
I can only imagine being stranded. That’s always when you really want to go too. 😜",0.138,0.862,0.0,0.5413,POS
"I know right lol",0.583,0.417,0.0,0.4215,POS
Didn't get much sleep in Clearwater. It would quiet down just enough for me to start drifing off to sleep then loudly hammer us again.,0.0,1.0,0.0,0.0,NEU
The winds just picked up majorly in Plant City!,0.0,1.0,0.0,0.0,NEU
I’ve gotten about 8” rain so far according to my weather station. Max wind 35. By 60 and Turkey Creek.,0.0,1.0,0.0,0.0,NEU
just lost power here in PC. Looks like a lot of Plant City is without power now.,0.133,0.745,0.122,0.0516,POS
Up to 10.26” now.,0.0,1.0,0.0,0.0,NEU
it’s been a bit wild in Lakeland too,0.0,1.0,0.0,0.0,NEU
It all got scary for quite a while but calmed and now it's starting again! 😭 I just want it to stop! I heard a huge crash outside and I'm not going out there!,0.202,0.568,0.23,-0.2802,NEG
what part of pc,0.0,1.0,0.0,0.0,NEU
I'm in plant city as well it's picking up alot.,0.189,0.811,0.0,0.2732,POS
And so did the hotel,0.0,1.0,0.0,0.0,NEU
Mine was knocked out a few times but came back on.,0.0,1.0,0.0,0.0,NEU
You went to a hotel and it lost power too? 😱I would expect them to have generators,0.0,0.867,0.133,-0.3182,NEG
Working on the top floor of a building in Tampa tonight and the wind has been rumbling our entire unit all night! It’s so loud! We are finally just now having some quiet time.,0.069,0.931,0.0,0.3365,POS
"Rain is crazy here in FishHawk! I've lowered the water in my pool twice at least 8"" each time. I put an empty bucket out when it started raining yesterday I'm curious to see how full it is when the rain stops. Thank you for keeping us informed 👍
5 am update, it's still raining buckets! Had to lower the pool again, (just lowered it at 1:30)
But it was overflowing again!
Stay safe everyone.",0.091,0.791,0.118,0.5612,POS
"hi neighbor. I've measured 9"" of rain since 5pm",0.0,1.0,0.0,0.0,NEU
"please share when you measure.",0.6,0.4,0.0,0.5423,POS
I will!,0.0,1.0,0.0,0.0,NEU
"Driving home from Pensacola around 4pm: (live in Port Richey)
Drive is a straight shot but want to be cautious of floods and heavy rains.",0.114,0.824,0.063,0.0772,POS
Heavy rain and shore power lost in Branford (Suwannee county) at 0300. Pretty good wind gusts. Lots of Idalia feels. Glad we run on solar with house battery back ups here at Livin’ Like Larry Farm Sanctuary. All sanctuary residents doing well💕🐾,0.228,0.727,0.045,0.8519,POS
"Glad you made it safe! Took my sister to the high speed train she didn’t want to fly!",0.342,0.658,0.0,0.7772,POS
"Thank you so much Denis Phillips! I feel so calm when I listen to you report our storms, no hype just facts and some good times with all the staff at ABC. Bless you all!!",0.285,0.662,0.052,0.871,POS
"Thank you for updates. Anything on Jacksonville?? Be safe everyone",0.419,0.581,0.0,0.6966,POS
"What are the wind gusts in E Bradenton?? It’s crazy!",0.0,0.724,0.276,-0.4682,NEG
"I keep seeing flashes of lightening but I haven’t really heard thunder.
I would be worried too, it’s hard when our babies are far away and can’t just call to tell us. 💗💗💗
But it definitely isn’t as bad as Ian or Irma. Wind wise. The water is a lot though. You stay safe as well! Try to rest x",0.202,0.67,0.128,0.7463,POS
"they’re not scary bad (I’m on the cusp of manatee and Sarasota county).
Scary bad being as bad as Ian! I watched Ian winds work all my 15+ yr old trees into almost the ground from the back and forth wind.
Rn the wind is strong, but not that strong! The rain is a lot tho, volume wise. But we (me) still have power. Hugs mama. She should be okay xx",0.295,0.681,0.024,0.9701,POS
the storm has been so loud and intense tonight!,0.188,0.812,0.0,0.2157,POS
it’s just nonstop wind/rain. I’m sure she’s ok.,0.429,0.571,0.0,0.5423,POS
I’ve been wondering the same. 💨 💨 💨,0.0,1.0,0.0,0.0,NEU
"all the roads around my neighborhood are flooded. I’ve never seen my street be flooded like it is!
But last night the wind sound was crazy so I would love to see those numbers .",0.2,0.725,0.075,0.7319,POS
yep. Same here with the winds last night. Nothing like what we experienced with the previous “I storms” in the last 7 years but still fairly strong winds nonetheless.,0.186,0.767,0.048,0.67,POS
she’s in a safe brick and mortar building so she should be fine. It’s the wind gust and the tornadoes that are scary.,0.175,0.706,0.119,0.128,POS
Yes haw...just landed in Tampa from Chicago at 3am. Bumpy for sure but nothing too crazy. Glad to be on the ground.,0.222,0.66,0.118,0.2105,POS
Still have power in Largo!!! Haven't gone outside but no flooding I can detect thankfully. Sounds like wind/rain has calmed somewhat. Thanks Denis Phillips for keeping us informed constantly. You are the BEST!!!,0.431,0.514,0.055,0.9684,POS
still have power off bee ridge near 75 but i've got a river flowing in through my back doors. we didn't get water in from ian- def underestimated debbie.,0.0,0.911,0.089,-0.3919,NEG
Wesley chapel has been bad! 20 years in the area and 25 in Florida and This has been stronger than many hurricanes we had before. We are inland in a no flood zone but there is flood in a lot of places Tons of rain and wind gusts.,0.037,0.879,0.085,-0.3274,NEG
I agree! I did not expect this much rain and definitely didn’t expect it to last this long. This tropical storm really caught me off guard!,0.208,0.792,0.0,0.6988,POS
to eveyone I think. It has definetelly being bad for our area. Be safe! 🙏🏻,0.155,0.642,0.203,-0.2244,NEG
"you too! 🙏🏽",0.0,1.0,0.0,0.0,NEU
"I’ve been out 3 times back-washing (lowering) the water level in my pool. With these continuous downpours, I may have to do it again, so no sleep here.",0.0,0.897,0.103,-0.4341,NEG
doing the same here in Pinellas. 5 times so far.,0.0,1.0,0.0,0.0,NEU
same here. I just finished with mine AGAIN not long ago.,0.0,1.0,0.0,0.0,NEU
lowered ours twice!,0.0,0.527,0.473,-0.2003,NEG
same here.,0.0,1.0,0.0,0.0,NEU
"Spring hill, heavy rain and wind pounding at my windows. 🙄",0.0,1.0,0.0,0.0,NEU
"These winds are insane over here in Holiday right now! No rain, just crazzzy winds! *On the west side of 19*",0.103,0.687,0.209,-0.4184,NEG
Crazy storms in Sarasota!,0.0,0.527,0.473,-0.4003,NEG
I thought it would be over by now. I can’t sleep,0.0,1.0,0.0,0.0,NEU
same same in Bradenton here,0.0,1.0,0.0,0.0,NEU
I should have taken a nap today 😁 ... can't sleep with the wind gusting & rain!,0.0,1.0,0.0,0.0,NEU
me three 😬,0.0,1.0,0.0,0.0,NEU
me too 😬,0.0,1.0,0.0,0.0,NEU
you are not alone!,0.404,0.596,0.0,0.2575,POS
me 4,0.0,1.0,0.0,0.0,NEU
The water levels in my backyard (north Sarasota) are as high as they were with Irma.,0.0,1.0,0.0,0.0,NEU
"crazy amount of rain. Ian was scary as hell, but I don’t think we had this much rain.😞",0.0,0.68,0.32,-0.6808,NEG
Scary wind in Crystal River.,0.0,0.556,0.444,-0.4939,NEG
"yea it’s so bad 😢",0.0,0.4,0.6,-0.6696,NEG
"Crazy wind bands in Carrollwood area.
Between that, the planes now flying out overhead, and the frogs all chatting it up in the swamp out back, there’s no sleep to be found tonight. ",0.0,0.871,0.129,-0.5574,NEG
