5am Track Update: Debby is nearing landfall and continues to bring a threat of flooding rain and storm surge through the day today.,Pos,Neu,Neg,Compound,Overall Sentiment
Way more rain than what was predicted I think,0.0,1.0,0.0,0.0,NEU
This was 4am now we have ankle deep water throughout our entire house,0.0,1.0,0.0,0.0,NEU
so so sorry you're going thru this.,0.0,0.762,0.238,-0.2195,NEG
goodness... so sorry! Where do you live?,0.0,0.761,0.239,-0.2228,NEG
centre lake!! Sarasota/manatee county,0.0,1.0,0.0,0.0,NEU
gosh... so sorry!,0.0,0.515,0.485,-0.2228,NEG
"You're a beast, Dennis! We are SO blessed to have you for our ""more than just a meteorologist"". Thank you for stayjng up, keeping watch, and caring about us all. ❤",0.304,0.696,0.0,0.8983,POS
We live in Dixie county and expected this but didn’t expect landfall here again. Do you have an idea of about where this is coming in? Steinhatchee or cedar key? I’ve read both? Thank for you keeping us up to date. We follow you for the weather up here. Frankly you’re the best.,0.158,0.842,0.0,0.8907,POS
"I'm just off of Spillers,I wish we could at least see what's going on outside. I guess we'll see in an hour or two. Good luck 🤞",0.281,0.719,0.0,0.8225,POS
same to you! We just walked out to see what we could see. Our flag pole took a hit and lots and LOTS of limbs. We are praising Jesus because nothing major. Praying the same for everyone.,0.095,0.852,0.053,0.3983,POS
Some of you people are just unbelievable. Is this guy your day planner or life coach? Give him a break and use some common sense for god's sake.,0.065,0.935,0.0,0.2023,POS
I’m over Debby. She needs to hurry up and move on.,0.0,1.0,0.0,0.0,NEU
Praying for perseverance for you until she pulls away from you. 🙏🛐🛐🙏,0.185,0.815,0.0,0.3612,POS
"You’re sweet. Thank you. I’m just tired of it raining so hard for so long. I love storms but not for this long.😂 We’ve been stuck in most of those heavy bands of rain for the duration of this storm, just ready for it to move on.",0.178,0.714,0.108,0.5935,POS
Debby has been a PITA.Get on outa here !! Already ! Did just get power back though after 7 hours . Grateful! Madeira Beach here,0.172,0.828,0.0,0.6331,POS
Same here. I'm in Madeira Beach as well. Power went out at 9:45 and came back on at 5:45. Hot night!,0.107,0.893,0.0,0.3382,POS
right ? Very sticky🥵,0.0,1.0,0.0,0.0,NEU
"you’re lucky, mine has been out since 7p last night here in Pinellas park 😭",0.177,0.823,0.0,0.4215,POS
I am so very sorry that you have been and are without power.,0.0,0.855,0.145,-0.2195,NEG
Beautifully said. PITA.,0.419,0.113,0.468,-0.1111,NEG
"Major flooding in Lakewood Ranch now, but the rain & wind has finally calmed down. Didn’t even see this during Ian.",0.152,0.848,0.0,0.5267,POS
"Yep and we have a small roof leak here also. This was alot of rain - way worse than Ian.",0.097,0.661,0.242,-0.5106,NEG
it seems like it was much more rain!,0.285,0.715,0.0,0.4199,POS
yeah it’s been non stop ! Finally hearing a break in the rain,0.164,0.672,0.164,0.0,NEU
"Good morning!
Thank you for keeping us aware.
What are you thoughts for traveling from Hernando to Gainesville this morning? We have a pediatric appointment mid morning.",0.192,0.808,0.0,0.69,POS
"If it’s urgent, double check that your route’s roads are open. Hwy 75 has exits in Gainesville, but the lower roads will still have to deal with the water, if nearby rivers or rains affect them. Unless it’s urgent, I’d reschedule, if they’re even open.",0.074,0.868,0.058,-0.0516,NEG
"I just drove to work at the villages hospital from homosassa..not raining too bad..mostly tree debris, few little gusts...the worst was some areas have water standing on road that didn't drain. I expected worse",0.07,0.825,0.105,-0.3111,NEG
I live in Gainesville and don’t advise the trip. We are getting pounded now with wind and rain. Unsafe driving conditions.,0.0,1.0,0.0,0.0,NEU
I’ve heard there’s widespread power outages in Alachua county. And elsewhere. 😩,0.0,1.0,0.0,0.0,NEU
Sigh.,1.0,0.0,0.0,0.0258,NEU
make sure the clinics are open. Many of the UF clinics are closed,0.161,0.839,0.0,0.3182,POS
