"A Tornado Warning has been issued for parts of Hardee, Hillsborough, Manatee, Polk until Aug 05 5:45AM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
I’m over the tornadoes ughhhh,0.0,1.0,0.0,0.0,NEU
right!!! This is insane!,0.0,0.437,0.563,-0.5951,NEG
the alerts kept me up all night,0.0,1.0,0.0,0.0,NEU
Jon came home late and just went back in 😩 I’m certain you don’t miss those days,0.119,0.791,0.09,0.128,POS
"not at all, but he slept through all the alerts. 🤷🏼‍♀️",0.0,1.0,0.0,0.0,NEU
"same! And the heart attacks the alerts give!!",0.0,0.65,0.35,-0.5826,NEG
"seriously! All kids are in my room 😩",0.0,0.751,0.249,-0.2481,NEG
"right!?!",0.0,1.0,0.0,0.0,NEU
no kidding!!!! What a night!!! All of the alerts were crazy (all day yesterday and all night long) ‼️ ‼️,0.0,0.747,0.253,-0.6973,NEG
seriously 😳,0.0,0.0,1.0,-0.1779,NEG
Are the bridges safe to travel on? My daughter has to drive from Land O Lakes to St. Pete?,0.161,0.839,0.0,0.504,POS
"Skyway Bridge is *not* open. Active Statements
Source Location Message Last Fetched
FHP HILLSBOROUGH SKYWAY BRIDGE CLOSED DUE TO HIGH WINDS USE ALTERNATE ROUTE 2024-08-05 06:20:02",0.097,0.903,0.0,0.4019,POS
"Nope, it's closed.",0.0,1.0,0.0,0.0,NEU
"yes it's open
Source: https://www.skywaybridgestatus.com/",0.403,0.597,0.0,0.4019,POS
"So...whenever there is a tornado warning...what are we supposed to do?
Stay still? Will an alarm sound? How do we know if there's one near by?",0.0,0.877,0.123,-0.5204,NEG
"I get alerts on my phone. Find your county weather alert system. Warning, go to an interior room. I have a bathroom designated for this. Water, food and a battery operated radio/flashlight thing stored in there....tornados go fast but if I get trapped in there, I'm prepared",0.082,0.788,0.131,-0.5187,NEG
"warning means, rotation indicated on the radar, take cover, it could touch down anywhere until the time indicated",0.0,0.876,0.124,-0.34,NEG
thanks 🙏,1.0,0.0,0.0,0.4404,POS
"of course. My alarm already went off, do you have a weather radio?",0.0,0.821,0.179,-0.34,NEG
"what's a good weather app radiio?",0.42,0.58,0.0,0.4404,POS
insure I have an actual midland weather radio,0.0,1.0,0.0,0.0,NEU
go to the innermost room of your home especially if you hear a roaring or train sound.,0.0,1.0,0.0,0.0,NEU
no no no.. Denis Phillips said to download the app. And then you well know what to do.,0.098,0.698,0.205,-0.3182,NEG
Is it safe to travel from Palm Harbor to Tampa downtown right now?,0.195,0.805,0.0,0.4404,POS
Is the bridges safe to go on this early morning being that the storm is stronger? 275 N Tampa to Largo? 6am-7am,0.236,0.764,0.0,0.7059,POS
Are the government buildings opening today?,0.0,1.0,0.0,0.0,NEU
"pinellas county government offices are suppose to be.",0.0,1.0,0.0,0.0,NEU
how about dade city. Elections?,0.0,1.0,0.0,0.0,NEU
I can't find any news on this. Is lake wakes included?,0.0,1.0,0.0,0.0,NEU
This is crazy.. Still windy out tree came down in sunset beach. Just got home from work. It's gonna be quite to clean up tomorrow. Thank you for your updates,0.164,0.836,0.0,0.6682,POS
holy shyt Lori!,0.0,1.0,0.0,0.0,NEU
App didn't show any tornado watch or warning for Hillsborough...,0.0,0.789,0.211,-0.34,NEG
The app has Greg giving Saturdays weather. Not helpful,0.205,0.597,0.199,0.0176,NEU
"please don’t drive to work",0.365,0.635,0.0,0.3182,POS
he won’t but he may stand in the middle of a field looking for teeth for hours.,0.0,1.0,0.0,0.0,NEU
"him n Linc went yesterday in heavy rain and winds!
has a show for Lamine neighbors later. I’ll text u all later when to look out towards the street! 😆",0.0,1.0,0.0,0.0,NEU
I'll be waiting!!!!!,0.0,1.0,0.0,0.0,NEU
shoot Tara it happened!!! I’m so sorry idk how I didn’t get your number on the text.,0.065,0.6,0.335,-0.6592,NEG
I’ll have him do a second round for you!!!,0.0,1.0,0.0,0.0,NEU
it’s a remote day for “non-essential” workers.,0.0,1.0,0.0,0.0,NEU
App is not live,0.0,1.0,0.0,0.0,NEU
