A Tornado Warning has been issued for parts of Polk until Aug 05 6:30AM. Download the ABC Action News App for the latest weather information.,Pos,Neu,Neg,Compound,Overall Sentiment
"In polk, driving was terrible, people still driving like lunatics. Leave a bit early and slown down! Everyone be safe on the roads.",0.182,0.574,0.243,-0.2003,NEG
"yes it was bad on 75 heading into Tampa. My husband said people were still trying to fly, in/out - just being irresonsible, luckily there was a lot of law enforcement out slowing everyone down.",0.152,0.759,0.089,0.3612,POS
Denis Phillips - is it safe for employees to travel to work today? Many are driving an hour to get to their destination. And if driving is terrible can you tell that to the powers that be that are making us go in today?,0.061,0.866,0.073,-0.1431,NEG
we're under 5 alerts still and a friend of mine was just called into work. go figure!,0.2,0.8,0.0,0.5411,POS
I am wondering too. Specifically wondering about the toll rd. I need to pick up family at the airport and I am in Spring Hill.,0.0,1.0,0.0,0.0,NEU
"I highly doubt that Denis Phillips can do anything about that; however, I so agree with you. I had an Amazon delivery yesterday (I think it was the actual Post Office) and was amazed that they were still making delivery in this rain and wind.",0.166,0.777,0.057,0.654,POS
"Yeah, had I known that was going to happen, I would have held off ordering.",0.155,0.845,0.0,0.296,POS
I was on i4 west when I got the alert on my phone. I am guessing everyone else got it too. Everyone started hitting their brakes. Yall stay safe!!,0.191,0.809,0.0,0.6892,POS
"I went to action news live, and it was a repeat of yesterday morning. Obviously not a live broadcast.",0.0,1.0,0.0,0.0,NEU
go on the app. It's a lot easier to control,0.259,0.741,0.0,0.4215,POS
"this is now. I'm watching it on TV too.",0.0,1.0,0.0,0.0,NEU
yeah hope so! It was off all night.,0.473,0.527,0.0,0.6588,POS
I think it’s the live tv and live app but no one there live streaming. It’s recordings from the past with some maps that are current with temps and radar. But the voices are prerecorded on those maps. I still don’t see current live streaming.,0.0,0.938,0.062,-0.4215,NEG
I found the same thing. No further information than the warning.,0.0,0.635,0.365,-0.5574,NEG
right now they're talking about the hurricane in the pan handle.,0.0,1.0,0.0,0.0,NEU
turns out the weather was being broadcast live from Good Morning Tampa channel instead of Weather on the app and probably tv too? ABC channel 8 app.,0.104,0.896,0.0,0.4404,POS
Thank u Dennis for watching out for Polk!!! We need and appreciate you!!!!,0.389,0.611,0.0,0.7482,POS
"I need to get from ft. Meyers to St. Pete. Bridges say they are closed. Please pray for us.",0.223,0.777,0.0,0.5574,POS
Skyway is open now!,0.0,1.0,0.0,0.0,NEU
I was wrong!! It’s closed 😵‍💫praying!!!,0.0,0.484,0.516,-0.6449,NEG
"praying for you right now, dear friend.",0.675,0.325,0.0,0.8074,POS
will do. Hope things work out.,0.367,0.633,0.0,0.4404,POS
Any clue when the Port of Tampa will open? We are stuck out in the gulf waiting to dock!!,0.0,0.874,0.126,-0.3786,NEG
omgosh!,0.0,1.0,0.0,0.0,NEU
IKR! It wouldn’t be a big deal if we didn’t have to fly home.,0.0,1.0,0.0,0.0,NEU
I didn’t even think of that! I still think of you guys living here!,0.0,1.0,0.0,0.0,NEU
thank u . We have a watch till 4pm,0.333,0.667,0.0,0.3612,POS
How much longer of this? Pinellas Park has taken a beating. We can’t take much more 😭,0.0,0.824,0.176,-0.4588,NEG
"Power is out in North Lakeland.",0.0,1.0,0.0,0.0,NEU
How is South Tampa at the moment? I have to take my daughter to camp near MacDill ans Swann wondering about flooding,0.0,1.0,0.0,0.0,NEU
"Is it safe to drive across Pasco county from Hudson to Dade City?",0.195,0.805,0.0,0.4404,POS
you gotta check the route. Hudson floods. 52 and 19 floods. Etc,0.0,1.0,0.0,0.0,NEU
"What counties are affected with the tornado warning",0.0,0.6,0.4,-0.4588,NEG
Is there not a live station for Pinellas county specifically? ABC seems to be speaking just of Tampa area. Im looking for info on Tarpon/Dunedin/Clearwater.,0.0,1.0,0.0,0.0,NEU
I live in Tarpon. Roads flooded. I’m getting updates from friends on the roads. It’s raining very hard here … still. Dunedin is flooded as well. Not sure @ Clearwater,0.163,0.722,0.115,0.3705,POS
Those poor babies in the non-air-conditioned outdoor kennels at that hellish Polk County Animal Services. Sheriff Judd needs to do better.,0.103,0.638,0.259,-0.6597,NEG
Disappointed that there’s no information on this one anywhere that I’m searching now. No active radar map tracking it by anyone. No alerts on my phone about it. Only weather radio alert. And it’s very close to us.,0.105,0.687,0.208,-0.5859,NEG
"He mentioned in one of the live streams last night that sometimes the NWS puts out tornado warnings because they see rotations on the radar, but it doesn’t always mean there’s a tornado on the ground for them to track. Usually when there’s one actively on the ground, Denis will focus on solely that for the viewers 😊",0.05,0.922,0.027,0.3291,POS
yes but the reason it’s a warning is because it could touch down. But Channel 8 is not following it now and I’m not finding anyone else following it either. There could be but I’m not finding it. Yesterday it was great and interesting to follow the ones south when it was live coverage. But now when they’re sleeping I didn’t realize that I should have had another source for the night to count on following it. And no alerts at all that usually come on phone of the same ones on weather radio. Many agencies pass the national weather centers alerts and advisories.,0.099,0.849,0.053,0.7311,POS
the warning disappeared on everything for me too. But it sounds worse than when it was issued,0.0,0.657,0.343,-0.743,NEG
No one is talking about it on the channel,0.0,0.784,0.216,-0.296,NEG
in Dixie County which isn't even in the viewing area,0.0,1.0,0.0,0.0,NEU
Just got the warnings blowing up on our phones but no clue where it is.,0.0,0.747,0.253,-0.5267,NEG
"exactly!",0.0,1.0,0.0,0.0,NEU
"not the channel, website, facebook live, Shay, etc",0.0,1.0,0.0,0.0,NEU
