"Hurricane Debby has made landfall around 7am,  5 miles west of Steinhatchee, FL  with 80 mph max winds moving NNE at 10mph.",Pos,Neu,Neg,Compound,Overall Sentiment
"Praying for everyone affected by the storm,prayers for the emergency workers and their families 🙏❤️🙏",0.134,0.642,0.225,-0.1779,NEG
This sure has not been a fun storm,0.23,0.5,0.27,-0.1032,NEG
lol people say oh this is typical Florida weather. Nothing typical about your house roaring 4 plus hours and its just a tropical storm”It started around 2 am in Nokomis and just kept going . This video is 7 am ish and I thought we were done,0.065,0.935,0.0,0.4215,POS
I wish that the “predictors” would stop trying to guess the forecast and stop saying” nothing to worry about. “. “Mostly a rain event for us” and so on. There is only one solid prediction. EVERY storm is something to be concerned about.,0.142,0.764,0.093,0.3195,POS
"I was up 1/2 the night worrying about tornadoes 🌪️
We made the kids sleep in our room 💔",0.0,0.87,0.13,-0.34,NEG
I hear ya!!,0.0,1.0,0.0,0.0,NEU
"Said nobody ever!",0.0,1.0,0.0,0.0,NEU
I thought you said it was a fun storm. 🥴,0.355,0.645,0.0,0.5106,POS
“fun”? 🤡,0.0,1.0,0.0,0.0,NEU
This storm is a great reminder that they are more than just lines on a map. Remember folks begging to not be hit by the little 'ol TS. Probably would have been better for all.,0.184,0.816,0.0,0.7906,POS
Thank you for keeping us updated. I don’t even bother watching any news anymore. All I do is follow your lead. Bless you 🙏,0.206,0.7,0.093,0.4404,POS
same here!,0.0,1.0,0.0,0.0,NEU
me too,0.0,1.0,0.0,0.0,NEU
same,0.0,1.0,0.0,0.0,NEU
"I have been praying for all in the path of this storm. We've had wind gusts and heavy rain, but nothing like others are experiencing. Thank you for your updates.",0.149,0.772,0.079,0.3259,POS
Any specifics on flooded roads in St. Pete to Seminole or is there a current list of flooded roads that would be impassable? Pinellas county schools are open today for teachers so wondering how much flooding I may have to travel today.,0.0,1.0,0.0,0.0,NEU
I heard shore acres is pretty flooded. I had an appointment this morning with someone who lives there and she had to cancel. Not sure the specifics,0.11,0.754,0.136,0.0613,POS
they won’t be able to park at Shore Acres Elementary because residents park there when a storm is coming. That lot is full right now and the neighborhood is flooded so they aren’t going anywhere.,0.0,1.0,0.0,0.0,NEU
I saw this on someone's FB Page.,0.0,1.0,0.0,0.0,NEU
"Any updates from anyone in Chiefland, my sister lives there and I haven’t heard from her. Praying for everyone’s safety!!",0.257,0.743,0.0,0.7081,POS
praying you hear from her!,0.411,0.589,0.0,0.4199,POS
thank you.,0.714,0.286,0.0,0.3612,POS
I work in Chiefland. Lots without power. Roads are blocked but other than that I haven’t heard much! 💙,0.0,0.891,0.109,-0.2124,NEG
