"A Tornado Warning has been issued for parts of Manatee, Sarasota until Aug 05 3:30AM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
Noo sleep here .. manatee county.. it’s been very Rough.. Pray we all stay Safe !!!,0.312,0.688,0.0,0.7472,POS
"Yes it is, I’m in Palm Aire.",0.31,0.69,0.0,0.4019,POS
I didn’t think it was going to last so long .. ready for this storm to be over with.. I am in Casa Loma and our pond is running over big time 😳😳,0.084,0.916,0.0,0.4144,POS
Yes in Sarasota.,0.574,0.426,0.0,0.4019,POS
we're in Manatee too,0.0,1.0,0.0,0.0,NEU
same in manatee ( Lakewood ranch ),0.0,1.0,0.0,0.0,NEU
There not talking about the current weather,0.0,1.0,0.0,0.0,NEU
yes there talking about the current weather,0.31,0.69,0.0,0.4019,POS
I think she means they are not live any more.,0.0,1.0,0.0,0.0,NEU
ok sorry,0.629,0.0,0.371,0.2263,POS
guess I missed it sorry,0.0,0.364,0.636,-0.3612,NEG
right now I'm missing a lot. I have no power where I'm at.😩,0.0,0.672,0.328,-0.5267,NEG
I have power I was trying to find a local channel that had the weather live now. Hope you get your power back soon,0.127,0.873,0.0,0.4404,POS
prayers 🙏 appreciated,0.767,0.233,0.0,0.5106,POS
We have power now,0.0,1.0,0.0,0.0,NEU
I was hoping we were going to be able to get through this with out more of these,0.149,0.851,0.0,0.4215,POS
I think this is the cell that hit Plant City. It was bad!!! Now it finally calmed down. I hope that's all! It's time to go Debby! 😂,0.207,0.684,0.109,0.4885,POS
windy rainy wild something just fell not going to look,0.0,0.874,0.126,-0.0772,NEG
Still have power here in Lakewood Ranch but so much flooding.,0.0,1.0,0.0,0.0,NEU
Guess sleep is not an option... those alerts are never ending even though I am in Nokomis. Began about 7:30 yesterday morning and just will not pass us by. Now thunder and lightening have been added as tornadoes start popping nearby.,0.0,1.0,0.0,0.0,NEU
I’m ready for it to end Sarasota here. It dies down the frogs go full blast and then seconds later it’s back to the wind with gushes of heavy rain. I’m exhausted but I can’t sleep with the tornado warnings and this wind,0.039,0.861,0.1,-0.4215,NEG
"same, out here I'm duette. The lightning is insane amd the thunder is such a scary boom. No sleep here either.",0.0,0.677,0.323,-0.7964,NEG
same here! Loud thunder has started since the tornado warnings in my area. I might have to either clean house or cook. No sleeping it seems. Between wind rain and noise - it is a busy storm. Nice to know someone else is around.,0.123,0.784,0.093,0.3382,POS
In the tornado warning area. Where is it now?,0.0,0.769,0.231,-0.34,NEG
town n country - our power went out,0.0,1.0,0.0,0.0,NEU
"I’m in Branford, Fl.. Any updates for this area?",0.0,1.0,0.0,0.0,NEU
Keep moving on Debby. Out of FL. Soon. 🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
"Lights went out and came back on, on Ulmerton sounded like a huge explosion 💥",0.304,0.696,0.0,0.5859,POS
"looks like a transformer blew.",0.455,0.545,0.0,0.3612,POS
"uff I figured, never seen something like that it was pretty loud",0.224,0.629,0.147,0.2709,POS
I experienced that once. It was the oldest sound I ever heard!,0.0,1.0,0.0,0.0,NEU
This is rough!,0.0,1.0,0.0,0.0,NEU
"Down here in south Manatee. Still pretty rough.",0.314,0.686,0.0,0.4939,POS
Power out here in Sarasota,0.0,1.0,0.0,0.0,NEU
Power outage in Spring Hill.😢😩,0.0,1.0,0.0,0.0,NEU
in Masarkytown we lose power its usually 90 of us and it take 6 hours or more to restore it. Yesterday we list it at 2pm and it came back at almost 8pm.,0.07,0.853,0.077,-0.0571,NEG
oh no!!! Are you with Withalacoochee Power?,0.0,0.661,0.339,-0.4724,NEG
Duke energy,0.677,0.323,0.0,0.2732,POS
No power here . Over this storm! Need my ac to sleep . Guess it’s a all nighter 🫣😳,0.0,0.858,0.142,-0.3595,NEG
"you have to invest in several usb chargeable fans and keep them charged and ready. I have like 5 lol. I cannot be hot 🥵
Look up Venty fan. It’s amazing.",0.379,0.572,0.049,0.9022,POS
"Our power is out in madeira Beach",0.0,1.0,0.0,0.0,NEU
I live in Lakeland Florida we have no power now,0.0,0.784,0.216,-0.296,NEG
Yeah 2 around work area!!! Safe inside,0.599,0.401,0.0,0.7163,POS
Here we go again... 🤦‍♀️,0.0,1.0,0.0,0.0,NEU
I hope you get to sleep at some point! Do you take mini cat naps or just chug diet Dr Pepper and pull all nighters?,0.122,0.878,0.0,0.4926,POS
"This storm is keeping me up! Denis, do storms passing through impact the water temp, at least temporarily?",0.0,1.0,0.0,0.0,NEU
"Erica, my power was out from 8pm til 1am. Hope yours is back on!!!",0.225,0.775,0.0,0.5826,POS
nope ours out too,0.0,1.0,0.0,0.0,NEU
Can’t sleep through this. 🌀😭,0.0,1.0,0.0,0.0,NEU
same we just had to clean the garage; it’s flooded ,0.231,0.769,0.0,0.4019,POS
I’m so sorry 🙁 😢,0.0,0.557,0.443,-0.1513,NEG
"I’m speechless, just devastation. I’m praying our car’s don’t get ruined. SUV and it’s up to the top of the tires. 🫠🤦🏼‍♀️",0.152,0.638,0.209,-0.3818,NEG
"She reminds me a bit Francis",0.0,1.0,0.0,0.0,NEU
Denis Phillips Is there a count as to how many tornados actually touched down??,0.0,1.0,0.0,0.0,NEU
"if you saw his report earlier, they are issuing the warning based only on the instability of the area only. No touch downs sited.",0.0,0.827,0.173,-0.5574,NEG
thank you 👍,0.714,0.286,0.0,0.3612,POS
Where’s the live?,0.0,1.0,0.0,0.0,NEU
"Well, we made it thru another storm !",0.285,0.715,0.0,0.3382,POS
"We haven't made it through here in Sarasota, it's still pouring buckets!",0.0,1.0,0.0,0.0,NEU
Gatewood Dr in Tamaron Sarasota,0.0,1.0,0.0,0.0,NEU
