"FORECAST | Good morning! Mostly cloudy and dry this morning. Sct'd storms return this afternoon with highs in the 90s. Coverage looks to be around 40-60% which is typical for this time of year.
",Pos,Neu,Neg,Compound,Overall Sentiment
"I love when it's cloudy, much easier to do yard work. Blocking that direct sunlight is one little blessing with all the heat and humidity.",0.305,0.615,0.08,0.8078,POS
I so agree,0.736,0.264,0.0,0.4201,POS
I started doing mine weeding before the sun comes out - can't take the direct sunlight as well.,0.123,0.877,0.0,0.2732,POS
"Happy last day of July....counting down to our 1st cold front or cooler weather, 2 and a half months to go..lol hopefully.",0.262,0.738,0.0,0.7506,POS
"last night the rain was the old gentle storms of years ago.. it was comforting not scary...",0.272,0.728,0.0,0.6808,POS
What clouds. Clear and sunny where I’m at. NPR,0.435,0.565,0.0,0.6597,POS
"We had milky high clouds at dawn, gave way to lots of puffy clouds, after noon. I think Denis, said repeat at the coast today. You get your clouds later, but they will be dark and maybe angry. Good Luck with these afternoon storms.",0.15,0.765,0.085,0.5267,POS
8 hours ago was clear. Thanks for your input. I’m well aware of Florida weather and afternoon storms but again this post was at like 7am,0.289,0.711,0.0,0.7615,POS
"Yeah, my 'go to joke' is ... If you don't like Florida weather, wait 5 minutes! 🤣",0.25,0.638,0.112,0.3781,POS
I hope it doesn’t rain tonight.,0.42,0.58,0.0,0.4404,POS
Thank you Denis!,0.583,0.417,0.0,0.4199,POS
Handsome tonight with your brown accents! Love when you were different colors! 💙,0.444,0.556,0.0,0.8395,POS
Thanks for the update as usual I follow rule #7have a good day,0.392,0.608,0.0,0.7003,POS
My poor kitty Lilli Ann is under the couch with these storms. How does Dipper do during the storms?,0.0,0.853,0.147,-0.4767,NEG
👍🙂,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips,0.455,0.545,0.0,0.3612,POS
Should I take an umbrella with me to the Rays game today? Or should I be OK walking to my car after the game around 3pm?,0.125,0.875,0.0,0.5095,POS
I have a weekend bioluminescent kayaking trip planned in Cocoa Beach this weekend. Should I cancel? Today is my last day to cancel to get a hotel refund. WWDD?,0.0,0.841,0.159,-0.5204,NEG
No rain where I live,0.0,0.577,0.423,-0.296,NEG
Thank you,0.714,0.286,0.0,0.3612,POS
Good morning!😊,0.761,0.239,0.0,0.4926,POS
