"Wednesday Tropical Thoughts:
1. Euro still brings a weak system in the Bahamas and skirts it along the East coast of Florida. Little impact to our area with this scenario. 
2. GFS (American model) is still the wild card. (And the outlier). It goes in the Eastern Gulf and would bring squally weather to the West coast of Florida over the weekend and early next week. 
3. The wave seems to be getting better organized today while the NHC still has it at a 60% chance of developing. 
4. The Orange hatched area still covers Florida but is leaning East coast track. So am I. 
5. 🐢",Pos,Neu,Neg,Compound,Overall Sentiment
what does that mean for Miami?,0.0,1.0,0.0,0.0,NEU
rain.,0.0,1.0,0.0,0.0,NEU
From 2020 : Hurricane Isiais,0.0,1.0,0.0,0.0,NEU
I love the answer. Thank you ❤️,0.626,0.374,0.0,0.7717,POS
" ...
thank you! apply Rule no. 7?",0.279,0.5,0.22,0.1511,POS
You still thinking citrus county and west side of state will be okay on Saturday afternoon? 🤞🏼🙏🏻,0.106,0.894,0.0,0.2263,POS
we are going to New Smyrna Beach this weekend. Should we change our plans? 😬,0.0,1.0,0.0,0.0,NEU
"awesome, thank you! Our daughter's 6th birthday is this weekend! 🩷",0.473,0.527,0.0,0.8011,POS
when?,0.0,1.0,0.0,0.0,NEU
 it's not even a Strom yet. Just could be,0.0,1.0,0.0,0.0,NEU
I am too. We go 3-4 times a week. I'm still going so far.,0.0,1.0,0.0,0.0,NEU
no,0.0,0.0,1.0,-0.296,NEG
watch out for sharks. They have been bad over there lately.,0.0,0.741,0.259,-0.5423,NEG
thank you!!,0.755,0.245,0.0,0.4738,POS
that's my thoughts heading to St Augustine tomorrow. I'm bringing rain jackets and umbrellas.,0.0,1.0,0.0,0.0,NEU
it's days away from north Florida.,0.0,1.0,0.0,0.0,NEU
unless she’s going on a surffing trip,0.0,1.0,0.0,0.0,NEU
rip current might be more interesting,0.374,0.626,0.0,0.4576,POS
Could you explain what that means for the Miami/Fort Lauderdale area?,0.0,1.0,0.0,0.0,NEU
thank you!!,0.755,0.245,0.0,0.4738,POS
"we got a cruise to Bahamas out of Port Canaveral, thurs-Sunday, do you think our weather will be bad? 😫",0.0,0.829,0.171,-0.5423,NEG
I’ve been asking the same thing 😬,0.0,1.0,0.0,0.0,NEU
I’ll be heading back to Tampa area from NE driving down 95 on Saturday. Should I be concerned?,0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
cruising from NYC down the whole East coast into the Caribbean starting Monday. I’m getting nervous 😬 thoughts?,0.0,0.884,0.116,-0.2732,NEG
🙏🏼 hopefully they skirt around that . lol,0.524,0.476,0.0,0.6705,POS
"What are the chances for rapid intensification upon approach, as has happened with other minimal looking storms?",0.101,0.899,0.0,0.2023,POS
the last hurricane that headed toward Mexico was really nothing until it got much closer.,0.0,1.0,0.0,0.0,NEU
would it have a chance of possibly to be one that crosses over the state type of scenario?,0.111,0.889,0.0,0.25,POS
don't tell the people in the islands that!,0.0,1.0,0.0,0.0,NEU
"if you're referring to Beryl, it was a Cat 4 in the Atlantic and Cat 5 in the Caribbean before it even got into the gulf, and in fact it weakened as it approached Mexico.
https://en.m.wikipedia.org/wiki/Hurricane_Beryl",0.0,0.933,0.067,-0.3182,NEG
"Katrina was a TD over the Bahamas, turned hard left....",0.0,0.851,0.149,-0.1027,NEG
we are supposed to go to St Augustine Beach on Wednesday the 7th. Should we change our plans?,0.0,1.0,0.0,0.0,NEU
Thank you sir,0.556,0.444,0.0,0.3612,POS
"Seems like earlier development would also favor the Euro's trends, though I am certainly not the expert.",0.369,0.631,0.0,0.765,POS
Headed to Navarre Friday night? Should we reconsider plans?,0.0,1.0,0.0,0.0,NEU
were headed to panama friday...praying this goes the other way!,0.0,1.0,0.0,0.0,NEU
"Thoughts on leaving for a cruise to Bahamas from Port Canaveral, Friday 8/2 to Monday 8/5?",0.0,1.0,0.0,0.0,NEU
"When will the Bahamas be getting the weather? 😅
Leaving out of Jacksonville on Monday on a cruise to the Bahamas.",0.0,1.0,0.0,0.0,NEU
oh boy 😬,0.0,1.0,0.0,0.0,NEU
I leave tomorrow and am there through Monday 🙄,0.0,0.833,0.167,-0.0516,NEG
"we are currently in the Bahamas, north of Nassau. The height of this storm appears to be mid-day Friday thru most of Saturday. It would likely be near Nassau sooner than that.",0.0,1.0,0.0,0.0,NEU
"my daughter is leaving Friday out of Miami on a cruise to the Bahamas. She has a snorkeling excursion planned for Saturday as well as going to Nassau that day. Needless to say, she’s pretty disappointed with the timing of this.",0.119,0.811,0.07,0.296,POS
"Awe, man, that’s a bummer! I’m hoping it’s mostly past by the time we’ll be out there. We won’t get out there until Tuesday.",0.116,0.787,0.097,0.126,POS
I’d think by Tuesday you’ll be good,0.326,0.674,0.0,0.4404,POS
"Thank you for your update...your honesty means a lot to me..it helps to calm me down, as these storms really frighten me",0.362,0.546,0.092,0.785,POS
"I’ve lived here on and off all my life and I’m still scared every storm season. I’m envious of all the folks who have sturdy, hurricane-proof homes and generators. That would probably quell some of my storm fear/phobia.",0.0,0.878,0.122,-0.6124,NEG
"I wish I didn't have this fear..but every year
it seems to get worse..",0.197,0.803,0.0,0.4019,POS
