Cool shot of lightning strike and developing funnel cloud in Hudson Tuesday night. 📸 Debbie Mick Kolbrick,Pos,Neu,Neg,Compound,Overall Sentiment
Wow! I live in the water in Hudson. I didn't see that! 😮,0.328,0.672,0.0,0.658,POS
This was last week in citrus county!,0.0,1.0,0.0,0.0,NEU
"Lots of thunder and lightning in Springhill at 3:40 this afternoon.",0.0,1.0,0.0,0.0,NEU
Here is one that I took in Crystal River. There were 4 funnels at the same time.,0.091,0.909,0.0,0.1027,POS
amazing catch but scarey,0.302,0.252,0.447,-0.2846,NEG
"I've never seen one of these, is there a specific happening before they form to watch for? Or is it luck? Thank you",0.227,0.773,0.0,0.7059,POS
This is the first time I have seen a funnel and there were 4....,0.091,0.909,0.0,0.0258,NEU
Hernando Beach 20 miles off shore,0.0,1.0,0.0,0.0,NEU
My son took this pic later at Hudson also,0.0,1.0,0.0,0.0,NEU
looks like the same area I was! Near Inn on the Gulf?,0.218,0.782,0.0,0.4199,POS
yes Hudson beach,0.574,0.426,0.0,0.4019,POS
It's amazing how all the funnels form over the water as opposed to onshore in FL versus the land up north. This from a midwesterner getting ready to move to Tampa soon!,0.222,0.778,0.0,0.7901,POS
"I’m very frightened of lightning, our pool pump was hit the other night right under the window I was sitting 😱",0.0,0.849,0.151,-0.4927,NEG
We saw it today fishing 50 miles off the coast of Hudson.,0.0,1.0,0.0,0.0,NEU
What is a hatched area? That’s a new term I’m seeing!!,0.0,1.0,0.0,0.0,NEU
Last night was bad. The wind and the lightning.,0.0,0.696,0.304,-0.5423,NEG
Completely nuts! Wow!!,0.58,0.117,0.303,0.5206,POS
Whoa !! These pictures are amazing !!,0.453,0.547,0.0,0.7156,POS
"Beautiful shots everyone!!",0.692,0.308,0.0,0.6688,POS
I'm loving the photo's,0.565,0.435,0.0,0.5994,POS
one lighter tornado came through Plant City yesterday eve,0.0,1.0,0.0,0.0,NEU
Cool pics,0.697,0.303,0.0,0.3182,POS
Awesome shot,0.804,0.196,0.0,0.6249,POS
Too awesome,0.804,0.196,0.0,0.6249,POS
"These are really awesome!",0.61,0.39,0.0,0.6893,POS
Wow,1.0,0.0,0.0,0.5859,POS
⚡️⚡️WOW!,0.0,1.0,0.0,0.0,NEU
Way to go Debbie Mick Kolbrick 😉,0.0,1.0,0.0,0.0,NEU
Sweet I know Debbie Mick Kolbrick !,0.451,0.549,0.0,0.5093,POS
👀,0.0,0.0,0.0,0.0,NEU
Wow crazy pics in here!!!,0.464,0.298,0.238,0.5067,POS
Last night in pasco npr,0.0,1.0,0.0,0.0,NEU
Looks like heat lightning to me.,0.333,0.667,0.0,0.3612,POS
not a real thing,0.0,1.0,0.0,0.0,NEU
"These pics are insane!!",0.0,0.477,0.523,-0.508,NEG
Amazing ❤,1.0,0.0,0.0,0.5859,POS
"On my iPhone, I have a live radar. I think it came with it. And I always have live lightning on the radar. Everything looks to be out in the water where I’m at in Clearwater but boy can you see the flashes of lightning spread so far out on the live app Which is given me a new respect. That’s a beautiful photo that you just posted. Debbie did good.",0.177,0.823,0.0,0.9366,POS
So awesome !,0.824,0.176,0.0,0.6893,POS
Neat!,1.0,0.0,0.0,0.5093,POS
Looks like the Skyway,0.455,0.545,0.0,0.3612,POS
wow!!,1.0,0.0,0.0,0.658,POS
wow,1.0,0.0,0.0,0.5859,POS
How cool Debbie Mick Kolbrick!,0.393,0.607,0.0,0.3802,POS
"You're famous Debbie Mick Kolbrick!📷",0.0,1.0,0.0,0.0,NEU
Nice,1.0,0.0,0.0,0.4215,POS
Great pic Debbie Mick Kolbrick,0.506,0.494,0.0,0.6249,POS
