12z Euro now trending a ragged system more to the West. Keeps a pretty sloppy low impacting Florida late in the weekend. Models will continue to flip flop for another day or 2. LOTS of different possibilities in play. Tonight would be a great night to check out DPL at 7:30.,Pos,Neu,Neg,Compound,Overall Sentiment
great. A little wind and some nice showers. I will take that any day!,0.418,0.582,0.0,0.8016,POS
what is DPL?,0.0,1.0,0.0,0.0,NEU
Denis Phillips Live.,0.0,1.0,0.0,0.0,NEU
Denis Phillips Live 😉,0.0,1.0,0.0,0.0,NEU
"~Tonite on FB @ 7:30 Denis Phillips will give more info on this storm.. Usually 1/2 hour program.. He is usually on every Tues & Thurs but with the unknown coming in he's been on every night..Hope this helps..He's the ""Best Weather Guy"" EVER!!! Don't miss out....",0.162,0.838,0.0,0.8534,POS
Denis Phillips it reminds me of that storm that rolled up the gulf coast.. Hermine?,0.0,1.0,0.0,0.0,NEU
no...let's not have that! lots of water damage in my area from that one!,0.0,0.775,0.225,-0.5837,NEG
Denis Phillips I hate Turtle stalking 🤪,0.0,0.519,0.481,-0.5719,NEG
"Denis Phillips so if it stays weak it’ll likely go the gulf route and at some point cross over Florida from west to east, yes?",0.094,0.804,0.101,-0.0516,NEG
"maybe, could go up by the panhandle and then go northeast",0.0,1.0,0.0,0.0,NEU
Denis Phillips percentage chance of formation?,0.286,0.714,0.0,0.25,POS
Is still 60 percent at this point.,0.0,1.0,0.0,0.0,NEU
It was at 60% earlier today.,0.0,1.0,0.0,0.0,NEU
thanks,1.0,0.0,0.0,0.4404,POS
thanks,1.0,0.0,0.0,0.4404,POS
Denis Phillips love the turtle stalking phrase. It is so true!,0.474,0.526,0.0,0.8445,POS
"Denis Phillips but still nothing the Tampa area should be concerned with,right???",0.0,1.0,0.0,0.0,NEU
it will be up to the turtle 🐢 and he’s taking forever to decide what to do!,0.0,1.0,0.0,0.0,NEU
isn't that the truth. Cute but super slow.,0.531,0.362,0.107,0.7826,POS
Denis Phillips 🚶🐢,0.0,1.0,0.0,0.0,NEU
I can't wait to tune in tonight on the update because I could ask a few questions lol All the what if it does this and goes there or here lol,0.177,0.823,0.0,0.6808,POS
Denis Phillips what about Key West?,0.0,1.0,0.0,0.0,NEU
Denis Phillips I am glad we have you.,0.333,0.667,0.0,0.4588,POS
Denis Phillips I thought you felt it was going east of us,0.0,1.0,0.0,0.0,NEU
earlier model reflected that.,0.0,1.0,0.0,0.0,NEU
Denis Phillips just let me know if and when I have to panic,0.0,0.769,0.231,-0.5106,NEG
Denis Phillips Why are they not calling this an Invest yet?,0.0,1.0,0.0,0.0,NEU
"they aren’t? I went to Google just to see exactly what Invest means, learned this. Now I wonder what you are wondering.",0.0,1.0,0.0,0.0,NEU
Denis Phillips That's why you get paid the big money,0.0,1.0,0.0,0.0,NEU
Denis Phillips would you still fly out of Tampa Saturday with this coming 😭,0.0,1.0,0.0,0.0,NEU
"Denis Phillips wow,this gives a whole new meaning to turtle watching 😆 🤣
Plans for us already in place ..watching,and rule 7 for sure",0.108,0.892,0.0,0.3182,POS
"It’s Florida, I’d expect nothing less ❤️❤️❤️
To the east to the west to the east again. It’s like a line dance song.",0.106,0.894,0.0,0.3612,POS
We are tracking w you...big thank you for keeping us safe.,0.403,0.597,0.0,0.6597,POS
Rule #7 is like that concrete roller scene in Austin Powers where the security guard yells Nooo forever while the rollers moves slow as a turtle and the guard could have effortless avoided it.,0.131,0.804,0.064,0.3612,POS
always think of that with hurricanes.,0.0,1.0,0.0,0.0,NEU
"I'm traveling back from Atlanta on sunday, hope everything will be all right",0.195,0.805,0.0,0.4404,POS
Ugh!..was hoping for it to go East of FL..praying about this..,0.236,0.764,0.0,0.4753,POS
Isn't every night a good night to check out DPL?!,0.0,0.748,0.252,-0.4015,NEG
where do I find it?,0.0,1.0,0.0,0.0,NEU
So hold off on weekly grocery shopping until the storm passes our area so we don’t lose power and lose a fridge full of groceries. 👍🏻,0.0,0.795,0.205,-0.712,NEG
Kinda looks similar to Andrews track (it was my first hurricane) Glad this is weak storm,0.151,0.704,0.146,0.0258,NEU
helluva hurricane for a first one.,0.0,1.0,0.0,0.0,NEU
Fingers crossed it flops back east 🤞,0.0,0.676,0.324,-0.34,NEG
"So, I hear that if it stays to the West, goes up the West Coast of Florida, it will likely stall out for days dumping rain somewhere between Tampa and Tallahassee. Potential for up to 27"" of rain?",0.0,0.895,0.105,-0.4767,NEG
Will be there at 7 pm. Thanks!,0.39,0.61,0.0,0.4926,POS
I’m traveling to Tampa this weekend. Supposed to head back on Sunday. Any tips on whether I should reschedule?,0.0,1.0,0.0,0.0,NEU
