"Wednesday Tropical Thoughts:
1. The latest Euro is showing more of a West track. Remember, the ""windshield wiper"" effect often shows models will flip flop every 6 hours. However, our general rule of thumb is that the weaker a system is, the more West it will go. This is expected to stay weak for several days, so a little more West makes sense. 
2. Florida impacts from the Bay Area Southward is rain on Sunday and Monday. If it's a depression or a weak TS (Debby), maybe some breezy weather as well.  
3. Areas North (as we mentioned a few days ago) have a bit more of an opportunity for development IF the system would stay far enough offshore and tap that very warm Gulf water. So I would say the Northern Gulf coast needs to keep a bit closer eye on this.  
4. Based on the current thinking, the rain is never a bad thing for Florida.  So much going against development with dry air and land, but that very warm water is obviously the biggest wild card. 
5. Nothing to freak out about. We need the rain...we're gonna get some Sunday and Monday. 
6. Again, this is only the beginning of the season. We will be dealing with these type of systems for the next 3 months. There is nothing ominous about this one. Make your plans and keep an eye on things in case they change. 
7. 🐢 Rule #7  Don't freak out until I do, we're fine.",Pos,Neu,Neg,Compound,Overall Sentiment
"Caffeine time! (C4 and chai for me, Dr Pepper for you!)",0.0,1.0,0.0,0.0,NEU
how about the panhandle? seaside area?,0.0,1.0,0.0,0.0,NEU
Do we think flights will be delayed or cancelled going into Sarasota Sunday afternoon/evening?,0.0,0.755,0.245,-0.4404,NEG
also wondering this my family flies out of st Pete on Sunday.,0.0,1.0,0.0,0.0,NEU
"We could use some rain over here, not a lot but some more would be nice on the East coast.",0.185,0.815,0.0,0.6243,POS
I am guessing there is a turtle tumbler for the Rule #7 line coming??? Please?,0.214,0.786,0.0,0.504,POS
great idea!!!!,0.84,0.16,0.0,0.7405,POS
Its shell could be the hurricane symbol…?,0.0,1.0,0.0,0.0,NEU
Still think I need a plan b in my back pocket,0.0,1.0,0.0,0.0,NEU
Did you list two #5 to avoid scaring us by ending on 7?,0.0,0.683,0.317,-0.6249,NEG
wondered that myself 🤣,0.0,1.0,0.0,0.0,NEU
When will we start to see turtles on the wine and beer mugs?,0.0,1.0,0.0,0.0,NEU
Grand idea!,0.767,0.233,0.0,0.5093,POS
Keep going west!,0.0,1.0,0.0,0.0,NEU
" yes, go west we'll past Florida.",0.351,0.649,0.0,0.4019,POS
No go East more!!! This storm definitely needs to go East not my way towards West...I'm praying it goes East more!!,0.247,0.671,0.082,0.6632,POS
I agree!,1.0,0.0,0.0,0.4199,POS
"actually, I would prefer it stays in the Atlantic. I just want it to stay away from Tampa Bay.",0.075,0.925,0.0,0.0772,POS
Funny how the euro kept putting it east of Florida and now it’s switching to the west and the GFS kind of had it to the west all along,0.094,0.906,0.0,0.4404,POS
Denis …￼ loved your new look tonight on Action News green is a great color for you and I like the way the tie match the shirt match the suspenders excellent choice,0.353,0.647,0.0,0.9349,POS
"Thank you Denis Phillips !!
My husband never is concerned!
Rule #7!",0.25,0.75,0.0,0.5673,POS
How will this impact the Florida keys? Thanks 😊,0.293,0.707,0.0,0.4404,POS
watching for some insight on this as well. We are supposed to leave Friday morning 🤪😬,0.121,0.809,0.069,0.2263,POS
"darlin' you're from around here. A bunch of rain and wind. It won't skip over it, and it could be a lot, or a little, but it's August in FL so at least some rain and wind... I'm going to assume you were half joking at least...",0.052,0.948,0.0,0.3291,POS
I’m hoping it spins off into the Atlantic lol 😂,0.444,0.556,0.0,0.6808,POS
for sure! Fish storms are always the goal!,0.292,0.708,0.0,0.4374,POS
"We are flying in from the uk on Tuesday to MCO, will we be okay? So worried as this holiday has been 18 months in the making 🥹",0.148,0.772,0.08,0.2748,POS
yes,1.0,0.0,0.0,0.4019,POS
were the same we fly Wednesday from UK.,0.0,1.0,0.0,0.0,NEU
"we are Tuesday too, watching these updates constantly",0.0,1.0,0.0,0.0,NEU
"right now!!!! Looks like more of a rain event than a wind event! Things can change, keep an eye on it",0.169,0.831,0.0,0.5673,POS
I feel like I’m worrying over nothing but we will just have to have our fingers crossed 🥹,0.1,0.802,0.097,0.0129,NEU
im praying we are too. We're used to rain from the UK but not tropical storm or hurricanes. Anything could happen over the next few days.,0.065,0.935,0.0,0.1901,POS
"thank you, we can deal with rain! that’s what our summer has consisted of over here 😂",0.157,0.843,0.0,0.4199,POS
"Anyone have predictions or insight for a cruise that leaves from Port Canaveral on Sunday? (Bahamas, etc)",0.0,1.0,0.0,0.0,NEU
"Got it!
*🐢
*Windshield wipers
*Rule #7",0.0,1.0,0.0,0.0,NEU
How much heat lightning with this system? Asking for me.,0.0,1.0,0.0,0.0,NEU
You are the only weatherman I trust!,0.418,0.582,0.0,0.5562,POS
Is this accurate?,0.0,1.0,0.0,0.0,NEU
