"Important Tropical Update. Debby on the way?
Things are starting to come together...so is our ""Orange Blob"". Looks like Florida will get some rain from it, maybe a good bit. Let's talk about it. That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
Fort White and our rivers up here have been high for a while. This could potentially be bad for us?,0.0,0.837,0.163,-0.5423,NEG
Does it stress anyone else out how many tabs he has open? 😂😂,0.0,0.811,0.189,-0.4215,NEG
Cruise on Friday to Bahamas 😭,0.0,1.0,0.0,0.0,NEU
Should I be concerned if I'm leaving on a cruise tomorrow for the Bahamas?,0.0,1.0,0.0,0.0,NEU
are you going on independence?,0.0,1.0,0.0,0.0,NEU
we are!,0.0,1.0,0.0,0.0,NEU
my friend is too! I personally think you will be good to go,0.39,0.61,0.0,0.75,POS
"Are there any expected impacts to the Yucatán? Flying to Cancun on Saturday. Weather forecast so far looks great, but wondering if we should be concerned",0.097,0.903,0.0,0.3983,POS
Do you believe this will impact a trip to the sarasota area on Monday?,0.0,1.0,0.0,0.0,NEU
Flying to Puerto Rico Friday and home to Tampa Sunday. Sounds like we should be okay with flights?,0.216,0.784,0.0,0.5267,POS
Headed to Clearwater beach from Friday to Sunday is it a complete wash out ?,0.0,1.0,0.0,0.0,NEU
We will be in Destin through next Thursday. Will we get any beautiful weather Monday-Thursday if this follows either of the models?,0.157,0.843,0.0,0.5994,POS
What did he say about Orlando?,0.0,1.0,0.0,0.0,NEU
He said do not change any plans !!,0.0,1.0,0.0,0.0,NEU
I can use a day or two of rain!,0.0,1.0,0.0,0.0,NEU
"?My pool is up because of all the rain recently, would you recommend draining a bit before this thing possibly stalls over me here in Citrus Springs?",0.103,0.897,0.0,0.4329,POS
In the Bahamas Friday and Saturday on a cruise….,0.0,1.0,0.0,0.0,NEU
have fun,0.767,0.233,0.0,0.5106,POS
Next Friday I'm have an outside WEDDING!!!,0.0,1.0,0.0,0.0,NEU
Should be ok,0.524,0.476,0.0,0.296,POS
My fiancés bridal shower is Sunday at noon in Tampa bay. Is there anything to worry about,0.0,0.847,0.153,-0.4404,NEG
My fiancés bridal shower is Sunday at noon in Tampa bay. Is there anything to worry about,0.0,0.847,0.153,-0.4404,NEG
Will our family vacation in Destin be completely rained out next week?,0.0,1.0,0.0,0.0,NEU
Hi Dennis!! East coast (Daytona beach and southern counties) for Sunday? Thanks for all you do!,0.201,0.799,0.0,0.5826,POS
When will the rain start on Sunday for treasure island??,0.221,0.779,0.0,0.3736,POS
When would we start seeing rain etc for the Tampa Bay Area,0.0,1.0,0.0,0.0,NEU
"Concert at baycare sound on Sunday",0.0,1.0,0.0,0.0,NEU
Yeah. We will be there too. Wet most likely! 🤣,0.238,0.762,0.0,0.3595,POS
So it short. It's gonna rain and that's it. Some may get lots of rain. Wet weekend,0.0,1.0,0.0,0.0,NEU
"Pretty much",0.762,0.238,0.0,0.4939,POS
Elana was my first hurricane season. 1985,0.0,1.0,0.0,0.0,NEU
Same,0.0,1.0,0.0,0.0,NEU
My MIL is flying in from South America on Saturday night to Miami. Do planes fly over hurricanes? Or cancellation?,0.0,1.0,0.0,0.0,NEU
It’s not a hurricane and won’t be one.,0.0,1.0,0.0,0.0,NEU
Can’t say that. We don’t know yet.,0.0,1.0,0.0,0.0,NEU
Flights from South America to Miami Saturday night?,0.0,1.0,0.0,0.0,NEU
"He doesn’t know about airline cancellations, keep in contact with your airlines",0.0,1.0,0.0,0.0,NEU
Will this bring tornados if it stalls over us or just rain,0.0,1.0,0.0,0.0,NEU
I🙌denticle - love the shout out to My Cousin Vinny!,0.36,0.64,0.0,0.6696,POS
"Get some Dr Pepper Dennis",0.0,1.0,0.0,0.0,NEU
Yea don’t want a repeat of a few years ago when he ran out,0.106,0.894,0.0,0.0772,POS
We're all going to Orlando!!!,0.0,1.0,0.0,0.0,NEU
Love the my cousin Vinny reference 😂,0.457,0.543,0.0,0.6369,POS
Perfect days for Disney- no one will go lol,0.442,0.408,0.15,0.6486,POS
Doing college tours at UF and USF next week-Tuesday Wednesday-should we take our rain gear????,0.0,1.0,0.0,0.0,NEU
"Leaving Sunday on cruise from Tampa. Will it be an issue?",0.0,1.0,0.0,0.0,NEU
Ok driving across Alligator alley Saturday evening? 😬,0.268,0.732,0.0,0.296,POS
Rain rain,0.0,1.0,0.0,0.0,NEU
So this could potentially not even be a named storm ?,0.0,1.0,0.0,0.0,NEU
Will the Bahamas be an issue and if so when?,0.0,1.0,0.0,0.0,NEU
"how will it be at bradenton beach and flying out from tampa on sunday evening?",0.0,1.0,0.0,0.0,NEU
Cruising out of Florida Sunday 😫,0.0,1.0,0.0,0.0,NEU
us too,0.0,1.0,0.0,0.0,NEU
