"Hurricane season is cranking up!  All NEW Rule #7 logos. Tees, Tanks, Hoodies, Hats and more.  Lots of new colors including your favorite teams. Just click on the link. Proceeds benefit Children's Miracle Network and other local charities. 
Clothing Link:
https://rule-7-stuff-2.creator-spring.com/.../blue-and...
Cups, Mugs and Tumblers Link:
Rule7shop.etsy.com",Pos,Neu,Neg,Compound,Overall Sentiment
"Y’all need to do V neck tshirts, I hate crew round neck",0.0,0.709,0.291,-0.5719,NEG
great!!!,1.0,0.0,0.0,0.7163,POS
yay! Thank you!,0.866,0.134,0.0,0.7568,POS
yay!!!!,0.0,1.0,0.0,0.0,NEU
me either!,0.0,1.0,0.0,0.0,NEU
THIS!!!,0.0,1.0,0.0,0.0,NEU
Have received so many compliments on the tumbler I purchased!,0.29,0.71,0.0,0.5057,POS
"I love the new colors!
I wish you still had the old style tanks and not the racer backs !
I will keep watching to see what you add !!",0.286,0.714,0.0,0.8487,POS
"Just ordered. Thank you for all you do, Denis!! 🩵",0.278,0.722,0.0,0.4738,POS
"I love this! You're the best, Denis!! Ordered!",0.657,0.343,0.0,0.8902,POS
What's Rule #7? Or any other rule?,0.0,1.0,0.0,0.0,NEU
Rule #7 for life!,0.0,1.0,0.0,0.0,NEU
"Denis Phillips I have followed you since I moved to Florida May 30,2004 from Indiana. It was a summer to remember. But you were the only meteorologist that was giving facts and calm details. You didn’t create panic or fear. It was at that moment I decided suspender man would be my only go to for the weather. 20 years later and you are still my go to meteorologist because I know you are straight forward you keep your calm. If I ever see you freak out with Rule # 7 I may be back in Indiana. 😆 the funny thing is that first night we were all hunkered down at my nieces and I just felt a relaxing calm during it all. I did get an alarm call and had to drive to my work during Charlie. That was scary but I remained calm got what was needed done. I had started calling you suspender man that first night too funny. Please do not ever retire we need you. You are by far the most professional and knowledgeable meteorologist around. The only time I get scared is when Jim Cantore comes to town. I yi yi. 😆 thanks for being you and thank you to your beautiful family for sharing you with us.",0.204,0.7,0.095,0.978,POS
Got to go there for a cap and a bag... and a hoodie!!!,0.0,1.0,0.0,0.0,NEU
Would love to see a regular tank instead of racer back. Difficult for women to wear a bra with those. 😉,0.185,0.705,0.11,0.4019,POS
"I love the new colors",0.583,0.417,0.0,0.6369,POS
I love that you have Swag!,0.529,0.471,0.0,0.6696,POS
"We've got outdoor shows, give us good news! Send the storms elsewhere 😁😄",0.21,0.79,0.0,0.4926,POS
No no ..just send them to sea ..otherwise bad juju😊,0.0,0.47,0.53,-0.7845,NEG
"Still ""NO SHOVELING!""😉😉",0.0,0.383,0.617,-0.4981,NEG
Awesome merch!,0.815,0.185,0.0,0.6588,POS
