Models are coming together. Here are my Wednesday evening thoughts on our developing tropical system. [VIDEO],Pos,Neu,Neg,Compound,Overall Sentiment
My husband took this picture this evening before the rain hit Inverness,0.0,1.0,0.0,0.0,NEU
OmG great capture!!,0.701,0.299,0.0,0.6892,POS
- wow!,1.0,0.0,0.0,0.6239,POS
But can I walk my dog at 7:34 pm Monday?? 🤣,0.0,1.0,0.0,0.0,NEU
Only if there’s heat lightning & you’re drinking Diet Dr Pepper,0.0,1.0,0.0,0.0,NEU
 I'd get out there at 7:15🥴,0.0,1.0,0.0,0.0,NEU
Will it be enough rain to fill a swimming pool? Asking for a friend…,0.0,1.0,0.0,0.0,NEU
"Being a Floridian we don't recommend doctors we recommend whether people lol
I'm like you should be listening to Dennis Phillips talking like he lives next door to me 😉
Thank you for being all of our neighbors 🙏💕 you're appreciated!",0.277,0.639,0.084,0.8648,POS
Well the new rule #7 tumbler will get a workout this weekend with Mr. Jameson and Mrs. Ginger Ale 😀,0.11,0.89,0.0,0.2732,POS
Celebrating a birthday Saturday at Epcot. Not gonna change plans. Thank you.,0.408,0.592,0.0,0.7351,POS
Have a blast!,0.0,1.0,0.0,0.0,NEU
We will be there too! Enjoy!!!,0.466,0.534,0.0,0.6562,POS
seriously not looking good for my neighborhood with a stall out producing high rains totals and IF it goes back out in the gulf and brings surge as well...we are not put back together in my complex after idalia took out 40% of the units last year. praying this just doesn't happen.,0.045,0.848,0.107,-0.3412,NEG
"Denis Phillips, if the projected path verifies, would there be a risk of storm surge or coastal flooding in the Bay Area?",0.0,0.905,0.095,-0.2732,NEG
Thank you Denis! I appreciate the TRUTH you bring to us. 🙏,0.549,0.451,0.0,0.8188,POS
"Thanks Dennis! My kids and I have a flight back to FL landing around 3pm on Sunday at PIE and as a newer Floridian who hates to fly, this is a nail biter! Thank you for keeping us updated and helping me to not freak out 😆 I'll be checking your posts frequently over the next few days. We appreciate you! 👏",0.204,0.752,0.044,0.8652,POS
"I remember one hurricane a while back where Denis camped out in the studio for a few days without shaving
He looked like the wolfman. Pretty cool.",0.276,0.724,0.0,0.7906,POS
