[VIDEO],Pos,Neu,Neg,Compound,Overall Sentiment
Can you consider adding closed captioning to your videos?,0.0,1.0,0.0,0.0,NEU
please add closed captions,0.434,0.566,0.0,0.3182,POS
yes!!! I can't always have my volume up.,0.373,0.627,0.0,0.5538,POS
Please mention what dates you are speaking of when doing updates like this. It will age better on the Internet.,0.312,0.688,0.0,0.7717,POS
This is an 8 week old video. 2nd one like it to pop up on my feed.,0.143,0.857,0.0,0.3612,POS
We must protect this man at all costs.,0.271,0.729,0.0,0.3818,POS
Only panick when you tell us Rule#7. Or when waffle House closing lol,0.189,0.811,0.0,0.4215,POS
No issues with the warm gulf waters?,0.209,0.549,0.242,-0.0772,NEG
"I guarantee you, with these warm waters, and that it will move slowly, will, at least, become a hurricane. Tampa Bay will be on the right side of this mess. That means flooding, high winds, power outages, and who knows what else. The time to freak out is Now! Not waiting and wishing for the best.",0.131,0.752,0.117,0.2385,POS
there is no need to freak out lol,0.217,0.388,0.395,-0.3182,NEG
freaking out would do you no good. Rule 7 exists for a reason. 😉,0.182,0.503,0.314,-0.2732,NEG
I agree!! Especially after all the flooding we just had. There is no place for any water to go so any storm surge will be dangerous,0.082,0.724,0.194,-0.5242,NEG
As of what date. PLEASE post that up front!,0.294,0.706,0.0,0.5147,POS
Agreed. This should be removed so people don’t think it’s current.,0.174,0.826,0.0,0.2732,POS
Do you think Monday morning flights out of Sarasota will be ok ?,0.167,0.833,0.0,0.296,POS
"If you have an Android, check out the Live Transcribe app on Google Play, and enable the hearing enhancements option for closed caption in your settings. Hope this helps!",0.248,0.752,0.0,0.8221,POS
"Dated, days, location??? Where are you??? Videos need to be date stamped, location. We may have family and friends in affected areas. Worried. Need info.",0.104,0.737,0.159,0.3094,POS
6 out 10 is a pretty good chance it could be bad in a short time they know they just not going to tell us ..you know the weather is owned also... js,0.215,0.691,0.093,0.5574,POS
Please give the time of your broadcasts at the top so we can see how current they are.,0.204,0.796,0.0,0.4767,POS
Denis.... You are awesome !! You're my main man when I want to find out as anything about the storms. Thanks for all you do. I live in Tampa and always consult your forecast.,0.235,0.765,0.0,0.8353,POS
Many folks lost everything in my area of Riverview,0.0,0.777,0.223,-0.3182,NEG
Old video from a different storm,0.0,1.0,0.0,0.0,NEU
