Post,NEG,NEU,POS,Compound,Sentiment
"We are about 72 hours from landfall. This far out, the average NHC error for a storm track is 105 miles.",0.124,0.876,0.0,-0.4019,NEG
TS winds are forecast to extend 120 mi. from the center of Milton. In Helene they extended 345 mi. Milton will be much smaller.,0.0,0.931,0.069,0.1779,POS
"HEAVY RAIN | Light rain has moved through this morning, with pockets of moderate to heavy rain expected Monday and Tuesday. Wednesday is when Milton arrives, and its rains could lead to flooding. 5 day rainfall totals could exceed 12"" in spots. A Flood Watch is now in effect through Thursday morning.",0.0,1.0,0.0,0.0,NEU
"SUN OCT 6 | 7 AM UPDATE
Big day for Milton updates today. By the end of the day watches are likely for portions of the Florida coast. We may also get our first glimpse at some surge forecast data. 
Check out each map for a caption explaining what you're seeing. I will not reference every map here. 
NHC aircraft is en route to the storm now. Missions will be flown regularly & data will be updated in the models. 
We are 72 hours from landfall. This far out the average error of the best forecast (the NHC forecast) is 105 miles. The track is not set in stone. 
Here's what's happening now:
1.) Milton continues to intensify & organize. Winds will increase with subsequent updates & Milton will become a hurricane later today or early on Monday. The storm is not moving very quickly. This should persist for the next 1-2 days before a rapid increase in forward speed begins on Tuesday as Milton is impacted by a frontal system to its north.
2.) TRACK | There have been no significant changes to the track from the models or from the NHC. Remember, the NHC track cone shows all possible locations of the CENTER of the storm at each time interval. The center of the storm stays in this cne 2/3 of the time. The cone is not unique to each storm, it's drawn based on past statistics. On this morning's map, if the storm goes into Naples, our area still sees impacts as the storm is much larger than its center. If it goes up toward Cedar Key will get impacts too. 
3.) SIZE | Milton will be a MUCH smaller storm than Helene. The current forecast from the NHC has tropical storm winds extending 120 mi. away from the eye of Milton on either side as it approaches the coast. For comparison, tropical storm winds extended 345 mi. from the eye of Helene as it approached the Big Bend. In 2004 Charley had tropical storm winds that only went out to 85 mi at landfall & hurricane winds went out only 25 miles. Milton will be closer in size to Charley than Helene.  
4.) SURGE | Smaller hurricanes move less water. Smaller hurricanes cause less widespread wind damage. There will be significant surge & wind damage near the point of landfall, but because the storm will be small, the most severe impacts will be highly concentrated in an area near the point of landfall & just to the right. The exact track the eye will take is crucial & unfortunately, no matter how many tracks you look at, no one will be able to pinpoint that track so precisely. 
5.) TAMPA BAY | Milton does pose a significant threat to Tampa Bay. A landfall in Pinellas or Pasco County would not be a good situation for those around the Bay. Southwest winds would push significant water into the Gulf. The levels would likely exceed anything we saw with Helene in areas that are at & south of the point of landfall. A landfall in Pinellas County would bring a reverse surge to areas to the north such as Pasco & Hernando. Track is everything for wind & surge. 
6.) INTENSITY | NHC is conservative with intensity. Milton will have free reign to intensify quickly through Tuesday. Some of the NHC's new models even intensify it significantly past cat 3. The issue is what happens as it approaches Florida. The environment around the storm will become much less supportive of quick strengthening. Forward speed will be increasing as Milton feels the impacts of a trough of low pressure to its north. Wind shear north of the storm will become more significant & there are indications that drier air will start to wrap in around the storm. Some of the models suggest that this environment will be so toxic to the storm that even as it moves away from Florida over warm Atlantic waters it could continue to weaken. There are honestly too many moving pieces in the intensity forecast in the last 24 hours before landfall. I think it's best to prepare for a Cat 3 or Cat 4 storm.
7.) TIMING | This is all Wednesday. Although we'll see periods of rain today, Monday & Tuesday, there will be no direct impacts from the storm through sunset Tuesday. The earliest reasonable time for the arrival of minimal tropical storm winds per the NHC forecast is around 8 pm on Tuesday. You'll have all day Tuesday to make last-minute preps before the storm. Other than some rain, Tuesday will be ok for all forms of travel. I would suspect all airlines will fly OUT on Tuesday but flights IN may be canceled for any airplane that is scheduled to stay in Tampa/St Pete overnight as airlines would not want their planes on the ground in the storm Wed AM. I DO NOT KNOW WHAT WILL HAPPEN TO YOUR FLIGHT (unless it's on Wed. All Wed flights will be canceled).
8.) WIND | Depending on intensity, Milton has the potential to cause much more wind damage in our area than Helene. Because of its increasing forward speed, wind damage will spread farther inland along & just to the right of the track. Again, the swath will be VERY narrow, but some of the winds may be very strong. Remember, the storm is forecast to have a total width of around 250 miles, but most of that will be tropical storm winds. Hurricane-force winds are only forecast to extend around 25 miles from the center. The majority of us WILL NOT see hurricane force winds. The PEAK winds will only be 5-10 miles from the eye. Unfortunately, that swath of strong winds is impossible to predict precisely. If the track doesn't change, I plan on boarding up my house on Tuesday. I live 2 miles from the Bay. 
9.) FINAL THOUGHTS | Run from the water, hide from the wind. If you live in a flood zone & are in an evacuation zone that gets called, please leave. I suspect the number of people running from the water in this storm will be MUCH higher than any previous storm in recent memory because of our Helene experience. That's a good thing but it could also mean that traffic may be an issue at some point. If you don't live in flood zone & are away from the coast, you can shelter in-place from the wind. The only structures that are unsafe are trailers, mobile homes & manufactured homes. These need to be evacuated no matter where they are if you're in the path of the storm. 
Milton poses a significant threat to our area. Today will be the final day of watching & tracking, by tomorrow morning we'll have to start acting & planning. Be patient, & approach this reasonably. Identify your risks & plan for not just the storm but also the AFTER. Some areas may experience significant, long-lasting, power loss. Internet & water may also not be available for several days. Even if your area does not sustain much damage, other than trees & tree branches, you may still be impacted by a lack of some of these services. Hopefully though, with a smaller hurricane, these services will be restored more rapidly following the storm. 
I'll keep yo updated 24/7.
#milton #hurricane #hurricanemilton #florida #tampa #tampabay #tampabayflorida #SevereWeather",0.066,0.879,0.056,-0.93,NEG
"Comparing Milton to past storms. 
#milton #hurricane #hurricanemilton #florida #tampa #tampabay #tampabayflorida",0.0,1.0,0.0,0.0,NEU
MILTON | The 8 am advisory has winds up to 60 mph as it continues to organize and strengthen in the SW Gulf. Next track update comes at 11 a.m.,0.0,0.922,0.078,0.3182,POS
"Quick Sunday morning, Oct 6, update on Milton. 
#hurricanemilton #milton #hurricane #tampa #tampabay #florida #hurricane",0.0,1.0,0.0,0.0,NEU
"MILTON 11 AM UPDATE | Tropical Storm Milton's winds are up to 65 mph. It is expected to rapidly intensity over the next 36 hours into a Category 3 storm. Models this morning have shifted a small distance to the south, so the NHC forecast track has shifted slightly south as well. The cone remains the same width however, so anyone from Naples to Crystal River should continue to prepare should future shifts happen.",0.0,0.974,0.026,0.2111,POS
"NHC: The NOAA Hurricane Hunter crew reported that an eyewall has formed
on the last center fix, suggesting that this system is ready to
intensify quickly.",0.0,0.909,0.091,0.3612,POS
"NHC: The new
NHC forecast is adjusted south of the previous one, especially early on, and further southward adjustments could be required if the guidance trend continues.",0.0,1.0,0.0,0.0,NEU
