Comments,NEG,NEU,POS,Compound,Sentiment
Her response,0.0,1.0,0.0,0.0,NEU
Denis Phillips that’s my response too!!! We couldn’t do this without you!!! ,0.0,1.0,0.0,0.0,NEU
"I think that just means Hurricane Alert, so you're good to take the time off. ",0.0,0.691,0.309,0.6573,POS
I imagine this will also be the response when you try to retire.,0.0,1.0,0.0,0.0,NEU
 I would have loved her to say me too! Or I already did 🙂 ha!,0.0,0.592,0.408,0.7835,POS
Have At-it.,0.0,1.0,0.0,0.0,NEU
.you better get a very long vacation after these last 2 weeks!,0.0,0.738,0.262,0.4926,POS
gotta keep a sense of humor,0.0,0.656,0.344,0.2732,POS
 we appreciate you so much,0.0,0.597,0.403,0.4019,POS
 needed that laugh. Thanks,0.0,0.235,0.765,0.7579,POS
you definitely deserve a big pallet of diet Dr Pepper and a vacation somewhere outside of hurricane zones after this season!,0.0,0.857,0.143,0.4574,POS
"Noooo!
First time I have laughed in a couple days.",0.0,0.68,0.32,0.5093,POS
That was my goal,0.0,1.0,0.0,0.0,NEU
same here. That was needed,0.0,1.0,0.0,0.0,NEU
me too!,0.0,1.0,0.0,0.0,NEU
same!!!,0.0,1.0,0.0,0.0,NEU
 same - I needed that laugh,0.0,0.455,0.545,0.5574,POS
 me too!!,0.0,1.0,0.0,0.0,NEU
same!!!,0.0,1.0,0.0,0.0,NEU
Sorry Denis!! Not today please!! Take some deep breaths and continue working! We need you!!!,0.254,0.746,0.0,-0.5315,NEG
We are at my daughter’s house. Hunkering down! You and your family stay safe!!,0.0,0.775,0.225,0.5826,POS
 I’ve been thinking about you. Are you and your family ready?,0.0,0.8,0.2,0.3612,POS
Tracking major hurricanes AND you’ve still got the jokes!!! This has definitely been a “I have to laugh or I’ll start to cry” kind of week!,0.0,0.699,0.301,0.858,POS
"this is so real 😂😂 if I’m not keeping myself moving
Or doing something I want to cry.",0.16,0.773,0.067,-0.4215,NEG
 Same here. I have to laugh to not cry. This back to back hurricane thing is getting to me bad.,0.136,0.624,0.24,0.3927,POS
I've decided to keep busy by decluttering since I usually am doing too many things at once to slow down and do so!,0.0,1.0,0.0,0.0,NEU
100%!,0.0,1.0,0.0,0.0,NEU
yesss!,0.0,1.0,0.0,0.0,NEU
I feel that to my core. I was in Italy during Helene. I came home Saturday to Milton. Had no clue. Hadn’t unpacked but went down to a smaller suitcase and had to evacuate. Welcome home,0.045,0.843,0.112,0.5267,POS
us too! Thanks Denis,0.0,0.484,0.516,0.4926,POS
"Oh no, you don’t. We’re going live to you soon. Your dream being a Q105 DJ is about to come true. “DJ Den with one N” in the house! -Geno
",0.066,0.781,0.153,0.4389,POS
he’d be a great addition to the already great team you have,0.0,0.523,0.477,0.8481,POS
 this is awesome!!!,0.0,0.287,0.713,0.7163,POS
you just got you a new follower,0.0,1.0,0.0,0.0,NEU
or maybe DJ ‘Spenders.,0.0,1.0,0.0,0.0,NEU
