hypothesis,model,hurricane,variant,test,stat,p,group_a,group_b,p_bonferroni,rank_biserial
H5,vader,debby,full,kruskal_wallis,0.06481108272984572,0.9681138922293352,,,,
H5,vader,debby,excl_largest_thread,kruskal_wallis,13.289593905343953,0.0013007725098320583,,,,
H5,vader,debby,excl_largest_thread,pairwise_mann_whitney,,,expert,local,1.0,0.009026378374453081
H5,vader,debby,excl_largest_thread,pairwise_mann_whitney,,,expert,statewide,0.004896746768677454,0.05869323689080108
H5,vader,debby,excl_largest_thread,pairwise_mann_whitney,,,local,statewide,0.047641361991379694,0.05068819703840921
H5,roberta,debby,full,kruskal_wallis,39.87592601713523,2.193070964310258e-09,,,,
H5,roberta,debby,full,pairwise_mann_whitney,,,expert,local,0.6582873084289663,0.025234905820742615
H5,roberta,debby,full,pairwise_mann_whitney,,,expert,statewide,1.6774762065014737e-09,0.08861536200318265
H5,roberta,debby,full,pairwise_mann_whitney,,,local,statewide,0.011925983284214632,0.05358133774143381
H5,roberta,debby,excl_largest_thread,kruskal_wallis,112.5368342004575,3.6554171741483626e-25,,,,
H5,roberta,debby,excl_largest_thread,pairwise_mann_whitney,,,expert,local,1.0,-0.01506272352631488
H5,roberta,debby,excl_largest_thread,pairwise_mann_whitney,,,expert,statewide,1.4619500279136172e-18,0.1670694470517471
H5,roberta,debby,excl_largest_thread,pairwise_mann_whitney,,,local,statewide,3.9634506209615976e-13,0.15656104123850878
H5,vader,helene,full,kruskal_wallis,1.7333987818332923,0.42033662908268954,,,,
H5,vader,helene,excl_largest_thread,kruskal_wallis,1.2657562074809015,0.531061150294649,,,,
H5,roberta,helene,full,kruskal_wallis,35.08035459774001,2.4121137675993896e-08,,,,
H5,roberta,helene,full,pairwise_mann_whitney,,,expert,local,0.5374505689052034,-0.010786279757677208
H5,roberta,helene,full,pairwise_mann_whitney,,,expert,statewide,2.55639811233732e-06,0.03644630611430677
H5,roberta,helene,full,pairwise_mann_whitney,,,local,statewide,5.483647564786882e-07,0.04406180369902479
H5,roberta,helene,excl_largest_thread,kruskal_wallis,42.363514571618374,6.322366878440797e-10,,,,
H5,roberta,helene,excl_largest_thread,pairwise_mann_whitney,,,expert,local,0.00812497247501567,-0.03057807560313186
H5,roberta,helene,excl_largest_thread,pairwise_mann_whitney,,,expert,statewide,0.0016733446515242118,0.03294398289275979
H5,roberta,helene,excl_largest_thread,pairwise_mann_whitney,,,local,statewide,5.626343158782047e-10,0.060181317324118355
H5,vader,milton,full,kruskal_wallis,38.30786400979567,4.8034472251044646e-09,,,,
H5,vader,milton,full,pairwise_mann_whitney,,,expert,local,5.8341541504174253e-05,0.022686039436349725
H5,vader,milton,full,pairwise_mann_whitney,,,expert,statewide,5.667892429043957e-08,0.026688101372660755
H5,vader,milton,full,pairwise_mann_whitney,,,local,statewide,1.0,0.004237786824721423
H5,vader,milton,excl_largest_thread,kruskal_wallis,45.992031715147114,1.0302845975402038e-10,,,,
H5,vader,milton,excl_largest_thread,pairwise_mann_whitney,,,expert,local,0.954502488859885,-0.006161783725029291
H5,vader,milton,excl_largest_thread,pairwise_mann_whitney,,,expert,statewide,4.965290018137275e-09,0.03186641360273468
H5,vader,milton,excl_largest_thread,pairwise_mann_whitney,,,local,statewide,7.707520720712754e-08,0.03681507972222797
H5,roberta,milton,full,kruskal_wallis,904.3059830288931,4.289935961247743e-197,,,,
H5,roberta,milton,full,pairwise_mann_whitney,,,expert,local,2.416044180428518e-114,0.12202955684199202
H5,roberta,milton,full,pairwise_mann_whitney,,,expert,statewide,6.515783604631914e-148,0.12416912982063044
H5,roberta,milton,full,pairwise_mann_whitney,,,local,statewide,1.0,0.0030825405439078857
H5,roberta,milton,excl_largest_thread,kruskal_wallis,590.4156255273616,6.206916486119078e-129,,,,
H5,roberta,milton,excl_largest_thread,pairwise_mann_whitney,,,expert,local,6.168524084247613e-10,0.03957680420309195
H5,roberta,milton,excl_largest_thread,pairwise_mann_whitney,,,expert,statewide,1.573309141471232e-129,0.12922304483025204
H5,roberta,milton,excl_largest_thread,pairwise_mann_whitney,,,local,statewide,8.558107741430872e-40,0.08834007519652753
