id,type,platform,hurricane,days_from_landfall,source,author,created_date,text,vader_neg,vader_neu,vader_pos,vader_compound,vader_label,roberta_neg,roberta_neu,roberta_pos,roberta_truncated,roberta_label
phi_deb_July31_1_c001,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"I love when it's cloudy, much easier to do yard work. Blocking that direct sunlight is one little blessing with all the heat and humidity.",0.078,0.627,0.296,0.8078,positive,0.016121019,0.0562814,0.9275976,False,POS
phi_deb_July31_1_c002,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I so agree,0.0,0.417,0.583,0.4201,positive,0.03867879,0.31599003,0.64533114,False,POS
phi_deb_July31_1_c003,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I started doing mine weeding before the sun comes out - can't take the direct sunlight as well.,0.0,0.89,0.11,0.2732,positive,0.6215869,0.3524345,0.025978604,False,NEG
phi_deb_July31_1_c004,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Happy last day of July....counting down to our 1st cold front or cooler weather, 2 and a half months to go..lol hopefully.",0.0,0.758,0.242,0.7506,positive,0.004188394,0.023709456,0.97210217,False,POS
phi_deb_July31_1_c005,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,last night the rain was the old gentle storms of years ago.. it was comforting not scary...,0.0,0.63,0.37,0.8035,positive,0.009747928,0.11509914,0.87515295,False,POS
phi_deb_July31_1_c006,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,What clouds. Clear and sunny where I’m at. NPR,0.0,0.565,0.435,0.6597,positive,0.014653893,0.40814468,0.5772014,False,POS
phi_deb_July31_1_c007,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"We had milky high clouds at dawn, gave way to lots of puffy clouds, after noon. I think Denis, said repeat at the coast today. You get your clouds later, but they will be dark and maybe angry. Good Luck with these afternoon storms.",0.083,0.769,0.147,0.5267,positive,0.093951106,0.6628697,0.24317919,False,NEUTRAL
phi_deb_July31_1_c008,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,8 hours ago was clear. Thanks for your input. I’m well aware of Florida weather and afternoon storms but again this post was at like 7am,0.0,0.72,0.28,0.7615,positive,0.014108786,0.40606815,0.579823,False,POS
phi_deb_July31_1_c009,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Yeah, my 'go to joke' is ... If you don't like Florida weather, wait 5 minutes! 🤣",0.078,0.63,0.292,0.6987,positive,0.7267727,0.21634115,0.056886088,False,NEG
phi_deb_July31_1_c010,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I hope it doesn’t rain tonight.,0.0,0.633,0.367,0.4404,positive,0.7503602,0.21730013,0.03233975,False,NEG
phi_deb_July31_1_c011,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Thank you Denis!,0.0,0.417,0.583,0.4199,positive,0.0042297817,0.030913668,0.9648566,False,POS
phi_deb_July31_1_c012,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Handsome tonight with your brown accents! Love when you were different colors! 💙,0.0,0.474,0.526,0.9214,positive,0.0022144588,0.012471041,0.9853145,False,POS
phi_deb_July31_1_c013,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Thanks for the update as usual I follow rule #7have a good day,0.0,0.655,0.345,0.7003,positive,0.004251479,0.022495328,0.97325313,False,POS
phi_deb_July31_1_c014,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,My poor kitty Lilli Ann is under the couch with these storms. How does Dipper do during the storms?,0.147,0.853,0.0,-0.4767,negative,0.81008995,0.1729263,0.01698372,False,NEG
phi_deb_July31_1_c015,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,👍🙂,0.0,0.596,0.404,0.4033,positive,0.013559247,0.08185531,0.9045854,False,POS
phi_deb_July31_1_c016,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Thank you Denis Phillips,0.0,0.545,0.455,0.3612,positive,0.007124419,0.08359127,0.90928435,False,POS
phi_deb_July31_1_c017,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Should I take an umbrella with me to the Rays game today? Or should I be OK walking to my car after the game around 3pm?,0.0,0.884,0.116,0.5095,positive,0.015330527,0.93514544,0.049524028,False,NEUTRAL
phi_deb_July31_1_c018,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I have a weekend bioluminescent kayaking trip planned in Cocoa Beach this weekend. Should I cancel? Today is my last day to cancel to get a hotel refund. WWDD?,0.139,0.861,0.0,-0.5204,negative,0.26003376,0.69116026,0.04880598,False,NEUTRAL
phi_deb_July31_1_c019,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,No rain where I live,0.355,0.645,0.0,-0.296,negative,0.117246605,0.6694465,0.21330684,False,NEUTRAL
phi_deb_July31_1_c020,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Thank you,0.0,0.286,0.714,0.3612,positive,0.02298707,0.14161202,0.8354009,False,POS
phi_deb_July31_1_c021,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Good morning!😊,0.0,0.303,0.697,0.8478,positive,0.005058081,0.018801905,0.9761401,False,POS
phi_deb_July31_2_c001,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,what does that mean for Miami?,0.0,1.0,0.0,0.0,neutral,0.037498854,0.9356413,0.026859825,False,NEUTRAL
phi_deb_July31_2_c002,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,rain.,0.0,1.0,0.0,0.0,neutral,0.29627788,0.63964224,0.06407981,False,NEUTRAL
phi_deb_July31_2_c003,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,From 2020 : Hurricane Isiais,0.0,1.0,0.0,0.0,neutral,0.052154288,0.89549494,0.0523507,False,NEUTRAL
phi_deb_July31_2_c004,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I love the answer. Thank you ❤️,0.0,0.472,0.528,0.7717,positive,0.0038409072,0.00968406,0.98647505,False,POS
phi_deb_July31_2_c005,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"...
thank you! apply Rule no. 7?",0.0,0.682,0.318,0.4199,positive,0.008192708,0.29788527,0.693922,False,POS
phi_deb_July31_2_c006,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,You still thinking citrus county and west side of state will be okay on Saturday afternoon? 🤞🏼🙏🏻,0.0,0.929,0.071,0.2263,positive,0.026700752,0.5384127,0.43488646,False,NEUTRAL
phi_deb_July31_2_c007,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,we are going to New Smyrna Beach this weekend. Should we change our plans? 😬,0.138,0.862,0.0,-0.34,negative,0.044013128,0.8759306,0.08005621,False,NEUTRAL
phi_deb_July31_2_c008,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"awesome, thank you! Our daughter's 6th birthday is this weekend! 🩷",0.0,0.556,0.444,0.8011,positive,0.0022883033,0.006737349,0.99097437,False,POS
phi_deb_July31_2_c009,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,when?,0.0,1.0,0.0,0.0,neutral,0.055021018,0.74818057,0.19679841,False,NEUTRAL
phi_deb_July31_2_c010,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,it's not even a Strom yet. Just could be,0.0,1.0,0.0,0.0,neutral,0.35419345,0.59205115,0.053755417,False,NEUTRAL
